provincia,anio,variables_esperadas,variables_presentes,variables_con_dato,variables_sin_dato,cobertura_pct
Cuenca,2018,6,6,6,0,100.0
Cuenca,2019,6,6,6,0,100.0
Cuenca,2020,6,6,6,0,100.0
Cuenca,2021,6,6,6,0,100.0
Cuenca,2022,6,6,6,0,100.0
Cuenca,2023,6,6,6,0,100.0
Cáceres,2015,6,6,6,0,100.0
Cáceres,2016,6,6,6,0,100.0
Cáceres,2017,6,6,6,0,100.0
Cáceres,2018,6,6,6,0,100.0
Cáceres,2019,6,6,6,0,100.0
Cáceres,2020,6,6,6,0,100.0
Cáceres,2021,6,6,6,0,100.0
Cáceres,2022,6,6,6,0,100.0
Cáceres,2023,6,6,6,0,100.0
Cádiz,2015,6,6,6,0,100.0
Cádiz,2016,6,6,6,0,100.0
Cádiz,2017,6,6,6,0,100.0
Cádiz,2018,6,6,6,0,100.0
Cádiz,2019,6,6,6,0,100.0
Cádiz,2020,6,6,6,0,100.0
Cádiz,2021,6,6,6,0,100.0
Cádiz,2022,6,6,6,0,100.0
Cádiz,2023,6,6,6,0,100.0
Córdoba,2015,6,6,6,0,100.0
Córdoba,2016,6,6,6,0,100.0
Córdoba,2017,6,6,6,0,100.0
Córdoba,2018,6,6,6,0,100.0
Córdoba,2019,6,6,6,0,100.0
Córdoba,2020,6,6,6,0,100.0
Córdoba,2021,6,6,6,0,100.0
Córdoba,2022,6,6,6,0,100.0
Córdoba,2023,6,6,6,0,100.0
Gipuzkoa,2015,6,6,0,6,0.0
Gipuzkoa,2016,6,6,6,0,100.0
Gipuzkoa,2017,6,6,6,0,100.0
Gipuzkoa,2018,6,6,6,0,100.0
Gipuzkoa,2019,6,6,6,0,100.0
Gipuzkoa,2020,6,6,6,0,100.0
Gipuzkoa,2021,6,6,6,0,100.0
Gipuzkoa,2022,6,6,6,0,100.0
Gipuzkoa,2023,6,6,6,0,100.0
Girona,2015,6,6,6,0,100.0
Girona,2016,6,6,6,0,100.0
Girona,2017,6,6,6,0,100.0
Girona,2018,6,6,6,0,100.0
Girona,2019,6,6,6,0,100.0
Girona,2020,6,6,6,0,100.0
Girona,2021,6,6,6,0,100.0
Girona,2022,6,6,6,0,100.0
Girona,2023,6,6,6,0,100.0
Granada,2015,6,6,6,0,100.0
Granada,2016,6,6,6,0,100.0
Granada,2017,6,6,6,0,100.0
Granada,2018,6,6,6,0,100.0
Granada,2019,6,6,6,0,100.0
Granada,2020,6,6,6,0,100.0
Granada,2021,6,6,6,0,100.0
Granada,2022,6,6,6,0,100.0
Granada,2023,6,6,6,0,100.0
Guadalajara,2015,6,6,6,0,100.0
Guadalajara,2016,6,6,6,0,100.0
Guadalajara,2017,6,6,6,0,100.0
Guadalajara,2018,6,6,6,0,100.0
Guadalajara,2019,6,6,6,0,100.0
Guadalajara,2020,6,6,6,0,100.0
Guadalajara,2021,6,6,6,0,100.0
Guadalajara,2022,6,6,6,0,100.0
Guadalajara,2023,6,6,6,0,100.0
Huelva,2015,6,6,6,0,100.0
Huelva,2016,6,6,6,0,100.0
Huelva,2017,6,6,6,0,100.0
Huelva,2018,6,6,6,0,100.0
Huelva,2019,6,6,6,0,100.0
Huelva,2020,6,6,6,0,100.0
Huelva,2021,6,6,6,0,100.0
Huelva,2022,6,6,6,0,100.0
Huelva,2023,6,6,6,0,100.0
Huesca,2015,6,6,6,0,100.0
Huesca,2016,6,6,6,0,100.0
Huesca,2017,6,6,6,0,100.0
Huesca,2018,6,6,6,0,100.0
Huesca,2019,6,6,6,0,100.0
Huesca,2020,6,6,6,0,100.0
Huesca,2021,6,6,6,0,100.0
Huesca,2022,6,6,6,0,100.0
Huesca,2023,6,6,6,0,100.0
Jaén,2015,6,6,6,0,100.0
Jaén,2016,6,6,6,0,100.0
Jaén,2017,6,6,6,0,100.0
Jaén,2018,6,6,6,0,100.0
Jaén,2019,6,6,6,0,100.0
Jaén,2020,6,6,6,0,100.0
Jaén,2021,6,6,6,0,100.0
Jaén,2022,6,6,6,0,100.0
Jaén,2023,6,6,6,0,100.0
León,2015,6,6,6,0,100.0
León,2016,6,6,6,0,100.0
León,2017,6,6,6,0,100.0
León,2018,6,6,6,0,100.0
León,2019,6,6,6,0,100.0
León,2020,6,6,6,0,100.0
León,2021,6,6,6,0,100.0
León,2022,6,6,6,0,100.0
León,2023,6,6,6,0,100.0
Lleida,2015,6,6,6,0,100.0
Lleida,2016,6,6,6,0,100.0
Lleida,2017,6,6,6,0,100.0
Lleida,2018,6,6,6,0,100.0
Lleida,2019,6,6,6,0,100.0
Lleida,2020,6,6,6,0,100.0
Lleida,2021,6,6,6,0,100.0
Lleida,2022,6,6,6,0,100.0
Lleida,2023,6,6,6,0,100.0
Lugo,2015,6,6,6,0,100.0
Lugo,2016,6,6,6,0,100.0
Lugo,2017,6,6,6,0,100.0
Lugo,2018,6,6,6,0,100.0
Lugo,2019,6,6,6,0,100.0
Lugo,2020,6,6,6,0,100.0
Lugo,2021,6,6,6,0,100.0
Lugo,2022,6,6,6,0,100.0
Lugo,2023,6,6,6,0,100.0
Madrid,2015,6,6,6,0,100.0
Madrid,2016,6,6,6,0,100.0
Madrid,2017,6,6,6,0,100.0
Madrid,2018,6,6,6,0,100.0
Madrid,2019,6,6,6,0,100.0
Madrid,2020,6,6,6,0,100.0
Madrid,2021,6,6,6,0,100.0
Madrid,2022,6,6,6,0,100.0
Madrid,2023,6,6,6,0,100.0
Melilla,2015,6,6,6,0,100.0
Melilla,2016,6,6,6,0,100.0
Melilla,2017,6,6,6,0,100.0
Melilla,2018,6,6,6,0,100.0
Melilla,2019,6,6,6,0,100.0
