provincia,anio,variable,valor
Araba/Álava,2017,renta_neta_media_por_hogar_eur,
Araba/Álava,2017,renta_neta_media_por_persona_eur,
Araba/Álava,2018,renta_bruta_media_por_hogar_eur,
Araba/Álava,2018,renta_bruta_media_por_persona_eur,
Araba/Álava,2018,renta_media_por_unidad_consumo_eur,
Araba/Álava,2018,renta_mediana_por_unidad_consumo_eur,
Araba/Álava,2018,renta_neta_media_por_hogar_eur,
Araba/Álava,2018,renta_neta_media_por_persona_eur,
Araba/Álava,2019,renta_bruta_media_por_hogar_eur,
Araba/Álava,2019,renta_bruta_media_por_persona_eur,
Araba/Álava,2019,renta_media_por_unidad_consumo_eur,
Araba/Álava,2019,renta_mediana_por_unidad_consumo_eur,
Araba/Álava,2019,renta_neta_media_por_hogar_eur,
Araba/Álava,2019,renta_neta_media_por_persona_eur,
Araba/Álava,2020,renta_bruta_media_por_hogar_eur,42474
Araba/Álava,2020,renta_bruta_media_por_persona_eur,17945
Araba/Álava,2020,renta_media_por_unidad_consumo_eur,21618
Araba/Álava,2020,renta_mediana_por_unidad_consumo_eur,19950
Araba/Álava,2020,renta_neta_media_por_hogar_eur,35412
Araba/Álava,2020,renta_neta_media_por_persona_eur,14962
Araba/Álava,2021,renta_bruta_media_por_hogar_eur,43981
Araba/Álava,2021,renta_bruta_media_por_persona_eur,18700
Araba/Álava,2021,renta_media_por_unidad_consumo_eur,22423
Araba/Álava,2021,renta_mediana_por_unidad_consumo_eur,20650
Araba/Álava,2021,renta_neta_media_por_hogar_eur,36546
Araba/Álava,2021,renta_neta_media_por_persona_eur,15539
Araba/Álava,2022,renta_bruta_media_por_hogar_eur,46375
Araba/Álava,2022,renta_bruta_media_por_persona_eur,19714
Araba/Álava,2022,renta_media_por_unidad_consumo_eur,23611
Araba/Álava,2022,renta_mediana_por_unidad_consumo_eur,21350
Araba/Álava,2022,renta_neta_media_por_hogar_eur,38586
Araba/Álava,2022,renta_neta_media_por_persona_eur,16403
Araba/Álava,2023,renta_bruta_media_por_hogar_eur,50270
Araba/Álava,2023,renta_bruta_media_por_persona_eur,21356
Araba/Álava,2023,renta_media_por_unidad_consumo_eur,25589
Araba/Álava,2023,renta_mediana_por_unidad_consumo_eur,23450
Araba/Álava,2023,renta_neta_media_por_hogar_eur,41914
Araba/Álava,2023,renta_neta_media_por_persona_eur,17806
Asturias,2015,renta_bruta_media_por_hogar_eur,33165
Asturias,2015,renta_bruta_media_por_persona_eur,14172
Asturias,2015,renta_media_por_unidad_consumo_eur,17409
Asturias,2015,renta_mediana_por_unidad_consumo_eur,15750
Asturias,2015,renta_neta_media_por_hogar_eur,27986
Asturias,2015,renta_neta_media_por_persona_eur,11959
Asturias,2016,renta_bruta_media_por_hogar_eur,33567
Asturias,2016,renta_bruta_media_por_persona_eur,14406
Asturias,2016,renta_media_por_unidad_consumo_eur,17666
Asturias,2016,renta_mediana_por_unidad_consumo_eur,15750
Asturias,2016,renta_neta_media_por_hogar_eur,28303
Asturias,2016,renta_neta_media_por_persona_eur,12147
Asturias,2017,renta_bruta_media_por_hogar_eur,34338
Asturias,2017,renta_bruta_media_por_persona_eur,14857
Asturias,2017,renta_media_por_unidad_consumo_eur,18137
Asturias,2017,renta_mediana_por_unidad_consumo_eur,16450
Asturias,2017,renta_neta_media_por_hogar_eur,28866
Asturias,2017,renta_neta_media_por_persona_eur,12489
Asturias,2018,renta_bruta_media_por_hogar_eur,35298
Asturias,2018,renta_bruta_media_por_persona_eur,15391
Asturias,2018,renta_media_por_unidad_consumo_eur,18722
