comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
Andalucía,Almería,Población,2017,704.093,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2017,2.7,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2018,39.7,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2018,14.8,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2018,28.3,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2018,20.1,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2018,79.7,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2018,703.384,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2018,2.7,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2019,39.9,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2019,15.0,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2019,28.2,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2019,19.9,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2019,78.8,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2019,713.44,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2019,2.7,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2020,40.2,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2020,15.3,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2020,28.3,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2020,19.8,pct_menor_18,porcentaje
Andalucía,Almería,Porcentaje de población española,2020,78.6,pct_poblacion_espanola,porcentaje
Andalucía,Almería,Población,2020,719.554,poblacion,personas
Andalucía,Almería,Tamaño medio del hogar,2020,2.6,tamano_medio_hogar,personas_por_hogar
Andalucía,Almería,Edad media de la población,2021,40.4,edad_media,años
Andalucía,Almería,Porcentaje de población de 65 y más años,2021,15.5,pct_65_mas,porcentaje
Andalucía,Almería,Porcentaje de hogares unipersonales,2021,28.6,pct_hogares_unipersonales,porcentaje
Andalucía,Almería,Porcentaje de población menor de 18 años,2021,19.7,pct_menor_18,porcentaje
