codigo_provincia,provincia,sexo,anio,edad_original,edad,poblacion
02,Albacete,Total,2015,35 años,35,6033
02,Albacete,Total,2015,36 años,36,6371
02,Albacete,Total,2015,37 años,37,6238
02,Albacete,Total,2015,38 años,38,6433
02,Albacete,Total,2015,39 años,39,6420
02,Albacete,Total,2015,4 años,4,3930
02,Albacete,Total,2015,40 años,40,6340
02,Albacete,Total,2015,41 años,41,6243
02,Albacete,Total,2015,42 años,42,6183
02,Albacete,Total,2015,43 años,43,6177
02,Albacete,Total,2015,44 años,44,6260
02,Albacete,Total,2015,45 años,45,6422
02,Albacete,Total,2015,46 años,46,6385
02,Albacete,Total,2015,47 años,47,6303
02,Albacete,Total,2015,48 años,48,6235
02,Albacete,Total,2015,49 años,49,6261
02,Albacete,Total,2015,5 años,5,4094
02,Albacete,Total,2015,50 años,50,6491
02,Albacete,Total,2015,51 años,51,6169
02,Albacete,Total,2015,52 años,52,5876
02,Albacete,Total,2015,53 años,53,5720
02,Albacete,Total,2015,54 años,54,5837
02,Albacete,Total,2015,55 años,55,5593
02,Albacete,Total,2015,56 años,56,5283
02,Albacete,Total,2015,57 años,57,4984
02,Albacete,Total,2015,58 años,58,4240
02,Albacete,Total,2015,59 años,59,4127
02,Albacete,Total,2015,6 años,6,4147
02,Albacete,Total,2015,60 años,60,3961
02,Albacete,Total,2015,61 años,61,4020
02,Albacete,Total,2015,62 años,62,3911
02,Albacete,Total,2015,63 años,63,3559
02,Albacete,Total,2015,64 años,64,3647
02,Albacete,Total,2015,65 años,65,3650
02,Albacete,Total,2015,66 años,66,3932
02,Albacete,Total,2015,67 años,67,3407
02,Albacete,Total,2015,68 años,68,3164
02,Albacete,Total,2015,69 años,69,3340
02,Albacete,Total,2015,7 años,7,4123
02,Albacete,Total,2015,70 años,70,3342
02,Albacete,Total,2015,71 años,71,3308
02,Albacete,Total,2015,72 años,72,2951
02,Albacete,Total,2015,73 años,73,2683
02,Albacete,Total,2015,74 años,74,3983
02,Albacete,Total,2015,75 años,75,1952
02,Albacete,Total,2015,76 años,76,2781
02,Albacete,Total,2015,77 años,77,3022
02,Albacete,Total,2015,78 años,78,3073
02,Albacete,Total,2015,79 años,79,3013
02,Albacete,Total,2015,8 años,8,4089
02,Albacete,Total,2015,80 años,80,2716
02,Albacete,Total,2015,81 años,81,2801
02,Albacete,Total,2015,82 años,82,2613
02,Albacete,Total,2015,83 años,83,2514
02,Albacete,Total,2015,84 años,84,2481
02,Albacete,Total,2015,85 años,85,2179
02,Albacete,Total,2015,85 y más años,85,11986
02,Albacete,Total,2015,86 años,86,1849
02,Albacete,Total,2015,87 años,87,1639
02,Albacete,Total,2015,88 años,88,1419
02,Albacete,Total,2015,89 años,89,1117
02,Albacete,Total,2015,9 años,9,3871
02,Albacete,Total,2015,90 años,90,960
02,Albacete,Total,2015,91 años,91,742
02,Albacete,Total,2015,92 años,92,620
02,Albacete,Total,2015,93 años,93,458
02,Albacete,Total,2015,94 años,94,337
02,Albacete,Total,2015,95 años,95,210
02,Albacete,Total,2015,96 años,96,153
02,Albacete,Total,2015,97 años,97,112
02,Albacete,Total,2015,98 años,98,79
02,Albacete,Total,2015,99 años,99,37
02,Albacete,Total,2015,Todas las edades,,394012
02,Albacete,Hombres,2016,0 años,0,1813
02,Albacete,Hombres,2016,1 año,1,1853
02,Albacete,Hombres,2016,10 años,10,1986
02,Albacete,Hombres,2016,100 y más años,100,15
02,Albacete,Hombres,2016,11 años,11,2050
02,Albacete,Hombres,2016,12 años,12,2068
02,Albacete,Hombres,2016,13 años,13,2013
02,Albacete,Hombres,2016,14 años,14,2008
02,Albacete,Hombres,2016,15 años,15,2078
02,Albacete,Hombres,2016,16 años,16,2112
02,Albacete,Hombres,2016,17 años,17,2143
02,Albacete,Hombres,2016,18 años,18,2092
02,Albacete,Hombres,2016,19 años,19,2146
02,Albacete,Hombres,2016,2 años,2,1877
02,Albacete,Hombres,2016,20 años,20,2258
02,Albacete,Hombres,2016,21 años,21,2230
02,Albacete,Hombres,2016,22 años,22,2172
02,Albacete,Hombres,2016,23 años,23,2309
02,Albacete,Hombres,2016,24 años,24,2357
02,Albacete,Hombres,2016,25 años,25,2502
02,Albacete,Hombres,2016,26 años,26,2408
02,Albacete,Hombres,2016,27 años,27,2342
02,Albacete,Hombres,2016,28 años,28,2435
02,Albacete,Hombres,2016,29 años,29,2456
02,Albacete,Hombres,2016,3 años,3,1831
02,Albacete,Hombres,2016,30 años,30,2431
02,Albacete,Hombres,2016,31 años,31,2563
02,Albacete,Hombres,2016,32 años,32,2679
02,Albacete,Hombres,2016,33 años,33,2825
02,Albacete,Hombres,2016,34 años,34,2895
02,Albacete,Hombres,2016,35 años,35,2961
02,Albacete,Hombres,2016,36 años,36,3137
02,Albacete,Hombres,2016,37 años,37,3351
02,Albacete,Hombres,2016,38 años,38,3235
02,Albacete,Hombres,2016,39 años,39,3289
02,Albacete,Hombres,2016,4 años,4,2019
02,Albacete,Hombres,2016,40 años,40,3234
02,Albacete,Hombres,2016,41 años,41,3254
02,Albacete,Hombres,2016,42 años,42,3253
02,Albacete,Hombres,2016,43 años,43,3136
02,Albacete,Hombres,2016,44 años,44,3175
02,Albacete,Hombres,2016,45 años,45,3136
02,Albacete,Hombres,2016,46 años,46,3209
02,Albacete,Hombres,2016,47 años,47,3207
02,Albacete,Hombres,2016,48 años,48,3209
02,Albacete,Hombres,2016,49 años,49,3137
02,Albacete,Hombres,2016,5 años,5,1994
02,Albacete,Hombres,2016,50 años,50,3148
02,Albacete,Hombres,2016,51 años,51,3287
02,Albacete,Hombres,2016,52 años,52,3110
02,Albacete,Hombres,2016,53 años,53,2920
02,Albacete,Hombres,2016,54 años,54,2933
02,Albacete,Hombres,2016,55 años,55,2993
02,Albacete,Hombres,2016,56 años,56,2875
02,Albacete,Hombres,2016,57 años,57,2631
02,Albacete,Hombres,2016,58 años,58,2497
02,Albacete,Hombres,2016,59 años,59,2114
02,Albacete,Hombres,2016,6 años,6,2053
02,Albacete,Hombres,2016,60 años,60,2031
02,Albacete,Hombres,2016,61 años,61,1953
02,Albacete,Hombres,2016,62 años,62,1944
02,Albacete,Hombres,2016,63 años,63,1946
02,Albacete,Hombres,2016,64 años,64,1744
02,Albacete,Hombres,2016,65 años,65,1770
02,Albacete,Hombres,2016,66 años,66,1815
02,Albacete,Hombres,2016,67 años,67,1865
02,Albacete,Hombres,2016,68 años,68,1627
02,Albacete,Hombres,2016,69 años,69,1460
02,Albacete,Hombres,2016,7 años,7,2139
02,Albacete,Hombres,2016,70 años,70,1593
02,Albacete,Hombres,2016,71 años,71,1474
02,Albacete,Hombres,2016,72 años,72,1579
02,Albacete,Hombres,2016,73 años,73,1350
