codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,pct_mujeres,razon_masculinidad
06,Cantabria,39,Cantabria,2024,286322,304529,590851,51.54074377465723,94.02125905907155
06,Cantabria,39,Cantabria,2025,287460,306163,593623,51.57532642771591,93.89116255066746
10,Comunitat Valenciana,12,Castellón/Castelló,2021,291857,295775,587632,50.33337190622703,98.67534443411377
10,Comunitat Valenciana,12,Castellón/Castelló,2022,293616,297684,591300,50.343987823439875,98.63345023582053
10,Comunitat Valenciana,12,Castellón/Castelló,2023,299780,304306,604086,50.374615534874174,98.51268131420346
10,Comunitat Valenciana,12,Castellón/Castelló,2024,305611,309577,615188,50.322340487785844,98.71889707568715
10,Comunitat Valenciana,12,Castellón/Castelló,2025,312091,315529,627620,50.27389184538415,98.91040126264147
18,Ceuta,51,Ceuta,2021,42536,41535,84071,49.40466986237823,102.41001564945226
18,Ceuta,51,Ceuta,2022,41908,41143,83051,49.53943962143743,101.85936854385922
18,Ceuta,51,Ceuta,2023,41897,41155,83052,49.553291913499976,101.80294010448306
18,Ceuta,51,Ceuta,2024,41957,41222,83179,49.558181752605826,101.7830284799379
18,Ceuta,51,Ceuta,2025,42147,41420,83567,49.56501968480381,101.75519072911636
08,Castilla - La Mancha,13,Ciudad Real,2021,244112,248788,492900,50.47433556502333,98.12048812643697
08,Castilla - La Mancha,13,Ciudad Real,2022,243274,247676,490950,50.44831449231083,98.22267801482582
08,Castilla - La Mancha,13,Ciudad Real,2023,243873,248054,491927,50.42496142720363,98.31447991163215
08,Castilla - La Mancha,13,Ciudad Real,2024,244437,248511,492948,50.413228170111246,98.36063594770452
08,Castilla - La Mancha,13,Ciudad Real,2025,245530,249318,494848,50.38274379203311,98.48065522746052
12,Galicia,15,"Coruña, A",2021,537361,583140,1120501,52.042791572698285,92.14956957162946
12,Galicia,15,"Coruña, A",2022,536697,582467,1119164,52.04482989088284,92.14204409863564
12,Galicia,15,"Coruña, A",2023,538523,585361,1123884,52.08375597481591,91.99844198708148
12,Galicia,15,"Coruña, A",2024,540524,587925,1128449,52.100272143446446,91.93757707190542
12,Galicia,15,"Coruña, A",2025,544635,590988,1135623,52.04086215231639,92.1566935369246
08,Castilla - La Mancha,16,Cuenca,2021,98748,97762,196510,49.74912218207725,101.00857183772835
