fecha,anio,mes,ambito,grupo,variable,valor,unidad,frecuencia,agregacion_anual,alias_serie,codigo_serie,descripcion
2013-08-01,2013,8,Total nacional,demanda_efectiva,compraventas_totales,23787.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-09-01,2013,9,Total nacional,demanda_efectiva,compraventas_totales,23767.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-10-01,2013,10,Total nacional,demanda_efectiva,compraventas_totales,22812.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-11-01,2013,11,Total nacional,demanda_efectiva,compraventas_totales,22099.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2013-12-01,2013,12,Total nacional,demanda_efectiva,compraventas_totales,22463.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-01-01,2014,1,Total nacional,demanda_efectiva,compraventas_totales,30493.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-02-01,2014,2,Total nacional,demanda_efectiva,compraventas_totales,25720.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-03-01,2014,3,Total nacional,demanda_efectiva,compraventas_totales,26727.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-04-01,2014,4,Total nacional,demanda_efectiva,compraventas_totales,24891.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-05-01,2014,5,Total nacional,demanda_efectiva,compraventas_totales,27791.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-06-01,2014,6,Total nacional,demanda_efectiva,compraventas_totales,26132.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-07-01,2014,7,Total nacional,demanda_efectiva,compraventas_totales,28731.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-08-01,2014,8,Total nacional,demanda_efectiva,compraventas_totales,23645.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-09-01,2014,9,Total nacional,demanda_efectiva,compraventas_totales,26980.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-10-01,2014,10,Total nacional,demanda_efectiva,compraventas_totales,26583.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-11-01,2014,11,Total nacional,demanda_efectiva,compraventas_totales,25268.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2014-12-01,2014,12,Total nacional,demanda_efectiva,compraventas_totales,25869.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2015-01-01,2015,1,Total nacional,demanda_efectiva,compraventas_totales,33379.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2015-02-01,2015,2,Total nacional,demanda_efectiva,compraventas_totales,30032.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
2015-03-01,2015,3,Total nacional,demanda_efectiva,compraventas_totales,27337.0,Viviendas,MENSUAL,suma,SI_1_5.31,DHITINOAPLNCVUVT_RI.M,Estadísticas generales. Edificación y vivienda. Compraventa de viviendas. Total vivendas
