anio,variable,grupo,unidad,frecuencia,agregacion_anual,observaciones_disponibles,primera_fecha,ultima_fecha,observaciones_esperadas,cobertura_completa
2010,credito_hipotecario_hogares_tasa_interanual_pct,credito_financiacion,Porcentaje,MENSUAL,media,12,2010-01-01,2010-12-01,12,True
2010,creditos_dudosos_vivienda_pct,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,esfuerzo_teorico_anual_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,ipv_general,precios,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,ipv_vivienda_nueva,precios,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,ipv_vivienda_usada,precios,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,numero_hogares_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,ocupados_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,plazo_medio_hipotecas_meses,accesibilidad,Meses,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,poblacion_25_mas_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,precio_m2_fotocasa,precios,Euros por metro cuadrado,MENSUAL,media,12,2010-01-01,2010-12-01,12,True
2010,precio_m2_idealista,precios,Euros por metro cuadrado,MENSUAL,media,12,2010-01-01,2010-12-01,12,True
2010,precio_m2_vivienda_libre_nacional,precios,Euros por metro cuadrado,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,precio_vivienda_renta_hogar_anios,accesibilidad,Años,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,prestamos_rpv_superior_80_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,relacion_prestamo_valor_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2010-03-01,2010-12-01,4,True
2010,tipo_interes_hipotecas_pct,accesibilidad,Porcentaje,MENSUAL,media,12,2010-01-01,2010-12-01,12,True
2010,visados_obra_nueva,oferta,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2010,viviendas_iniciadas_libres,oferta,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2010,viviendas_iniciadas_protegidas,oferta,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2010,viviendas_iniciadas_total,oferta,Viviendas,MENSUAL,suma,12,2010-01-01,2010-12-01,12,True
2011,compraventas_totales,demanda_efectiva,Viviendas,MENSUAL,suma,12,2011-01-01,2011-12-01,12,True
2011,compraventas_vivienda_nueva,demanda_efectiva,Viviendas,MENSUAL,suma,12,2011-01-01,2011-12-01,12,True
2011,compraventas_vivienda_usada,demanda_efectiva,Viviendas,MENSUAL,suma,12,2011-01-01,2011-12-01,12,True
2011,credito_hipotecario_hogares_pct_pib,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,credito_hipotecario_hogares_tasa_interanual_pct,credito_financiacion,Porcentaje,MENSUAL,media,12,2011-01-01,2011-12-01,12,True
2011,creditos_dudosos_vivienda_pct,credito_financiacion,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,esfuerzo_teorico_anual_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,ipv_general,precios,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,ipv_vivienda_nueva,precios,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,ipv_vivienda_usada,precios,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,numero_hogares_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,ocupados_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,plazo_medio_hipotecas_meses,accesibilidad,Meses,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,poblacion_25_mas_miles,demografia_hogares,Miles de personas,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,precio_m2_fotocasa,precios,Euros por metro cuadrado,MENSUAL,media,12,2011-01-01,2011-12-01,12,True
2011,precio_m2_idealista,precios,Euros por metro cuadrado,MENSUAL,media,12,2011-01-01,2011-12-01,12,True
2011,precio_m2_vivienda_libre_nacional,precios,Euros por metro cuadrado,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,precio_vivienda_renta_hogar_anios,accesibilidad,Años,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,prestamos_rpv_superior_80_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
2011,relacion_prestamo_valor_pct,accesibilidad,Porcentaje,TRIMESTRAL,media,4,2011-03-01,2011-12-01,4,True
