codigo_provincia,provincia,anio,mes,periodo,residencia,variable,valor
01,Araba/Álava,2018,11,2018M11,total,pernoctaciones,58976
01,Araba/Álava,2018,11,2018M11,total,viajeros,29912
01,Araba/Álava,2018,12,2018M12,residentes_espana,pernoctaciones,45816
01,Araba/Álava,2018,12,2018M12,residentes_espana,viajeros,23938
01,Araba/Álava,2018,12,2018M12,residentes_extranjero,pernoctaciones,9670
01,Araba/Álava,2018,12,2018M12,residentes_extranjero,viajeros,4388
01,Araba/Álava,2018,12,2018M12,total,pernoctaciones,55485
01,Araba/Álava,2018,12,2018M12,total,viajeros,28325
01,Araba/Álava,2019,1,2019M01,residentes_espana,pernoctaciones,31694
01,Araba/Álava,2019,1,2019M01,residentes_espana,viajeros,16773
01,Araba/Álava,2019,1,2019M01,residentes_extranjero,pernoctaciones,10753
01,Araba/Álava,2019,1,2019M01,residentes_extranjero,viajeros,4936
01,Araba/Álava,2019,1,2019M01,total,pernoctaciones,42446
01,Araba/Álava,2019,1,2019M01,total,viajeros,21710
01,Araba/Álava,2019,2,2019M02,residentes_espana,pernoctaciones,32452
01,Araba/Álava,2019,2,2019M02,residentes_espana,viajeros,18494
01,Araba/Álava,2019,2,2019M02,residentes_extranjero,pernoctaciones,9950
01,Araba/Álava,2019,2,2019M02,residentes_extranjero,viajeros,4091
01,Araba/Álava,2019,2,2019M02,total,pernoctaciones,42402
01,Araba/Álava,2019,2,2019M02,total,viajeros,22585
01,Araba/Álava,2019,3,2019M03,residentes_espana,pernoctaciones,43274
01,Araba/Álava,2019,3,2019M03,residentes_espana,viajeros,24469
01,Araba/Álava,2019,3,2019M03,residentes_extranjero,pernoctaciones,13848
01,Araba/Álava,2019,3,2019M03,residentes_extranjero,viajeros,6301
01,Araba/Álava,2019,3,2019M03,total,pernoctaciones,57122
01,Araba/Álava,2019,3,2019M03,total,viajeros,30769
01,Araba/Álava,2019,4,2019M04,residentes_espana,pernoctaciones,47048
01,Araba/Álava,2019,4,2019M04,residentes_espana,viajeros,25217
01,Araba/Álava,2019,4,2019M04,residentes_extranjero,pernoctaciones,18845
01,Araba/Álava,2019,4,2019M04,residentes_extranjero,viajeros,9287
01,Araba/Álava,2019,4,2019M04,total,pernoctaciones,65893
01,Araba/Álava,2019,4,2019M04,total,viajeros,34504
01,Araba/Álava,2019,5,2019M05,residentes_espana,pernoctaciones,44736
01,Araba/Álava,2019,5,2019M05,residentes_espana,viajeros,24213
01,Araba/Álava,2019,5,2019M05,residentes_extranjero,pernoctaciones,25302
01,Araba/Álava,2019,5,2019M05,residentes_extranjero,viajeros,11883
01,Araba/Álava,2019,5,2019M05,total,pernoctaciones,70037
01,Araba/Álava,2019,5,2019M05,total,viajeros,36097
01,Araba/Álava,2019,6,2019M06,residentes_espana,pernoctaciones,46405
01,Araba/Álava,2019,6,2019M06,residentes_espana,viajeros,25669
01,Araba/Álava,2019,6,2019M06,residentes_extranjero,pernoctaciones,23560
01,Araba/Álava,2019,6,2019M06,residentes_extranjero,viajeros,11800
01,Araba/Álava,2019,6,2019M06,total,pernoctaciones,69965
01,Araba/Álava,2019,6,2019M06,total,viajeros,37468
01,Araba/Álava,2019,7,2019M07,residentes_espana,pernoctaciones,50727
01,Araba/Álava,2019,7,2019M07,residentes_espana,viajeros,25364
01,Araba/Álava,2019,7,2019M07,residentes_extranjero,pernoctaciones,30033
01,Araba/Álava,2019,7,2019M07,residentes_extranjero,viajeros,17327
01,Araba/Álava,2019,7,2019M07,total,pernoctaciones,80760
01,Araba/Álava,2019,7,2019M07,total,viajeros,42691
01,Araba/Álava,2019,8,2019M08,residentes_espana,pernoctaciones,67404
01,Araba/Álava,2019,8,2019M08,residentes_espana,viajeros,30495
01,Araba/Álava,2019,8,2019M08,residentes_extranjero,pernoctaciones,29820
01,Araba/Álava,2019,8,2019M08,residentes_extranjero,viajeros,19250
01,Araba/Álava,2019,8,2019M08,total,pernoctaciones,97224
01,Araba/Álava,2019,8,2019M08,total,viajeros,49745
01,Araba/Álava,2019,9,2019M09,residentes_espana,pernoctaciones,49423
01,Araba/Álava,2019,9,2019M09,residentes_espana,viajeros,26055
01,Araba/Álava,2019,9,2019M09,residentes_extranjero,pernoctaciones,25517
01,Araba/Álava,2019,9,2019M09,residentes_extranjero,viajeros,13861
01,Araba/Álava,2019,9,2019M09,total,pernoctaciones,74939
01,Araba/Álava,2019,9,2019M09,total,viajeros,39917
01,Araba/Álava,2019,10,2019M10,residentes_espana,pernoctaciones,48587
01,Araba/Álava,2019,10,2019M10,residentes_espana,viajeros,26593
01,Araba/Álava,2019,10,2019M10,residentes_extranjero,pernoctaciones,20326
01,Araba/Álava,2019,10,2019M10,residentes_extranjero,viajeros,10085
01,Araba/Álava,2019,10,2019M10,total,pernoctaciones,68913
01,Araba/Álava,2019,10,2019M10,total,viajeros,36678
01,Araba/Álava,2019,11,2019M11,residentes_espana,pernoctaciones,45532
01,Araba/Álava,2019,11,2019M11,residentes_espana,viajeros,24533
01,Araba/Álava,2019,11,2019M11,residentes_extranjero,pernoctaciones,12265
01,Araba/Álava,2019,11,2019M11,residentes_extranjero,viajeros,6081
01,Araba/Álava,2019,11,2019M11,total,pernoctaciones,57797
01,Araba/Álava,2019,11,2019M11,total,viajeros,30615
01,Araba/Álava,2019,12,2019M12,residentes_espana,pernoctaciones,45376
01,Araba/Álava,2019,12,2019M12,residentes_espana,viajeros,24722
01,Araba/Álava,2019,12,2019M12,residentes_extranjero,pernoctaciones,9283
01,Araba/Álava,2019,12,2019M12,residentes_extranjero,viajeros,4623
01,Araba/Álava,2019,12,2019M12,total,pernoctaciones,54659
01,Araba/Álava,2019,12,2019M12,total,viajeros,29345
01,Araba/Álava,2020,1,2020M01,residentes_espana,pernoctaciones,33699
01,Araba/Álava,2020,1,2020M01,residentes_espana,viajeros,18569
01,Araba/Álava,2020,1,2020M01,residentes_extranjero,pernoctaciones,9803
01,Araba/Álava,2020,1,2020M01,residentes_extranjero,viajeros,5416
01,Araba/Álava,2020,1,2020M01,total,pernoctaciones,43502
01,Araba/Álava,2020,1,2020M01,total,viajeros,23985
01,Araba/Álava,2020,2,2020M02,residentes_espana,pernoctaciones,37775
01,Araba/Álava,2020,2,2020M02,residentes_espana,viajeros,20938
01,Araba/Álava,2020,2,2020M02,residentes_extranjero,pernoctaciones,9296
01,Araba/Álava,2020,2,2020M02,residentes_extranjero,viajeros,4646
01,Araba/Álava,2020,2,2020M02,total,pernoctaciones,47071
01,Araba/Álava,2020,2,2020M02,total,viajeros,25584
01,Araba/Álava,2020,3,2020M03,residentes_espana,pernoctaciones,17097
01,Araba/Álava,2020,3,2020M03,residentes_espana,viajeros,8491
01,Araba/Álava,2020,3,2020M03,residentes_extranjero,pernoctaciones,5647
01,Araba/Álava,2020,3,2020M03,residentes_extranjero,viajeros,2797
01,Araba/Álava,2020,3,2020M03,total,pernoctaciones,22743
01,Araba/Álava,2020,3,2020M03,total,viajeros,11288
01,Araba/Álava,2020,4,2020M04,residentes_espana,pernoctaciones,0
01,Araba/Álava,2020,4,2020M04,residentes_espana,viajeros,0
01,Araba/Álava,2020,4,2020M04,residentes_extranjero,pernoctaciones,0
01,Araba/Álava,2020,4,2020M04,residentes_extranjero,viajeros,0
01,Araba/Álava,2020,4,2020M04,total,pernoctaciones,0
01,Araba/Álava,2020,4,2020M04,total,viajeros,0
01,Araba/Álava,2020,5,2020M05,residentes_espana,pernoctaciones,3708
01,Araba/Álava,2020,5,2020M05,residentes_espana,viajeros,826
01,Araba/Álava,2020,5,2020M05,residentes_extranjero,pernoctaciones,906
01,Araba/Álava,2020,5,2020M05,residentes_extranjero,viajeros,256
01,Araba/Álava,2020,5,2020M05,total,pernoctaciones,4614
01,Araba/Álava,2020,5,2020M05,total,viajeros,1082
