codigo_provincia,provincia,anio,establecimientos_abiertos_estimados,grado_ocupacion_habitaciones_pct,grado_ocupacion_plazas_fin_semana_pct,grado_ocupacion_plazas_pct,habitaciones_estimadas,personal_empleado,plazas_estimadas
06,Badajoz,2017,186.08333333333334,37.145,40.1625,33.10583333333333,4928.333333333333,1059.5833333333333,9327.083333333334
06,Badajoz,2018,180.16666666666666,41.12833333333333,43.75083333333333,36.36333333333334,4857.25,1101.4166666666667,9242.083333333334
06,Badajoz,2019,172.41666666666666,43.012499999999996,44.865833333333335,37.402499999999996,4824.333333333333,1124.3333333333333,9269.25
06,Badajoz,2020,128.41666666666666,24.715,20.98,19.857499999999998,3398.5833333333335,677.1666666666666,6561.666666666667
06,Badajoz,2021,139.33333333333334,34.485,32.527499999999996,27.866666666666664,4052.5,777.75,7919.25
06,Badajoz,2022,154.66666666666666,45.590833333333336,46.696666666666665,38.36833333333333,4477.5,1026.4166666666667,8812.833333333334
06,Badajoz,2023,145.91666666666666,48.4975,46.836666666666666,40.589166666666664,4379.916666666667,1015.4166666666666,8664.416666666666
06,Badajoz,2024,160.5,48.70416666666667,47.81583333333333,40.821666666666665,4535.666666666667,1061.4166666666667,8887.166666666666
06,Badajoz,2025,165.0,46.13583333333333,46.06166666666667,39.071666666666665,4532.583333333333,1044.5,8896.75
07,"Balears, Illes",2015,731.1666666666666,67.33166666666666,63.85999999999999,62.652499999999996,90769.66666666667,27124.0,188599.16666666666
07,"Balears, Illes",2016,733.1666666666666,71.3125,66.7225,66.22833333333334,92231.91666666667,29601.25,192493.16666666666
07,"Balears, Illes",2017,733.5833333333334,71.05166666666666,66.16916666666667,65.41833333333334,93489.0,31694.666666666668,196643.58333333334
07,"Balears, Illes",2018,775.5,69.9025,65.64666666666666,63.94416666666667,95166.25,33109.25,201287.66666666666
07,"Balears, Illes",2019,771.3333333333334,68.6975,64.71833333333333,62.45249999999999,94985.25,33352.166666666664,201033.16666666666
07,"Balears, Illes",2020,224.33333333333334,31.25583333333333,28.040000000000003,26.08,20791.333333333332,5883.416666666667,44920.416666666664
07,"Balears, Illes",2021,475.9166666666667,46.91583333333333,42.2975,41.09666666666667,56630.833333333336,17379.5,121303.25
07,"Balears, Illes",2022,729.4166666666666,66.44083333333333,62.92249999999999,60.28916666666667,93219.08333333333,33261.916666666664,198427.16666666666
