codigo_provincia,provincia,anio,mes,periodo,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
17,Girona,2015,4,2015M04,357669,135436,543333,157771,901002,293208,3.0729106982074157,2.6408709648837827,3.4438077973772114
17,Girona,2015,5,2015M05,298443,153542,733275,223091,1031718,376633,2.739319178085829,1.9437222388662385,3.2868874136563107
17,Girona,2015,6,2015M06,370252,179753,910138,213998,1280390,393751,3.2517758685057307,2.059782034235868,4.253021056271554
17,Girona,2015,7,2015M07,530286,200153,1507550,303048,2037836,503200,4.049753577106518,2.6494032065469915,4.974624481930255
17,Girona,2015,8,2015M08,867808,275061,1567837,324426,2435645,599487,4.062882097526718,3.154965625806639,4.8326490478568305
17,Girona,2015,9,2015M09,370215,155124,1149552,240094,1519767,395218,3.845389127013446,2.386574611278719,4.787924729480953
17,Girona,2015,10,2015M10,219243,126512,709902,183658,929144,310170,2.995595963503885,1.732981851523966,3.8653475481601673
17,Girona,2015,11,2015M11,115032,73766,157928,49069,272959,122835,2.222159807872349,1.5594176178727326,3.2184882512380524
17,Girona,2015,12,2015M12,183368,92503,94091,39330,277459,131832,2.104640754900176,1.9822924661902857,2.3923468090516145
17,Girona,2016,1,2016M01,153112,69545,86578,34474,239690,104020,2.304268409921169,2.2016248472212236,2.5113998955734758
17,Girona,2016,2,2016M02,171947,96509,128211,40762,300158,137271,2.186608970576451,1.781668030960843,3.1453559687944654
17,Girona,2016,3,2016M03,383579,160381,260932,81473,644511,241854,2.6648763303480614,2.3916735772940685,3.2026806426668957
17,Girona,2016,4,2016M04,289492,100157,531679,157638,821171,257795,3.1853643398824647,2.8903821001028387,3.3727844808992757
17,Girona,2016,5,2016M05,348035,149224,790656,231085,1138691,380309,2.9941205703782976,2.3322990939795205,3.4214942553605816
17,Girona,2016,6,2016M06,404005,194308,998526,245711,1402531,440019,3.187432815401153,2.0791990036436996,4.063822946469633
17,Girona,2016,7,2016M07,578457,221283,1595452,333427,2173909,554710,3.9190009193993256,2.6141050148452436,4.7850114117932865
17,Girona,2016,8,2016M08,864361,260857,1647563,335198,2511925,596055,4.21425036280209,3.313543435675485,4.915193408075227
17,Girona,2016,9,2016M09,405995,172323,1161153,260598,1567148,432921,3.61993989665551,2.3560116757484493,4.455724909630926
17,Girona,2016,10,2016M10,253716,131689,748041,201729,1001758,333418,3.0045108542430223,1.9266301665287153,3.7081480600211174
17,Girona,2016,11,2016M11,147839,72149,160590,52867,308429,125016,2.467116209125232,2.0490789893137813,3.037622713602058
17,Girona,2016,12,2016M12,188477,92520,108421,40514,296898,133035,2.2317284925019734,2.0371487246000863,2.676136644123019
17,Girona,2017,1,2017M01,111341,61070,70066,38534,181407,99604,1.8212822778201678,1.8231701326346814,1.8182903409975606
17,Girona,2017,2,2017M02,129765,76325,116222,50406,245987,126731,1.941016799362429,1.7001637733377006,2.3057175733047655
17,Girona,2017,3,2017M03,215531,111232,235875,98976,451406,210208,2.14742540721571,1.9376708141542003,2.3831534917555772
17,Girona,2017,4,2017M04,409758,160376,642286,208835,1052044,369211,2.8494383970141737,2.554983289270215,3.075566835061173
17,Girona,2017,5,2017M05,319609,139153,741155,222844,1060764,361997,2.9303115771677666,2.296817172464841,3.3258916551488933
17,Girona,2017,6,2017M06,414844,198063,1143926,265354,1558770,463417,3.3636444066575026,2.0945052836723668,4.3109431174958734
17,Girona,2017,7,2017M07,575254,205349,1595317,337071,2170571,542420,4.001642638545777,2.8013479491012863,4.732881203069977
17,Girona,2017,8,2017M08,790547,242893,1585236,328635,2375783,571528,4.1568969499307125,3.2547129806128625,4.823698023643252
17,Girona,2017,9,2017M09,406305,165839,1159904,274211,1566209,440049,3.559169547027717,2.449996683530412,4.229968892568132
17,Girona,2017,10,2017M10,236921,114987,678390,186849,915311,301836,3.032477901906996,2.0604155252332874,3.6306857408923783
17,Girona,2017,11,2017M11,130107,69412,133486,52110,263592,121522,2.1690887246753676,1.874416527401602,2.561619650738822
17,Girona,2017,12,2017M12,160710,86266,76773,40087,237483,126352,1.8795349499810055,1.8629587554772449,1.9151595280265423
17,Girona,2018,1,2018M01,114872,64875,87683,48248,202556,113123,1.7905819329402508,1.7706666666666666,1.8173395788426463
17,Girona,2018,2,2018M02,148637,81907,112295,48791,260932,130698,1.9964498309078946,1.814704481912413,2.3015515156483777
17,Girona,2018,3,2018M03,303199,145530,307791,112782,610990,258312,2.365317910124191,2.0834123548409265,2.7290791083683565
17,Girona,2018,4,2018M04,319586,133797,551284,178862,870870,312658,2.785375714038982,2.3885886828553704,3.0821750847021727
17,Girona,2018,5,2018M05,356994,153373,820832,251090,1177827,404463,2.9120760118972564,2.3276195940615363,3.269074833724959
17,Girona,2018,6,2018M06,363336,189588,1081578,284740,1444913,474327,3.0462381437278503,1.9164504082536868,3.798475802486479
17,Girona,2018,7,2018M07,525316,212065,1528707,323110,2054023,535175,3.8380398934927826,2.477146158017589,4.731227755253629
