provincia,anio,renta_bruta_media_por_hogar_eur,renta_bruta_media_por_persona_eur,renta_media_por_unidad_consumo_eur,renta_mediana_por_unidad_consumo_eur,renta_neta_media_por_hogar_eur,renta_neta_media_por_persona_eur
Santa Cruz de Tenerife,2015,28913,10605,13997,11550,24738,9073
Santa Cruz de Tenerife,2016,29860,10834,14293,11550,25462,9238
Santa Cruz de Tenerife,2017,31092,11429,15000,12950,26492,9738
Santa Cruz de Tenerife,2018,32761,12031,15743,12950,27865,10233
Santa Cruz de Tenerife,2019,34634,12693,16549,14350,29388,10770
Santa Cruz de Tenerife,2020,33844,12553,16359,13650,28792,10679
Santa Cruz de Tenerife,2021,35338,13258,17139,14350,29849,11198
Santa Cruz de Tenerife,2022,38413,14471,18744,15750,32485,12237
Santa Cruz de Tenerife,2023,42381,15888,20068,17150,35654,13366
Segovia,2015,31087,12542,15838,13650,26594,10730
Segovia,2016,32021,12918,16272,14350,27328,11025
Segovia,2017,32883,13356,16773,15050,28014,11378
Segovia,2018,34308,14028,17554,15750,29158,11922
Segovia,2019,35929,14715,18333,16450,30477,12482
Segovia,2020,36458,15066,18630,16450,30787,12722
Segovia,2021,38238,15907,19497,17150,32028,13324
Segovia,2022,40113,16780,20379,17850,33362,13956
Segovia,2023,43063,18039,21624,19250,35688,14949
Sevilla,2015,29464,10624,13941,11550,25099,9051
Sevilla,2016,30173,10898,14274,11550,25670,9272
Sevilla,2017,31070,11308,14733,12250,26334,9584
Sevilla,2018,32608,11941,15501,12950,27535,10083
Sevilla,2019,34172,12550,16250,13650,28874,10604
Sevilla,2020,34281,12707,16355,13650,28912,10717
Sevilla,2021,36110,13478,17219,14350,30254,11292
Sevilla,2022,38203,14387,18246,15750,31899,12013
Sevilla,2023,41113,15553,19507,16450,34269,12964
Soria,2015,32738,13719,17072,15050,27859,11674
Soria,2016,33381,14061,17467,15750,28394,11961
Soria,2017,34406,14575,18027,16450,29219,12377
Soria,2018,35686,15250,18770,17150,30202,12907
Soria,2019,36961,15800,19388,17850,31235,13353
Soria,2020,38496,16517,20128,17850,32372,13889
Soria,2021,39692,17229,20793,18550,33138,14385
Soria,2022,40846,17774,21274,19250,33830,14721
Soria,2023,43463,18916,22367,19950,35904,15626
Tarragona,2015,33511,12898,16388,14350,28105,10817
Tarragona,2016,34619,13263,16815,14350,29022,11119
Tarragona,2017,35572,13779,17385,15050,29703,11506
Tarragona,2018,37155,14418,18121,15750,30952,12011
Tarragona,2019,38502,14932,18741,16450,32054,12432
Tarragona,2020,38403,15002,18723,16450,31975,12491
Tarragona,2021,40378,15865,19623,17150,33304,13086
Tarragona,2022,42546,16682,20488,17850,34872,13673
Tarragona,2023,45349,17831,21537,19250,37029,14559
Teruel,2015,31746,12817,16165,14350,27027,10911
Teruel,2016,32457,13109,16498,15050,27545,11126
Teruel,2017,33217,13511,16932,15050,28105,11432
Teruel,2018,34646,14190,17700,15750,29278,11991
