anio,alias,variable,frecuencia,unidad,descripcion,valor,observaciones_disponibles,observaciones_esperadas,cobertura_pct
2023,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-6.5249999999999995,12,12,100.0
2023,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,3.5500000000000003,12,12,100.0
2023,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,116.2725,4,4,100.0
2023,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,100.64916666666666,12,12,100.0
2023,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,12.185,4,4,100.0
2023,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,108.9675,4,4,100.0
2024,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,7.791666666666667,12,12,100.0
2024,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,3.5533333333333332,12,12,100.0
2024,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-4.875,12,12,100.0
2024,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,2.775,12,12,100.0
2024,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,120.28999999999999,4,4,100.0
2024,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,101.37083333333334,12,12,100.0
2024,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,11.344999999999999,4,4,100.0
2024,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,114.1625,4,4,100.0
2025,SI_1_1.46,confianza_construccion_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Construcción. Indicador de confianza. Datos CVEC,16.033333333333335,12,12,100.0
2025,SI_1_1.2,confianza_consumidor_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Consumidores. Índice de confianza,1.1566666666666665,12,12,100.0
2025,SI_1_1.40,confianza_industria_manufacturera_pct_neto,MENSUAL,Porcentaje neto,Estadísticas Generales. Encuestas de opinión. Industria manufacturera. Indicador de confianza. Datos CVEC,-4.816666666666666,12,12,100.0
2025,SI_1_1.84,ipc_general_variacion_interanual_pct,MENSUAL,Porcentaje,Estadísticas Generales. IPC. Índice general. Total Nacional. Tasa de variación interanual,2.6750000000000003,12,12,100.0
2025,SI_1_1.33,pib_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Producto interior bruto. Economía en su conjunto. Índices de volumen encadenados. Datos CVEC,123.6875,4,4,100.0
2025,SI_1_1.37,produccion_industrial_indice_base_2021,MENSUAL,Base 2021 = 100,Estadísticas Generales. IPI. Base 2021. Índice,102.71249999999999,12,12,100.0
2025,SI_1_1.67,tasa_paro_nacional_pct,TRIMESTRAL,Porcentaje,Estadísticas Generales. EPA. Base 2021. Total Nacional. Tasa de paro de la población. Ambos sexos. 16 y más años,10.5075,4,4,100.0
2025,SI_1_1.44,vab_construccion_indice_volumen_base_2020,TRIMESTRAL,Base 2020 = 100,Estadísticas Generales. CNTR. Base 2020. Valor añadido bruto. Economía en su conjunto. Construcción. Índices de volumen encadenados. Datos CVEC,120.5375,4,4,100.0
