codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,sexo,anio,poblacion
07,Castilla y León,09,Burgos,Mujeres,2023,178778
07,Castilla y León,09,Burgos,Total,2023,357370
07,Castilla y León,09,Burgos,Hombres,2024,179824
07,Castilla y León,09,Burgos,Mujeres,2024,179916
07,Castilla y León,09,Burgos,Total,2024,359740
07,Castilla y León,09,Burgos,Hombres,2025,181482
07,Castilla y León,09,Burgos,Mujeres,2025,181181
07,Castilla y León,09,Burgos,Total,2025,362663
06,Cantabria,39,Cantabria,Hombres,2021,283854
06,Cantabria,39,Cantabria,Mujeres,2021,300854
06,Cantabria,39,Cantabria,Total,2021,584708
06,Cantabria,39,Cantabria,Hombres,2022,284061
06,Cantabria,39,Cantabria,Mujeres,2022,301389
06,Cantabria,39,Cantabria,Total,2022,585450
06,Cantabria,39,Cantabria,Hombres,2023,285133
06,Cantabria,39,Cantabria,Mujeres,2023,303254
06,Cantabria,39,Cantabria,Total,2023,588387
06,Cantabria,39,Cantabria,Hombres,2024,286322
06,Cantabria,39,Cantabria,Mujeres,2024,304529
06,Cantabria,39,Cantabria,Total,2024,590851
06,Cantabria,39,Cantabria,Hombres,2025,287460
06,Cantabria,39,Cantabria,Mujeres,2025,306163
06,Cantabria,39,Cantabria,Total,2025,593623
10,Comunitat Valenciana,12,Castellón/Castelló,Hombres,2021,291857
10,Comunitat Valenciana,12,Castellón/Castelló,Mujeres,2021,295775
10,Comunitat Valenciana,12,Castellón/Castelló,Total,2021,587632
10,Comunitat Valenciana,12,Castellón/Castelló,Hombres,2022,293616
10,Comunitat Valenciana,12,Castellón/Castelló,Mujeres,2022,297684
10,Comunitat Valenciana,12,Castellón/Castelló,Total,2022,591300
10,Comunitat Valenciana,12,Castellón/Castelló,Hombres,2023,299780
10,Comunitat Valenciana,12,Castellón/Castelló,Mujeres,2023,304306
10,Comunitat Valenciana,12,Castellón/Castelló,Total,2023,604086
10,Comunitat Valenciana,12,Castellón/Castelló,Hombres,2024,305611
10,Comunitat Valenciana,12,Castellón/Castelló,Mujeres,2024,309577
10,Comunitat Valenciana,12,Castellón/Castelló,Total,2024,615188
10,Comunitat Valenciana,12,Castellón/Castelló,Hombres,2025,312091
10,Comunitat Valenciana,12,Castellón/Castelló,Mujeres,2025,315529
10,Comunitat Valenciana,12,Castellón/Castelló,Total,2025,627620
18,Ceuta,51,Ceuta,Hombres,2021,42536
18,Ceuta,51,Ceuta,Mujeres,2021,41535
18,Ceuta,51,Ceuta,Total,2021,84071
18,Ceuta,51,Ceuta,Hombres,2022,41908
18,Ceuta,51,Ceuta,Mujeres,2022,41143
18,Ceuta,51,Ceuta,Total,2022,83051
18,Ceuta,51,Ceuta,Hombres,2023,41897
18,Ceuta,51,Ceuta,Mujeres,2023,41155
18,Ceuta,51,Ceuta,Total,2023,83052
18,Ceuta,51,Ceuta,Hombres,2024,41957
18,Ceuta,51,Ceuta,Mujeres,2024,41222
18,Ceuta,51,Ceuta,Total,2024,83179
18,Ceuta,51,Ceuta,Hombres,2025,42147
18,Ceuta,51,Ceuta,Mujeres,2025,41420
18,Ceuta,51,Ceuta,Total,2025,83567
08,Castilla - La Mancha,13,Ciudad Real,Hombres,2021,244112
08,Castilla - La Mancha,13,Ciudad Real,Mujeres,2021,248788
08,Castilla - La Mancha,13,Ciudad Real,Total,2021,492900
08,Castilla - La Mancha,13,Ciudad Real,Hombres,2022,243274
08,Castilla - La Mancha,13,Ciudad Real,Mujeres,2022,247676
08,Castilla - La Mancha,13,Ciudad Real,Total,2022,490950
08,Castilla - La Mancha,13,Ciudad Real,Hombres,2023,243873
08,Castilla - La Mancha,13,Ciudad Real,Mujeres,2023,248054
08,Castilla - La Mancha,13,Ciudad Real,Total,2023,491927
08,Castilla - La Mancha,13,Ciudad Real,Hombres,2024,244437
08,Castilla - La Mancha,13,Ciudad Real,Mujeres,2024,248511
08,Castilla - La Mancha,13,Ciudad Real,Total,2024,492948
08,Castilla - La Mancha,13,Ciudad Real,Hombres,2025,245530
08,Castilla - La Mancha,13,Ciudad Real,Mujeres,2025,249318
08,Castilla - La Mancha,13,Ciudad Real,Total,2025,494848
12,Galicia,15,"Coruña, A",Hombres,2021,537361
12,Galicia,15,"Coruña, A",Mujeres,2021,583140
12,Galicia,15,"Coruña, A",Total,2021,1120501
12,Galicia,15,"Coruña, A",Hombres,2022,536697
12,Galicia,15,"Coruña, A",Mujeres,2022,582467
12,Galicia,15,"Coruña, A",Total,2022,1119164
12,Galicia,15,"Coruña, A",Hombres,2023,538523
12,Galicia,15,"Coruña, A",Mujeres,2023,585361
12,Galicia,15,"Coruña, A",Total,2023,1123884
12,Galicia,15,"Coruña, A",Hombres,2024,540524
12,Galicia,15,"Coruña, A",Mujeres,2024,587925
12,Galicia,15,"Coruña, A",Total,2024,1128449
12,Galicia,15,"Coruña, A",Hombres,2025,544635
12,Galicia,15,"Coruña, A",Mujeres,2025,590988
12,Galicia,15,"Coruña, A",Total,2025,1135623
08,Castilla - La Mancha,16,Cuenca,Hombres,2021,98748
08,Castilla - La Mancha,16,Cuenca,Mujeres,2021,97762
08,Castilla - La Mancha,16,Cuenca,Total,2021,196510
08,Castilla - La Mancha,16,Cuenca,Hombres,2022,98835
08,Castilla - La Mancha,16,Cuenca,Mujeres,2022,97805
08,Castilla - La Mancha,16,Cuenca,Total,2022,196640
08,Castilla - La Mancha,16,Cuenca,Hombres,2023,99934
08,Castilla - La Mancha,16,Cuenca,Mujeres,2023,98502
08,Castilla - La Mancha,16,Cuenca,Total,2023,198436
08,Castilla - La Mancha,16,Cuenca,Hombres,2024,100365
08,Castilla - La Mancha,16,Cuenca,Mujeres,2024,98660
08,Castilla - La Mancha,16,Cuenca,Total,2024,199025
08,Castilla - La Mancha,16,Cuenca,Hombres,2025,100975
08,Castilla - La Mancha,16,Cuenca,Mujeres,2025,98884
08,Castilla - La Mancha,16,Cuenca,Total,2025,199859
11,Extremadura,10,Cáceres,Hombres,2021,193987
11,Extremadura,10,Cáceres,Mujeres,2021,196557
11,Extremadura,10,Cáceres,Total,2021,390544
11,Extremadura,10,Cáceres,Hombres,2022,193077
11,Extremadura,10,Cáceres,Mujeres,2022,195880
11,Extremadura,10,Cáceres,Total,2022,388957
11,Extremadura,10,Cáceres,Hombres,2023,192508
11,Extremadura,10,Cáceres,Mujeres,2023,195749
11,Extremadura,10,Cáceres,Total,2023,388257
11,Extremadura,10,Cáceres,Hombres,2024,192745
11,Extremadura,10,Cáceres,Mujeres,2024,195907
11,Extremadura,10,Cáceres,Total,2024,388652
11,Extremadura,10,Cáceres,Hombres,2025,192256
11,Extremadura,10,Cáceres,Mujeres,2025,195934
11,Extremadura,10,Cáceres,Total,2025,388190
01,Andalucía,11,Cádiz,Hombres,2021,616595
01,Andalucía,11,Cádiz,Mujeres,2021,633278
01,Andalucía,11,Cádiz,Total,2021,1249873
01,Andalucía,11,Cádiz,Hombres,2022,616647
01,Andalucía,11,Cádiz,Mujeres,2022,633898
01,Andalucía,11,Cádiz,Total,2022,1250545
01,Andalucía,11,Cádiz,Hombres,2023,618291
01,Andalucía,11,Cádiz,Mujeres,2023,636575
01,Andalucía,11,Cádiz,Total,2023,1254866
01,Andalucía,11,Cádiz,Hombres,2024,619543
01,Andalucía,11,Cádiz,Mujeres,2024,639187
01,Andalucía,11,Cádiz,Total,2024,1258730
01,Andalucía,11,Cádiz,Hombres,2025,620608
01,Andalucía,11,Cádiz,Mujeres,2025,640812
01,Andalucía,11,Cádiz,Total,2025,1261420
01,Andalucía,14,Córdoba,Hombres,2021,380859
01,Andalucía,14,Córdoba,Mujeres,2021,396763
01,Andalucía,14,Córdoba,Total,2021,777622
01,Andalucía,14,Córdoba,Hombres,2022,379567
01,Andalucía,14,Córdoba,Mujeres,2022,395543
01,Andalucía,14,Córdoba,Total,2022,775110
01,Andalucía,14,Córdoba,Hombres,2023,379239
01,Andalucía,14,Córdoba,Mujeres,2023,395763
01,Andalucía,14,Córdoba,Total,2023,775002
01,Andalucía,14,Córdoba,Hombres,2024,378655
01,Andalucía,14,Córdoba,Mujeres,2024,395658
01,Andalucía,14,Córdoba,Total,2024,774313
