comunidad_autonoma,provincia,anio,poblacion,edad_media,pct_menor_18,pct_65_mas,tamano_medio_hogar,pct_hogares_unipersonales,pct_poblacion_espanola
País Vasco,Gipuzkoa,2022,720.153,45.2,16.4,23.2,2.4,31.8,91.1
País Vasco,Gipuzkoa,2023,722.805,45.4,16.1,23.6,2.4,32.2,90.6
Cataluña,Girona,2015,748.526,41.0,19.5,17.1,2.6,27.4,81.2
Cataluña,Girona,2016,750.93,41.2,19.5,17.4,2.6,27.3,81.4
Cataluña,Girona,2017,756.679,41.4,19.5,17.6,2.6,27.3,81.0
Cataluña,Girona,2018,761.514,41.6,19.3,17.8,2.6,27.5,80.3
Cataluña,Girona,2019,770.258,41.8,19.1,18.0,2.6,27.5,79.5
Cataluña,Girona,2020,777.591,42.0,18.8,18.2,2.6,27.7,79.7
Cataluña,Girona,2021,782.416,42.3,18.6,18.6,2.6,28.0,79.5
Cataluña,Girona,2022,797.234,42.4,18.4,18.7,2.6,28.1,79.3
Cataluña,Girona,2023,808.284,42.5,18.1,19.0,2.6,28.2,79.0
Andalucía,Granada,2015,913.423,41.0,18.6,17.1,2.6,29.3,93.7
Andalucía,Granada,2016,909.295,41.3,18.6,17.3,2.5,29.6,93.9
Andalucía,Granada,2017,908.413,41.5,18.5,17.5,2.5,29.6,93.7
Andalucía,Granada,2018,907.256,41.8,18.3,17.8,2.5,30.0,93.3
Andalucía,Granada,2019,911.38,42.1,18.1,18.0,2.5,30.1,92.9
Andalucía,Granada,2020,914.862,42.3,17.9,18.1,2.5,30.3,92.7
Andalucía,Granada,2021,915.317,42.6,17.7,18.5,2.5,30.8,92.5
Andalucía,Granada,2022,925.574,42.8,17.4,18.9,2.5,31.2,91.9
Andalucía,Granada,2023,931.77,43.1,17.2,19.3,2.4,31.5,91.5
Castilla - La Mancha,Guadalajara,2015,250.893,40.2,20.0,15.4,2.6,29.8,87.8
Castilla - La Mancha,Guadalajara,2016,251.338,40.4,20.2,15.4,2.5,29.9,88.0
Castilla - La Mancha,Guadalajara,2017,252.192,40.6,20.1,15.6,2.6,29.7,87.8
Castilla - La Mancha,Guadalajara,2018,254.211,40.9,19.8,15.8,2.5,29.9,87.3
Castilla - La Mancha,Guadalajara,2019,258.449,41.1,19.7,15.8,2.6,29.7,86.5
Castilla - La Mancha,Guadalajara,2020,262.646,41.3,19.4,15.9,2.5,29.8,86.4
Castilla - La Mancha,Guadalajara,2021,264.914,41.6,19.1,16.1,2.5,30.3,86.1
Castilla - La Mancha,Guadalajara,2022,271.317,41.7,18.8,16.3,2.5,30.2,85.4
Castilla - La Mancha,Guadalajara,2023,276.207,41.9,18.4,16.5,2.5,30.4,84.4
Andalucía,Huelva,2015,518.271,40.3,19.1,15.9,2.7,25.6,92.1
Andalucía,Huelva,2016,516.452,40.6,19.1,16.2,2.6,25.7,92.2
Andalucía,Huelva,2017,517.671,40.8,19.0,16.4,2.6,25.6,91.9
Andalucía,Huelva,2018,516.57,41.2,18.8,16.6,2.6,26.0,91.4
Andalucía,Huelva,2019,518.545,41.4,18.6,16.8,2.6,26.1,91.0
Andalucía,Huelva,2020,519.774,41.8,18.3,17.2,2.6,26.6,90.8
Andalucía,Huelva,2021,522.837,42.0,18.1,17.4,2.6,27.0,90.3
Andalucía,Huelva,2022,526.734,42.3,17.8,17.7,2.6,27.3,90.2
Andalucía,Huelva,2023,528.798,42.6,17.5,18.1,2.5,27.6,89.8
Aragón,Huesca,2015,219.138,44.4,16.3,21.9,2.5,30.7,89.5
