codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,poblacion_0_17,poblacion_18_34,poblacion_35_64,poblacion_65_mas,suma_poblacion_edades,edad_media_aprox,pct_0_17,pct_18_34,pct_35_64,pct_65_mas,indice_envejecimiento,tasa_dependencia,pct_mujeres,razon_masculinidad,diferencia_total_edades
08,Barcelona,2020,2777396,2912975,5690371,1023077.0,1078914.0,2504465.0,1267648.0,5874104,43.80841231275442,17.979091345713663,18.96034546780869,44.01233241206944,22.277071213810135,123.9054342928245,63.926394612459355,51.191301937958,95.34568611127798,-183733
08,Barcelona,2021,2785890,2916372,5702262,1011308.0,1086876.0,2515871.0,1270703.0,5884758,43.95258768499911,17.73520753693885,19.060436016444,44.12057881591551,22.284191782138386,125.64945595209372,63.340861847917715,51.14412491043028,95.52587941456028,-182496
08,Barcelona,2022,2783698,2915904,5699602,998034.0,1089642.0,2509401.0,1289786.0,5886863,44.21914388019562,17.510591090395433,19.11786121206358,44.02765315893987,22.629404649657992,129.23267143203537,63.567453903718295,51.159782735706806,95.46603729066526,-187261
08,Barcelona,2023,2830260,2967096,5797356,996897.0,1142701.0,2534205.0,1312823.0,5986626,44.26145344639869,17.195718186014453,19.71072675198832,43.713116807041004,22.645202399162653,131.690936977441,62.816944463633284,51.18015867923239,95.38821797474702,-189270
48,Bizkaia,2015,550847,590553,1141400,181788.0,190218.0,520727.0,288218.0,1180951,45.99740971471297,15.926756614683722,16.665323287191168,45.62178026984405,25.251270369721396,158.5462186722996,66.11003664137169,51.73935517785176,93.27647137513483,-39551
48,Bizkaia,2016,550339,589852,1140191,182210.0,184462.0,521632.0,293270.0,1181574,46.2810581478604,15.980655872568718,16.17816664050146,45.74952792996963,25.721129179234005,160.95164919598267,67.33947604709854,51.73273600651119,93.30120097922868,-41383
48,Bizkaia,2017,550727,590837,1141564,183032.0,180657.0,523202.0,298006.0,1184897,46.540035969371175,16.033441839441327,15.825393933235455,45.83203394641036,26.10506287864719,162.81633812666638,68.3429493691208,51.756800319561584,93.21132562788044,-43333
48,Bizkaia,2018,551938,591804,1143742,183015.0,179081.0,523304.0,303733.0,1189133,46.79449649450482,16.00142339793415,15.65746470794987,45.753675216963266,26.556076457802547,165.96071360271017,69.29931590224734,51.742788146277746,93.26364809970869,-45391
48,Bizkaia,2019,553909,593680,1147589,182218.0,179697.0,523773.0,309045.0,1194733,47.02385637627822,15.8783327480483,15.658654797144274,45.64116595749872,26.929937460188274,169.60179565136266,69.83425021678252,51.73280678012773,93.30093653146476,-47144
48,Bizkaia,2020,557513,597183,1154696,181626.0,182868.0,524759.0,314198.0,1203451,47.20426008204738,15.729334820593472,15.836895598495188,45.44564110380568,27.21045192847295,172.99175228216225,70.06855306538614,51.71776813983941,93.35714512971735,-48755
48,Bizkaia,2021,557190,596445,1153635,179087.0,183454.0,522806.0,317647.0,1202994,47.427689581161665,15.523714173026997,15.902256779657344,45.31814655415274,27.534445470187713,177.37021671031397,70.33302183331918,51.70136134912689,93.41850463999195,-49359
48,Bizkaia,2022,554748,593929,1148677,175813.0,183138.0,517824.0,322258.0,1199033,47.71901857580234,15.305695160606506,15.943385303266279,45.080035553945976,28.054709896689843,183.29588824489656,71.0553496480551,51.705483787000176,93.40308353355367,-50356
48,Bizkaia,2023,557146,596136,1153282,174366.0,188008.0,514842.0,325875.0,1203091,47.788897930414244,15.119112237943538,16.30199725652529,44.641466701119064,28.25631545450289,186.89136643611712,71.17322330511489,51.69039315622719,93.45954614383295,-49809
09,Burgos,2015,182465,180863,363328,56652.0,63673.0,161832.0,96982.0,379139,46.618991979194966,15.59252245904527,17.524936145851683,44.54157125242205,26.69268539721684,171.18901362705643,68.1288663222545,49.77953804826493,100.88575330498776,-15811
09,Burgos,2016,180766,179806,360572,56247.0,60967.0,161528.0,98280.0,377022,46.98814392794054,15.599380983548363,16.908412189521094,44.797710304738025,27.256692144703415,174.72931889700783,69.45189779545608,49.86687818244345,100.53390876833922,-16450
09,Burgos,2017,179586,178830,358416,55997.0,58831.0,160975.0,99583.0,375386,47.33251106860671,15.623465470291505,16.41416677826883,44.91289451363778,27.784194902013304,177.83631265960676,70.78059743592077,49.89453595821615,100.42274786109714,-16970
09,Burgos,2018,178882,178283,357165,55619.0,57695.0,160398.0,100869.0,374581,47.604680963529916,15.57235451402013,16.153598476894434,44.908655663348874,28.24156902272059,181.3570902029882,71.75287606663213,49.91614519899766,100.33598267922348,-17416
09,Burgos,2019,178450,178157,356607,55102.0,57112.0,159800.0,102330.0,374344,47.86193982005856,15.451743796392106,16.01538949039138,44.8112347766589,28.69545466017212,185.71013756306485,72.57874160950063,49.958918361109006,100.16446168267315,-17737
09,Burgos,2020,178589,178532,357121,55139.0,56760.0,159487.0,103832.0,375218,48.06526339354722,15.439864919733088,15.893772698889173,44.659093136499955,29.07473937404969,188.30954496817134,73.51362099821038,49.99201951159411,100.03192704949252,-18097
09,Burgos,2021,178040,178002,356042,54508.0,56450.0,159019.0,103782.0,373759,48.18511661257655,15.309429786373517,15.85487105453851,44.66298919790362,29.14880828666281,190.39773978131652,73.46300395880614,49.99466355092938,100.02134807474073,-17717
09,Burgos,2022,177509,177337,354846,53703.0,55812.0,157811.0,105548.0,372874,48.50626753273224,15.134170879761925,15.728513214183055,44.47309537094965,29.744734335458197,196.54023052715863,74.54768447217762,49.97576413430051,100.09699047576083,-18028
09,Burgos,2023,178592,178778,357370,53787.0,56901.0,157461.0,106989.0,375138,48.54900330011889,15.050787699023422,15.922153510367407,44.06105716764138,29.93787950863251,198.91237659657537,75.00209925266606,50.02602344908638,99.89596035306357,-17768
39,Cantabria,2015,285739,299445,585184,93874.0,104379.0,268375.0,138978.0,605606,45.30581103886025,16.041791983376168,17.836953846995133,45.861643517252695,23.749453163449445,148.0473826618659,62.468008391593386,51.17108465029803,95.42286563475764,-20422
39,Cantabria,2016,284039,298455,582494,93605.0,99390.0,269134.0,141522.0,603651,45.659127542238814,16.069693421734815,17.062836698747113,46.20373772090356,24.295872575511506,151.19064152555953,63.802357512672174,51.23743763884263,95.1697910907842,-21157
39,Cantabria,2017,283310,298111,581421,93549.0,95593.0,269937.0,144212.0,603291,45.99514164806039,16.089718121636473,16.441270611140638,46.427115635658154,24.803369675329925,154.15664518060055,65.04555029682926,51.272829842747335,95.03507082932197,-21870
39,Cantabria,2018,282991,298542,581533,93463.0,93193.0,270148.0,147306.0,604110,46.29530714604956,16.0718308333319,16.025401825863707,46.45445744265588,25.330634718923946,157.6088933588693,66.2652989891039,51.33706943544046,94.79101767925451,-22577
39,Cantabria,2019,282808,299181,581989,92958.0,91816.0,270228.0,150095.0,605097,46.571105128599214,15.972466833565583,15.776243193599878,46.43180541212978,25.79000634032602,161.46539297317068,67.13355282783309,51.40664170628654,94.52739311654149,-23108
39,Cantabria,2020,283117,299894,583011,92374.0,91006.0,270199.0,153098.0,606677,46.86153917158554,15.844297963503262,15.609654020250046,46.34543773616621,26.259881889020964,165.73711217442138,67.95919214850292,51.43882362425409,94.40569001047037,-23666
39,Cantabria,2021,283854,300854,584708,91431.0,90810.0,270498.0,155875.0,608614,47.12215952968548,15.637035922203903,15.530829063395746,46.26206585167297,26.658605662997598,170.4837527753169,68.44741882272189,51.45371706903275,94.34941865489573,-23906
39,Cantabria,2022,284061,301389,585450,90001.0,90838.0,269587.0,159418.0,609844,47.45085628455802,15.372960970193867,15.51592791869502,46.04782645827996,27.229994021692715,177.12914300952212,69.20135950613859,51.47988726620548,94.25061963110797,-24394
39,Cantabria,2023,285133,303254,588387,89188.0,92185.0,268841.0,162225.0,612439,47.59924498603126,15.158050738714486,15.667409375122157,45.69118624306791,27.571139403147928,181.89106157779074,69.63847479128927,51.53988786292015,94.02448112803128,-24052
12,Castellón/Castelló,2015,287653,290085,577738,105982.0,111796.0,255423.0,120116.0,593317,42.78262210588943,18.34430139613458,19.35063990943992,44.21087067148085,20.79073905472723,113.3362269064558,61.570343582439904,50.21047602892661,99.16162504093627,-15579
12,Castellón/Castelló,2016,286315,289231,575546,105523.0,107091.0,257184.0,121928.0,591726,43.132211530336676,18.334416362897144,18.606853318414167,44.68522064265932,21.184753260382315,115.54637377633313,62.43936586370187,50.25332466909682,98.99180931504576,-16180
12,Castellón/Castelló,2017,285975,289458,575433,105212.0,103835.0,258956.0,124138.0,592141,43.46323595224786,18.28397050568876,18.044672446661906,45.00193767128406,21.572972005428955,117.98844238299813,63.21821654892211,50.302641662886906,98.79671662210062,-16708
12,Castellón/Castelló,2018,286385,289957,576342,104857.0,102048.0,259986.0,126697.0,593588,43.7594021442482,18.19353786467063,17.706153637944137,45.10967446412026,21.982954565171372,120.82836625118019,63.95918615378666,50.30988544995853,98.76809320002621,-17246
12,Castellón/Castelló,2019,288052,291540,579592,104657.0,101950.0,261830.0,128979.0,597416,44.01605916145533,18.057012519151403,17.58995983381413,45.17488164087841,22.253412745517537,123.2397259619519,64.22453131013249,50.30090132368977,98.80359470398574,-17824
12,Castellón/Castelló,2020,290217,293984,584201,104667.0,102387.0,264010.0,131585.0,602649,44.26550280511542,17.916265121079903,17.52598848683929,45.19163780958951,22.523925840592536,125.71775249123411,64.4797855877641,50.32240615815447,98.71863774899315,-18448
12,Castellón/Castelló,2021,291857,295775,587632,103740.0,102959.0,265650.0,133967.0,606316,44.5289881843791,17.65390584583549,17.520999537125277,45.20686415988238,22.797771394342035,129.1372662425294,64.48757355354861,50.33337190622703,98.67534443411377,-18684
12,Castellón/Castelló,2022,293616,297684,591300,103244.0,103922.0,266909.0,136094.0,610169,44.74925143689699,17.460510739049553,17.575173346862844,45.139353965837984,23.016066294605107,131.81782960753168,64.54099037027649,50.343987823439875,98.63345023582053,-18869
12,Castellón/Castelló,2023,299780,304306,604086,104838.0,108012.0,271052.0,139262.0,623164,44.77760589507738,17.354813718576494,17.880235595594005,44.86977019828303,23.053340087338558,132.83542227055077,64.3954582867273,50.374615534874174,98.51268131420346,-19078
