codigo_provincia,provincia,anio,trimestre,periodo,sexo,variable,valor
01,Araba/Álava,2018,3,2018T3,total,tasa_paro_pct,7.99
01,Araba/Álava,2018,4,2018T4,hombres,tasa_actividad_pct,64.16
01,Araba/Álava,2018,4,2018T4,hombres,tasa_empleo_pct,59.72
01,Araba/Álava,2018,4,2018T4,hombres,tasa_paro_pct,6.92
01,Araba/Álava,2018,4,2018T4,mujeres,tasa_actividad_pct,52.43
01,Araba/Álava,2018,4,2018T4,mujeres,tasa_empleo_pct,48.27
01,Araba/Álava,2018,4,2018T4,mujeres,tasa_paro_pct,7.93
01,Araba/Álava,2018,4,2018T4,total,tasa_actividad_pct,58.13
01,Araba/Álava,2018,4,2018T4,total,tasa_empleo_pct,53.83
01,Araba/Álava,2018,4,2018T4,total,tasa_paro_pct,7.39
01,Araba/Álava,2019,1,2019T1,hombres,tasa_actividad_pct,63.21
01,Araba/Álava,2019,1,2019T1,hombres,tasa_empleo_pct,59.06
01,Araba/Álava,2019,1,2019T1,hombres,tasa_paro_pct,6.56
01,Araba/Álava,2019,1,2019T1,mujeres,tasa_actividad_pct,55.78
01,Araba/Álava,2019,1,2019T1,mujeres,tasa_empleo_pct,50.99
01,Araba/Álava,2019,1,2019T1,mujeres,tasa_paro_pct,8.59
01,Araba/Álava,2019,1,2019T1,total,tasa_actividad_pct,59.38
01,Araba/Álava,2019,1,2019T1,total,tasa_empleo_pct,54.91
01,Araba/Álava,2019,1,2019T1,total,tasa_paro_pct,7.54
01,Araba/Álava,2019,2,2019T2,hombres,tasa_actividad_pct,61.81
01,Araba/Álava,2019,2,2019T2,hombres,tasa_empleo_pct,56.64
01,Araba/Álava,2019,2,2019T2,hombres,tasa_paro_pct,8.38
01,Araba/Álava,2019,2,2019T2,mujeres,tasa_actividad_pct,55.08
01,Araba/Álava,2019,2,2019T2,mujeres,tasa_empleo_pct,50.85
01,Araba/Álava,2019,2,2019T2,mujeres,tasa_paro_pct,7.68
01,Araba/Álava,2019,2,2019T2,total,tasa_actividad_pct,58.35
01,Araba/Álava,2019,2,2019T2,total,tasa_empleo_pct,53.66
01,Araba/Álava,2019,2,2019T2,total,tasa_paro_pct,8.04
01,Araba/Álava,2019,3,2019T3,hombres,tasa_actividad_pct,61.21
01,Araba/Álava,2019,3,2019T3,hombres,tasa_empleo_pct,55.48
01,Araba/Álava,2019,3,2019T3,hombres,tasa_paro_pct,9.36
01,Araba/Álava,2019,3,2019T3,mujeres,tasa_actividad_pct,53.46
01,Araba/Álava,2019,3,2019T3,mujeres,tasa_empleo_pct,47.5
01,Araba/Álava,2019,3,2019T3,mujeres,tasa_paro_pct,11.16
01,Araba/Álava,2019,3,2019T3,total,tasa_actividad_pct,57.22
01,Araba/Álava,2019,3,2019T3,total,tasa_empleo_pct,51.37
01,Araba/Álava,2019,3,2019T3,total,tasa_paro_pct,10.23
01,Araba/Álava,2019,4,2019T4,hombres,tasa_actividad_pct,60.41
01,Araba/Álava,2019,4,2019T4,hombres,tasa_empleo_pct,56.63
01,Araba/Álava,2019,4,2019T4,hombres,tasa_paro_pct,6.26
01,Araba/Álava,2019,4,2019T4,mujeres,tasa_actividad_pct,52.62
01,Araba/Álava,2019,4,2019T4,mujeres,tasa_empleo_pct,48.17
01,Araba/Álava,2019,4,2019T4,mujeres,tasa_paro_pct,8.45
01,Araba/Álava,2019,4,2019T4,total,tasa_actividad_pct,56.4
01,Araba/Álava,2019,4,2019T4,total,tasa_empleo_pct,52.28
01,Araba/Álava,2019,4,2019T4,total,tasa_paro_pct,7.31
01,Araba/Álava,2020,1,2020T1,hombres,tasa_actividad_pct,60.01
01,Araba/Álava,2020,1,2020T1,hombres,tasa_empleo_pct,56.34
01,Araba/Álava,2020,1,2020T1,hombres,tasa_paro_pct,6.12
01,Araba/Álava,2020,1,2020T1,mujeres,tasa_actividad_pct,50.75
01,Araba/Álava,2020,1,2020T1,mujeres,tasa_empleo_pct,48.21
01,Araba/Álava,2020,1,2020T1,mujeres,tasa_paro_pct,5.01
01,Araba/Álava,2020,1,2020T1,total,tasa_actividad_pct,55.24
01,Araba/Álava,2020,1,2020T1,total,tasa_empleo_pct,52.15
01,Araba/Álava,2020,1,2020T1,total,tasa_paro_pct,5.59
01,Araba/Álava,2020,2,2020T2,hombres,tasa_actividad_pct,57.85
01,Araba/Álava,2020,2,2020T2,hombres,tasa_empleo_pct,54.27
01,Araba/Álava,2020,2,2020T2,hombres,tasa_paro_pct,6.19
01,Araba/Álava,2020,2,2020T2,mujeres,tasa_actividad_pct,50.5
01,Araba/Álava,2020,2,2020T2,mujeres,tasa_empleo_pct,45.67
01,Araba/Álava,2020,2,2020T2,mujeres,tasa_paro_pct,9.56
01,Araba/Álava,2020,2,2020T2,total,tasa_actividad_pct,54.06
01,Araba/Álava,2020,2,2020T2,total,tasa_empleo_pct,49.84
01,Araba/Álava,2020,2,2020T2,total,tasa_paro_pct,7.81
01,Araba/Álava,2020,3,2020T3,hombres,tasa_actividad_pct,59.02
01,Araba/Álava,2020,3,2020T3,hombres,tasa_empleo_pct,55.33
01,Araba/Álava,2020,3,2020T3,hombres,tasa_paro_pct,6.25
01,Araba/Álava,2020,3,2020T3,mujeres,tasa_actividad_pct,50.89
01,Araba/Álava,2020,3,2020T3,mujeres,tasa_empleo_pct,45.8
01,Araba/Álava,2020,3,2020T3,mujeres,tasa_paro_pct,10.0
01,Araba/Álava,2020,3,2020T3,total,tasa_actividad_pct,54.83
01,Araba/Álava,2020,3,2020T3,total,tasa_empleo_pct,50.42
01,Araba/Álava,2020,3,2020T3,total,tasa_paro_pct,8.04
01,Araba/Álava,2020,4,2020T4,hombres,tasa_actividad_pct,58.96
01,Araba/Álava,2020,4,2020T4,hombres,tasa_empleo_pct,53.79
01,Araba/Álava,2020,4,2020T4,hombres,tasa_paro_pct,8.76
01,Araba/Álava,2020,4,2020T4,mujeres,tasa_actividad_pct,51.49
01,Araba/Álava,2020,4,2020T4,mujeres,tasa_empleo_pct,45.66
01,Araba/Álava,2020,4,2020T4,mujeres,tasa_paro_pct,11.32
01,Araba/Álava,2020,4,2020T4,total,tasa_actividad_pct,55.11
01,Araba/Álava,2020,4,2020T4,total,tasa_empleo_pct,49.6
01,Araba/Álava,2020,4,2020T4,total,tasa_paro_pct,9.99
01,Araba/Álava,2021,1,2021T1,hombres,tasa_actividad_pct,61.09
01,Araba/Álava,2021,1,2021T1,hombres,tasa_empleo_pct,53.49
01,Araba/Álava,2021,1,2021T1,hombres,tasa_paro_pct,12.44
01,Araba/Álava,2021,1,2021T1,mujeres,tasa_actividad_pct,51.7
01,Araba/Álava,2021,1,2021T1,mujeres,tasa_empleo_pct,44.91
01,Araba/Álava,2021,1,2021T1,mujeres,tasa_paro_pct,13.14
01,Araba/Álava,2021,1,2021T1,total,tasa_actividad_pct,56.3
01,Araba/Álava,2021,1,2021T1,total,tasa_empleo_pct,49.12
01,Araba/Álava,2021,1,2021T1,total,tasa_paro_pct,12.76
01,Araba/Álava,2021,2,2021T2,hombres,tasa_actividad_pct,60.0
01,Araba/Álava,2021,2,2021T2,hombres,tasa_empleo_pct,52.23
01,Araba/Álava,2021,2,2021T2,hombres,tasa_paro_pct,12.96
01,Araba/Álava,2021,2,2021T2,mujeres,tasa_actividad_pct,50.94
01,Araba/Álava,2021,2,2021T2,mujeres,tasa_empleo_pct,46.55
01,Araba/Álava,2021,2,2021T2,mujeres,tasa_paro_pct,8.62
01,Araba/Álava,2021,2,2021T2,total,tasa_actividad_pct,55.37
01,Araba/Álava,2021,2,2021T2,total,tasa_empleo_pct,49.32
