poblacion_total_lag4;pct_18_34_lag4;pct_35_64_lag4;pct_65_mas_lag4;tamano_medio_hogar_lag4;pct_hogares_unipersonales_lag4;pct_poblacion_espanola_lag4;tasa_migracion_neta_exterior_por_1000_habitantes_lag4;salario_medio_anual_euros_total_lag8;tasa_actividad_pct_total_lag1;tasa_paro_pct_total_lag1;renta_neta_media_por_hogar_eur_lag8;indice_precios_consumo_base_2015_lag1;indice_costes_construccion_lag1;tipo_interes_prestamos_vivienda_pct_lag1;importe_medio_hipoteca_vivienda_eur_lag1;valor_tasado_m2_lag1;ipv_general_lag1;compraventas_por_1000_hab_lag1;pct_compraventas_vivienda_nueva_lag1;visados_obra_nueva_por_1000_hab_lag1;plazas_hoteleras_por_1000_hab_lag1;pernoctaciones_por_habitante_lag1;sen_trimestre;cos_trimestre;tendencia_temporal;prov_Albacete;prov_Alicante/Alacant;prov_Almería;prov_Araba/Álava;prov_Asturias;prov_Badajoz;prov_Balears, Illes;prov_Barcelona;prov_Bizkaia;prov_Burgos;prov_Cantabria;prov_Castellón/Castelló;prov_Ceuta;prov_Ciudad Real;prov_Coruña, A;prov_Cuenca;prov_Cáceres;prov_Cádiz;prov_Córdoba;prov_Gipuzkoa;prov_Girona;prov_Granada;prov_Guadalajara;prov_Huelva;prov_Huesca;prov_Jaén;prov_León;prov_Lleida;prov_Lugo;prov_Madrid;prov_Melilla;prov_Murcia;prov_Málaga;prov_Navarra;prov_Ourense;prov_Palencia;prov_Palmas, Las;prov_Pontevedra;prov_Rioja, La;prov_Salamanca;prov_Santa Cruz de Tenerife;prov_Segovia;prov_Sevilla;prov_Soria;prov_Tarragona;prov_Teruel;prov_Toledo;prov_Valencia/València;prov_Valladolid;prov_Zamora;prov_Zaragoza;prov_Ávila;provincia;trimestre;periodo;periodo_objetivo;persistencia
753364,0;20,56;42,21;17,636;2,6;28,9;78,0;9,4;16962,0;59,77;14,19;28442,0;123,41;117,41;3,55;102350,99;1240,8;87,224;4,481;22,17;1,018;47,463;1,938;-1,0;-1,8369701987210297e-16;38;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Almería;3;2024T3;2025T3;7,126
753364,0;20,56;42,21;17,636;2,6;28,9;78,0;9,4;16962,0;58,68;16,22;28442,0;122,68;114,163;3,45;93871,59;1241,6;90,574;4,995;21,84;0,971;55,845;3,361;-2,4492935982947064e-16;1,0;39;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Almería;4;2024T4;2025T4;7,118
336308,0;16,295;40,92;25,846;2,4;32,4;89,3;8,89;32799,0;56,43;5,26;38586,0;120,31;117,607;4,03;138360,77;2108,4;82,719;1,882;19,27;1,047;14,75;0,683;1,0;6,123233995736766e-17;36;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Araba/Álava;1;2024T1;2025T1;6,236
336308,0;16,295;40,92;25,846;2,4;32,4;89,3;8,89;32799,0;57,13;8,8;38586,0;120,75;113,317;3,693;144308,15;2095,7;85,5;2,454;20,1;1,35;13,784;0,589;1,2246467991473532e-16;-1,0;37;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Araba/Álava;2;2024T2;2025T2;6,331
336308,0;16,295;40,92;25,846;2,4;32,4;89,3;8,89;32799,0;56,96;8,28;38586,0;123,07;117,41;3,55;133801,68;2112,0;88,46;2,564;38,02;0,307;14,515;0,726;-1,0;-1,8369701987210297e-16;38;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Araba/Álava;3;2024T3;2025T3;6,47
336308,0;16,295;40,92;25,846;2,4;32,4;89,3;8,89;32799,0;56,28;9,4;38586,0;122,64;114,163;3,45;143331,62;2141,4;91,022;3,119;36,36;1,226;14,891;0,93;-2,4492935982947064e-16;1,0;39;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Araba/Álava;4;2024T4;2025T4;6,369
1006060,0;13,857;40,82;32,585;2,2;34,4;94,1;9,12;23405,0;50,05;11,62;33242,0;120,27;117,607;4,03;111395,44;1347,2;82,013;2,913;17,33;0,778;21,403;0,747;1,0;6,123233995736766e-17;36;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Asturias;1;2024T1;2025T1;5,369
1006060,0;13,857;40,82;32,585;2,2;34,4;94,1;9,12;23405,0;50,81;11,4;33242,0;120,99;113,317;3,693;113672,62;1362,8;84,06;3,154;19,22;0,917;19,159;0,58;1,2246467991473532e-16;-1,0;37;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Asturias;2;2024T2;2025T2;5,502
1006060,0;13,857;40,82;32,585;2,2;34,4;94,1;9,12;23405,0;50,7;11,79;33242,0;122,97;117,41;3,55;101461,11;1400,4;87,358;3,155;16,83;0,962;25,96;0,991;-1,0;-1,8369701987210297e-16;38;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Asturias;3;2024T3;2025T3;5,535
1006060,0;13,857;40,82;32,585;2,2;34,4;94,1;9,12;23405,0;51,94;9,26;33242,0;122,91;114,163;3,45;110003,64;1435,8;89,334;3,747;23,31;1,08;28,327;1,705;-2,4492935982947064e-16;1,0;39;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Asturias;4;2024T4;2025T4;5,513
666049,0;18,571;40,79;23,998;2,4;29,9;96,2;4,45;17040,0;56,49;17,6;27243,0;122,38;117,607;4,03;85502,08;908,4;83,711;2,179;11,23;0,586;12,749;0,446;1,0;6,123233995736766e-17;36;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Badajoz;1;2024T1;2025T1;4,64
666049,0;18,571;40,79;23,998;2,4;29,9;96,2;4,45;17040,0;56,23;17,6;27243,0;122,73;113,317;3,693;92203,25;920,4;85,534;2,147;6,85;0,842;12,431;0,396;1,2246467991473532e-16;-1,0;37;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Badajoz;2;2024T2;2025T2;4,746
666049,0;18,571;40,79;23,998;2,4;29,9;96,2;4,45;17040,0;56,77;15,94;27243,0;124,82;117,41;3,55;84318,76;924,8;88,52;2,444;13,39;0,616;13,497;0,533;-1,0;-1,8369701987210297e-16;38;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Badajoz;3;2024T3;2025T3;4,809
666049,0;18,571;40,79;23,998;2,4;29,9;96,2;4,45;17040,0;57,2;13,51;27243,0;123,95;114,163;3,45;89314,55;925,5;90,78;2,643;12,33;0,922;13,762;0,599;-2,4492935982947064e-16;1,0;39;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Badajoz;4;2024T4;2025T4;4,745
1209906,0;20,622;43,5;18,785;2,7;27,5;79,3;15,6;21765,0;60,93;11,16;40597,0;121,43;117,607;4,03;235487,35;2957,7;84,691;2,621;19,05;1,489;98,631;5,839;1,0;6,123233995736766e-17;36;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Balears, Illes;1;2024T1;2025T1;10,904
1209906,0;20,622;43,5;18,785;2,7;27,5;79,3;15,6;21765,0;61,47;15,48;40597,0;121,82;113,317;3,693;225304,17;3034,3;86,24;2,587;19,49;1,22;43,372;2,021;1,2246467991473532e-16;-1,0;37;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Balears, Illes;2;2024T2;2025T2;11,224
1209906,0;20,622;43,5;18,785;2,7;27,5;79,3;15,6;21765,0;65,35;7,95;40597,0;124,4;117,41;3,55;238732,01;3108,7;88,257;2,784;19,66;1,112;245,364;17,122;-1,0;-1,8369701987210297e-16;38;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Balears, Illes;3;2024T3;2025T3;11,439
