codigo_provincia,provincia,anio,alquiler_mensual_eur_m2_mediana_vivienda_colectiva,alquiler_mensual_eur_m2_mediana_vivienda_unifamiliar,alquiler_mensual_eur_m2_p25_vivienda_colectiva,alquiler_mensual_eur_m2_p25_vivienda_unifamiliar,alquiler_mensual_eur_m2_p75_vivienda_colectiva,alquiler_mensual_eur_m2_p75_vivienda_unifamiliar,alquiler_mensual_total_eur_mediana_vivienda_colectiva,alquiler_mensual_total_eur_mediana_vivienda_unifamiliar,alquiler_mensual_total_eur_p25_vivienda_colectiva,alquiler_mensual_total_eur_p25_vivienda_unifamiliar,alquiler_mensual_total_eur_p75_vivienda_colectiva,alquiler_mensual_total_eur_p75_vivienda_unifamiliar,observaciones_alquiler_vivienda_colectiva,observaciones_alquiler_vivienda_unifamiliar,superficie_m2_mediana_vivienda_colectiva,superficie_m2_mediana_vivienda_unifamiliar,superficie_m2_p25_vivienda_colectiva,superficie_m2_p25_vivienda_unifamiliar,superficie_m2_p75_vivienda_colectiva,superficie_m2_p75_vivienda_unifamiliar
22,Huesca,2015,5.14285714285714,2.9646017699115,3.56603897731545,1.92,7.59217508417509,4.82456140350877,400.0,333.333333333333,300.0,225.0,600.0,600.0,6090.0,720.0,83.0,190.0,66.0,134.0,106.0,292.0
22,Huesca,2016,5.23310149967398,3.14685314685315,3.65853658536585,2.01310861423221,7.84313725490196,5.00147260273973,400.0,350.0,300.0,250.0,636.5,600.0,6517.0,804.0,83.0,192.0,66.0,132.0,105.0,278.0
22,Huesca,2017,5.35714285714286,3.30578512396694,3.76332138590203,2.11403033586132,7.97831098805013,5.2633004528523,400.0,354.32,312.5,250.0,636.0,600.0,7019.0,874.0,82.0,191.0,66.0,134.0,104.0,278.5
22,Huesca,2018,5.47945205479452,3.5039470333588,3.84615384615385,2.12089794446448,8.22146118721461,5.55224242424243,412.5,390.625,320.0,250.0,660.0,605.6725,7637.0,981.0,82.0,192.0,65.0,136.0,104.0,283.5
23,Jaén,2015,4.21052631578947,2.78749028749029,2.80373831775701,1.63368802805675,6.40297389816003,4.71142234671646,379.166666666667,386.6825,280.0,250.0,600.0,650.0,5530.0,731.0,99.0,186.0,79.0,130.0,118.0,264.0
23,Jaén,2016,4.50450450450451,2.75590551181102,2.94117647058824,1.51909722222222,6.73076923076923,4.77941176470588,400.0,366.666666666667,291.666666666667,240.0,600.041669666967,642.86,5954.0,812.0,99.0,181.0,78.0,127.0,118.0,262.0
23,Jaén,2017,4.48717948717949,3.01032882148678,3.0,1.70649128268991,6.77860696517413,4.92449860074627,400.0,382.415,300.0,250.0,600.0,641.52375,6460.0,905.0,98.0,173.0,78.0,120.0,117.0,252.0
23,Jaén,2018,4.58309523809524,3.05839002267574,3.04428540680155,1.81051337914083,7.04225352112676,5.18262987012987,400.0,400.0,300.0,250.0,630.847708333333,660.0,7011.0,959.0,97.0,174.0,78.0,124.0,117.0,252.25
24,León,2015,4.70588235294118,2.8473302669733,3.25545171339564,1.65637382542737,6.97674418604651,4.61485421591805,390.0,375.0,290.416666666667,232.3375,600.0,614.166666666667,11296.0,1351.0,91.0,211.0,74.0,144.0,111.0,305.25
24,León,2016,4.82758620689655,2.9902917131178,3.33333333333333,1.73611111111111,7.15754239644148,5.03923236906788,400.0,400.0,300.0,240.0,600.0,650.0,12402.0,1487.0,90.0,209.0,74.0,140.0,111.0,300.25
