provincia,anio,trimestre,periodo,valor_transacciones_miles_euros
Almería,2017,1,2017-T1,5490.49
Almería,2017,2,2017-T2,9655.57
Almería,2017,3,2017-T3,6255.1
Almería,2017,4,2017-T4,5716.94
Almería,2018,1,2018-T1,5111.38
Almería,2018,2,2018-T2,12989.67
Almería,2018,3,2018-T3,6208.66
Almería,2018,4,2018-T4,9021.57
Almería,2019,1,2019-T1,7632.47
Almería,2019,2,2019-T2,4131.82
Almería,2019,3,2019-T3,10285.17
Almería,2019,4,2019-T4,9735.54
Almería,2020,1,2020-T1,1088.34
Almería,2020,2,2020-T2,2760.11
Almería,2020,3,2020-T3,4945.76
Almería,2020,4,2020-T4,7539.3
Almería,2021,1,2021-T1,3586.63
Almería,2021,2,2021-T2,8743.29
Almería,2021,3,2021-T3,10559.93
Almería,2021,4,2021-T4,15179.06
Almería,2022,1,2022-T1,17774.34
Almería,2022,2,2022-T2,10625.31
Almería,2022,3,2022-T3,14890.24
Almería,2022,4,2022-T4,13475.29
Almería,2023,1,2023-T1,10570.62
Almería,2023,2,2023-T2,26971.74
Almería,2023,3,2023-T3,4713.39
Almería,2023,4,2023-T4,11653.79
Almería,2024,1,2024-T1,12203.88
Almería,2024,2,2024-T2,6380.7
Almería,2024,3,2024-T3,18140.0
Almería,2024,4,2024-T4,15601.11
Almería,2025,1,2025-T1,19846.35
Almería,2025,2,2025-T2,28914.84
Almería,2025,3,2025-T3,9907.3
Almería,2025,4,2025-T4,18610.35
Almería,2026,1,2026-T1,16525.52
Avila,2004,1,2004-T1,15754.4
Avila,2004,2,2004-T2,23295.5
Avila,2004,3,2004-T3,9956.0
Avila,2004,4,2004-T4,18583.8
Avila,2005,1,2005-T1,12566.7
Avila,2005,2,2005-T2,18500.3
Avila,2005,3,2005-T3,41456.2
Avila,2005,4,2005-T4,16232.7
Avila,2006,1,2006-T1,9595.2
Avila,2006,2,2006-T2,15010.9
Avila,2006,3,2006-T3,3922.2
Avila,2006,4,2006-T4,6160.7
Avila,2007,1,2007-T1,5738.1
Avila,2007,2,2007-T2,15155.7
Avila,2007,3,2007-T3,3496.9966
Avila,2007,4,2007-T4,8028.4
Avila,2008,1,2008-T1,7985.0
Avila,2008,2,2008-T2,13024.6
Avila,2008,3,2008-T3,6708.0
Avila,2008,4,2008-T4,13730.18
Avila,2009,1,2009-T1,1957.13
Avila,2009,2,2009-T2,12248.27
Avila,2009,3,2009-T3,2858.97
Avila,2009,4,2009-T4,3471.13
Avila,2010,1,2010-T1,3325.72
Avila,2010,2,2010-T2,5054.58
Avila,2010,3,2010-T3,1789.18
Avila,2010,4,2010-T4,2007.58
Avila,2011,1,2011-T1,1819.07
Avila,2011,2,2011-T2,1417.58
Avila,2011,3,2011-T3,2093.0
Avila,2011,4,2011-T4,6496.85
Avila,2012,1,2012-T1,1229.11
Avila,2012,2,2012-T2,1708.82
Avila,2012,3,2012-T3,1140.66
Avila,2012,4,2012-T4,2288.59
Avila,2013,1,2013-T1,1079.44
Avila,2013,2,2013-T2,669.51
Avila,2013,3,2013-T3,438.82
Avila,2013,4,2013-T4,818.09
Avila,2014,1,2014-T1,262.2
Avila,2014,2,2014-T2,170.15
Avila,2014,3,2014-T3,502.41
Avila,2014,4,2014-T4,1609.98
Avila,2015,1,2015-T1,110.43
Avila,2015,2,2015-T2,1388.39
Avila,2015,3,2015-T3,227.22
Avila,2015,4,2015-T4,243.04
Avila,2016,1,2016-T1,214.7
Avila,2016,2,2016-T2,1257.76
Avila,2016,3,2016-T3,1835.99
Avila,2016,4,2016-T4,782.76
Avila,2017,1,2017-T1,334.5
Avila,2017,2,2017-T2,994.47
Avila,2017,3,2017-T3,377.69
Avila,2017,4,2017-T4,1021.53
Avila,2018,1,2018-T1,133.03
Avila,2018,2,2018-T2,456.1
Avila,2018,3,2018-T3,691.24
Avila,2018,4,2018-T4,973.14
Avila,2019,1,2019-T1,835.08
Avila,2019,2,2019-T2,226.04
Avila,2019,3,2019-T3,283.04
Avila,2019,4,2019-T4,382.43
Avila,2020,1,2020-T1,256.57
