provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Jaén,2021,126.07,4
Jaén,2022,122.68,4
Jaén,2023,125.96,4
Jaén,2024,149.82,4
Jaén,2025,136.4,4
Jaén,2026,136.83,1
León,2004,166.02,4
León,2005,197.4,4
León,2006,212.63,4
León,2007,145.87,4
León,2008,120.28,4
León,2009,107.45,4
León,2010,64.07,4
León,2011,37.24,4
León,2012,41.04,4
León,2013,53.76,4
León,2014,44.12,4
León,2015,47.04,4
León,2016,45.36,4
León,2017,46.52,4
León,2018,45.64,4
León,2019,45.41,4
León,2020,51.18,4
León,2021,50.58,4
León,2022,42.02,4
León,2023,45.37,4
León,2024,48.09,4
León,2025,57.44,4
León,2026,52.79,1
Lleida,2004,181.19,4
Lleida,2005,221.16,4
Lleida,2006,222.08,4
Lleida,2007,212.47,4
Lleida,2008,189.12,4
Lleida,2009,179.5,4
Lleida,2010,182.86,4
Lleida,2011,139.58,4
Lleida,2012,128.8,4
Lleida,2013,140.74,4
Lleida,2014,130.22,4
Lleida,2015,109.16,4
Lleida,2016,101.68,4
Lleida,2017,103.28,4
Lleida,2018,81.56,4
Lleida,2019,103.4,4
Lleida,2020,102.12,4
Lleida,2021,119.63,4
Lleida,2022,113.43,4
Lleida,2023,117.73,4
Lleida,2024,134.24,4
Lleida,2025,138.45,4
Lleida,2026,133.95,1
Lugo,2004,175.96,4
Lugo,2005,181.52,4
Lugo,2006,145.2,4
Lugo,2007,173.44,4
Lugo,2008,152.04,4
Lugo,2009,110.54,4
Lugo,2010,96.16,4
Lugo,2011,103.51,3
Lugo,2012,93.38,4
Lugo,2013,37.16,4
Lugo,2014,63.19,4
Lugo,2015,43.37,4
Lugo,2016,51.81,3
Lugo,2017,54.82,4
Lugo,2018,54.8,4
Lugo,2019,71.92,4
Lugo,2020,47.17,4
Lugo,2021,101.0,4
Lugo,2022,60.52,4
Lugo,2023,71.39,4
Lugo,2024,50.15,4
Lugo,2025,63.18,4
Lugo,2026,95.39,1
Málaga,2004,204.64,4
Málaga,2005,231.7,4
Málaga,2006,271.92,4
Málaga,2007,303.12,4
Málaga,2008,304.06,4
Málaga,2009,318.2,4
Málaga,2010,302.5,4
Málaga,2011,253.51,4
Málaga,2012,233.49,4
Málaga,2013,190.4,4
Málaga,2014,202.25,4
Málaga,2015,225.64,4
Málaga,2016,226.13,4
Málaga,2017,230.92,4
Málaga,2018,238.23,4
Málaga,2019,256.14,4
Málaga,2020,240.55,4
Málaga,2021,230.34,4
Málaga,2022,273.48,4
Málaga,2023,279.66,4
Málaga,2024,307.84,4
Málaga,2025,323.89,4
Málaga,2026,344.23,1
Ourense,2004,110.7,4
Ourense,2005,125.27,4
Ourense,2006,133.68,4
Ourense,2007,165.55,4
Ourense,2008,204.59,4
Ourense,2009,203.48,4
Ourense,2010,114.72,4
Ourense,2011,67.96,2
Ourense,2012,60.43,4
Ourense,2013,52.46,3
Ourense,2014,59.58,4
Ourense,2015,61.67,4
Ourense,2016,69.63,4
Ourense,2017,64.26,4
Ourense,2018,64.58,4
Ourense,2019,42.54,4
Ourense,2020,37.53,4
Ourense,2021,52.36,4
Ourense,2022,48.09,4
Ourense,2023,56.53,4
Ourense,2024,33.63,3
Ourense,2025,59.46,4
Ourense,2026,72.43,1
Palencia,2004,77.14,4
Palencia,2005,107.44,4
Palencia,2006,97.7,4
Palencia,2007,106.66,4
Palencia,2008,111.29,4
Palencia,2009,92.79,4
Palencia,2010,74.78,4
Palencia,2011,78.09,4
Palencia,2012,53.57,4
Palencia,2013,66.84,4
Palencia,2014,45.22,4
Palencia,2015,46.12,4
Palencia,2016,45.55,4
Palencia,2017,56.33,4
Palencia,2018,53.71,4
Palencia,2019,71.74,4
Palencia,2020,46.48,4
Palencia,2021,58.78,4
Palencia,2022,59.11,4
Palencia,2023,48.42,4
Palencia,2024,50.09,4
Palencia,2025,65.23,4
Palencia,2026,52.32,1
