provincia,anio,trimestre,periodo,superficie_m2
Badajoz,2015,1,2015-T1,46.72
Badajoz,2015,2,2015-T2,55.79
Badajoz,2015,3,2015-T3,71.26
Badajoz,2015,4,2015-T4,101.9
Badajoz,2016,1,2016-T1,52.44
Badajoz,2016,2,2016-T2,75.83
Badajoz,2016,3,2016-T3,70.78
Badajoz,2016,4,2016-T4,43.19
Badajoz,2017,1,2017-T1,50.41
Badajoz,2017,2,2017-T2,65.08
Badajoz,2017,3,2017-T3,75.89
Badajoz,2017,4,2017-T4,131.54
Badajoz,2018,1,2018-T1,46.56
Badajoz,2018,2,2018-T2,58.38
Badajoz,2018,3,2018-T3,65.32
Badajoz,2018,4,2018-T4,76.81
Badajoz,2019,1,2019-T1,74.77
Badajoz,2019,2,2019-T2,66.23
Badajoz,2019,3,2019-T3,51.61
Badajoz,2019,4,2019-T4,54.69
Badajoz,2020,1,2020-T1,41.69
Badajoz,2020,2,2020-T2,29.71
Badajoz,2020,3,2020-T3,66.73
Badajoz,2020,4,2020-T4,97.47
Badajoz,2021,1,2021-T1,93.1
Badajoz,2021,2,2021-T2,116.62
Badajoz,2021,3,2021-T3,86.99
Badajoz,2021,4,2021-T4,133.14
Badajoz,2022,1,2022-T1,145.24
Badajoz,2022,2,2022-T2,73.79
Badajoz,2022,3,2022-T3,48.56
Badajoz,2022,4,2022-T4,91.23
Badajoz,2023,1,2023-T1,56.5
Badajoz,2023,2,2023-T2,83.62
Badajoz,2023,3,2023-T3,48.1
Badajoz,2023,4,2023-T4,97.76
Badajoz,2024,1,2024-T1,88.59
Badajoz,2024,2,2024-T2,89.48
Badajoz,2024,3,2024-T3,62.6
Badajoz,2024,4,2024-T4,60.71
Badajoz,2025,1,2025-T1,72.57
Badajoz,2025,2,2025-T2,66.03
Badajoz,2025,3,2025-T3,72.02
Badajoz,2025,4,2025-T4,84.27
Badajoz,2026,1,2026-T1,88.06
Barcelona,2004,1,2004-T1,3505.9
Barcelona,2004,2,2004-T2,3240.8
Barcelona,2004,3,2004-T3,3543.2
Barcelona,2004,4,2004-T4,3887.6
Barcelona,2005,1,2005-T1,3328.3
Barcelona,2005,2,2005-T2,3175.7
Barcelona,2005,3,2005-T3,3262.1
Barcelona,2005,4,2005-T4,2417.6
Barcelona,2006,1,2006-T1,2213.1
Barcelona,2006,2,2006-T2,2393.1
Barcelona,2006,3,2006-T3,1968.6
Barcelona,2006,4,2006-T4,1896.0
Barcelona,2007,1,2007-T1,1583.6
Barcelona,2007,2,2007-T2,3095.0
Barcelona,2007,3,2007-T3,1402.63784
Barcelona,2007,4,2007-T4,1436.0
Barcelona,2008,1,2008-T1,1376.7
Barcelona,2008,2,2008-T2,999.0
Barcelona,2008,3,2008-T3,2069.06
Barcelona,2008,4,2008-T4,834.37
Barcelona,2009,1,2009-T1,522.63
Barcelona,2009,2,2009-T2,654.34
Barcelona,2009,3,2009-T3,447.13
Barcelona,2009,4,2009-T4,588.98
Barcelona,2010,1,2010-T1,506.51
Barcelona,2010,2,2010-T2,511.67
Barcelona,2010,3,2010-T3,292.74
Barcelona,2010,4,2010-T4,334.03
Barcelona,2011,1,2011-T1,940.43
Barcelona,2011,2,2011-T2,412.32
Barcelona,2011,3,2011-T3,965.33
Barcelona,2011,4,2011-T4,576.97
