codigo_ccaa,ccaa,anio,trimestre,periodo,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano
06,Cantabria,2017,2,2017T2,61.331,57.0,62.0
06,Cantabria,2017,3,2017T3,61.652,57.223,62.339
06,Cantabria,2017,4,2017T4,61.686,56.075,62.61
06,Cantabria,2018,1,2018T1,62.835,56.51,63.887
06,Cantabria,2018,2,2018T2,64.887,58.012,66.035
06,Cantabria,2018,3,2018T3,65.149,59.663,66.047
06,Cantabria,2018,4,2018T4,65.534,59.512,66.527
06,Cantabria,2019,1,2019T1,66.415,63.162,66.938
06,Cantabria,2019,2,2019T2,66.331,60.722,67.254
06,Cantabria,2019,3,2019T3,66.692,60.907,67.644
06,Cantabria,2019,4,2019T4,66.941,60.454,68.013
06,Cantabria,2020,1,2020T1,67.06,62.581,67.799
06,Cantabria,2020,2,2020T2,67.186,64.31,67.661
06,Cantabria,2020,3,2020T3,67.611,66.923,67.724
06,Cantabria,2020,4,2020T4,67.739,65.203,68.157
06,Cantabria,2021,1,2021T1,68.431,65.37,68.944
06,Cantabria,2021,2,2021T2,70.761,67.082,71.385
06,Cantabria,2021,3,2021T3,72.26,68.779,72.847
06,Cantabria,2021,4,2021T4,72.954,69.331,73.566
06,Cantabria,2022,1,2022T1,75.939,72.826,76.479
06,Cantabria,2022,2,2022T2,77.797,71.933,78.743
06,Cantabria,2022,3,2022T3,79.005,74.18,79.8
06,Cantabria,2022,4,2022T4,79.214,76.659,79.676
06,Cantabria,2023,1,2023T1,80.18,80.489,80.174
06,Cantabria,2023,2,2023T2,81.492,81.606,81.518
06,Cantabria,2023,3,2023T3,83.684,84.627,83.576
06,Cantabria,2023,4,2023T4,82.65,83.028,82.634
06,Cantabria,2024,1,2024T1,85.639,90.05,84.988
06,Cantabria,2024,2,2024T2,88.536,94.006,87.721
06,Cantabria,2024,3,2024T3,91.1,94.558,90.603
06,Cantabria,2024,4,2024T4,92.372,94.018,92.161
06,Cantabria,2025,1,2025T1,94.384,96.31,94.136
06,Cantabria,2025,2,2025T2,98.115,99.083,97.99
06,Cantabria,2025,3,2025T3,102.578,101.594,102.704
06,Cantabria,2025,4,2025T4,104.924,103.012,105.169
06,Cantabria,2026,1,2026T1,107.568,105.86,107.786
07,Castilla y León,2015,1,2015T1,61.891,54.017,63.082
07,Castilla y León,2015,2,2015T2,63.405,53.875,65.009
07,Castilla y León,2015,3,2015T3,62.952,53.174,64.628
07,Castilla y León,2015,4,2015T4,62.984,54.175,64.405
07,Castilla y León,2016,1,2016T1,62.963,54.328,64.345
07,Castilla y León,2016,2,2016T2,63.753,56.435,64.83
07,Castilla y León,2016,3,2016T3,63.699,55.768,64.916
07,Castilla y León,2016,4,2016T4,63.471,54.986,64.815
07,Castilla y León,2017,1,2017T1,64.277,56.459,65.513
07,Castilla y León,2017,2,2017T2,64.47,56.513,65.728
07,Castilla y León,2017,3,2017T3,64.374,56.115,65.681
07,Castilla y León,2017,4,2017T4,64.92,56.491,66.254
07,Castilla y León,2018,1,2018T1,65.684,59.093,66.748
07,Castilla y León,2018,2,2018T2,66.904,60.033,68.011
07,Castilla y León,2018,3,2018T3,68.04,61.541,69.093
07,Castilla y León,2018,4,2018T4,67.992,61.306,69.073
07,Castilla y León,2019,1,2019T1,68.933,63.947,69.771
07,Castilla y León,2019,2,2019T2,70.466,65.956,71.238
07,Castilla y León,2019,3,2019T3,70.805,65.231,71.731
07,Castilla y León,2019,4,2019T4,71.386,67.227,72.109
07,Castilla y León,2020,1,2020T1,70.949,67.472,71.57
07,Castilla y León,2020,2,2020T2,72.549,68.189,73.304
07,Castilla y León,2020,3,2020T3,72.382,71.219,72.658
07,Castilla y León,2020,4,2020T4,72.332,70.076,72.772
07,Castilla y León,2021,1,2021T1,72.356,69.296,72.939
07,Castilla y León,2021,2,2021T2,74.437,70.957,75.095
07,Castilla y León,2021,3,2021T3,75.445,73.515,75.829
07,Castilla y León,2021,4,2021T4,76.225,74.071,76.648
07,Castilla y León,2022,1,2022T1,77.597,75.534,78.003
07,Castilla y León,2022,2,2022T2,79.21,75.973,79.844
07,Castilla y León,2022,3,2022T3,80.393,76.59,81.139
07,Castilla y León,2022,4,2022T4,79.321,78.747,79.436
07,Castilla y León,2023,1,2023T1,79.538,80.93,79.253
07,Castilla y León,2023,2,2023T2,81.46,82.734,81.2
07,Castilla y León,2023,3,2023T3,82.365,83.263,82.181
07,Castilla y León,2023,4,2023T4,82.077,82.472,81.996
07,Castilla y León,2024,1,2024T1,84.235,86.245,83.792
07,Castilla y León,2024,2,2024T2,87.058,87.252,87.021
07,Castilla y León,2024,3,2024T3,88.944,88.181,89.123
07,Castilla y León,2024,4,2024T4,90.75,91.358,90.621
07,Castilla y León,2025,1,2025T1,94.708,96.705,94.286
07,Castilla y León,2025,2,2025T2,98.874,99.205,98.804
07,Castilla y León,2025,3,2025T3,101.772,99.715,102.207
07,Castilla y León,2025,4,2025T4,104.645,104.375,104.702
07,Castilla y León,2026,1,2026T1,108.857,107.394,109.136
08,Castilla - La Mancha,2015,1,2015T1,69.067,56.148,72.029
08,Castilla - La Mancha,2015,2,2015T2,70.506,57.369,73.512
08,Castilla - La Mancha,2015,3,2015T3,70.161,57.783,72.911
08,Castilla - La Mancha,2015,4,2015T4,70.375,58.372,72.992
08,Castilla - La Mancha,2016,1,2016T1,70.088,58.466,72.59
08,Castilla - La Mancha,2016,2,2016T2,70.919,61.727,72.642
08,Castilla - La Mancha,2016,3,2016T3,71.065,61.542,72.891
08,Castilla - La Mancha,2016,4,2016T4,70.383,59.716,72.58
08,Castilla - La Mancha,2017,1,2017T1,71.215,61.532,73.171
08,Castilla - La Mancha,2017,2,2017T2,71.455,61.726,73.422
08,Castilla - La Mancha,2017,3,2017T3,71.186,61.326,73.186
08,Castilla - La Mancha,2017,4,2017T4,70.685,60.676,72.722
08,Castilla - La Mancha,2018,1,2018T1,71.692,63.97,73.25
08,Castilla - La Mancha,2018,2,2018T2,72.509,64.495,74.127
08,Castilla - La Mancha,2018,3,2018T3,73.467,66.75,74.813
08,Castilla - La Mancha,2018,4,2018T4,73.575,66.812,74.93
08,Castilla - La Mancha,2019,1,2019T1,74.646,71.313,75.3
08,Castilla - La Mancha,2019,2,2019T2,75.333,71.951,75.997
08,Castilla - La Mancha,2019,3,2019T3,75.741,72.445,76.388
08,Castilla - La Mancha,2019,4,2019T4,75.798,73.374,76.267
08,Castilla - La Mancha,2020,1,2020T1,75.411,73.62,75.758
08,Castilla - La Mancha,2020,2,2020T2,76.499,73.142,77.147
08,Castilla - La Mancha,2020,3,2020T3,76.788,75.228,77.091
08,Castilla - La Mancha,2020,4,2020T4,76.702,72.927,77.43
08,Castilla - La Mancha,2021,1,2021T1,75.622,72.071,76.305
08,Castilla - La Mancha,2021,2,2021T2,78.319,74.376,79.08
08,Castilla - La Mancha,2021,3,2021T3,79.089,75.598,79.759
08,Castilla - La Mancha,2021,4,2021T4,79.766,76.554,80.38
08,Castilla - La Mancha,2022,1,2022T1,81.012,78.237,81.534
08,Castilla - La Mancha,2022,2,2022T2,83.044,78.756,83.878
08,Castilla - La Mancha,2022,3,2022T3,84.289,78.842,85.363
08,Castilla - La Mancha,2022,4,2022T4,82.979,81.571,83.218
08,Castilla - La Mancha,2023,1,2023T1,82.324,81.686,82.44
08,Castilla - La Mancha,2023,2,2023T2,84.69,84.047,84.807
08,Castilla - La Mancha,2023,3,2023T3,85.161,82.319,85.627
08,Castilla - La Mancha,2023,4,2023T4,84.707,84.099,84.819
08,Castilla - La Mancha,2024,1,2024T1,86.38,86.625,86.336
08,Castilla - La Mancha,2024,2,2024T2,89.16,87.554,89.455
08,Castilla - La Mancha,2024,3,2024T3,91.033,88.15,91.563
08,Castilla - La Mancha,2024,4,2024T4,92.054,92.232,92.022
08,Castilla - La Mancha,2025,1,2025T1,95.349,96.812,95.08
08,Castilla - La Mancha,2025,2,2025T2,99.235,98.982,99.282
08,Castilla - La Mancha,2025,3,2025T3,101.584,98.735,102.107
08,Castilla - La Mancha,2025,4,2025T4,103.833,105.472,103.531
08,Castilla - La Mancha,2026,1,2026T1,106.247,106.719,106.094
09,Cataluña,2015,1,2015T1,50.903,44.684,51.634
09,Cataluña,2015,2,2015T2,53.669,45.66,54.62
09,Cataluña,2015,3,2015T3,54.15,47.267,54.96
09,Cataluña,2015,4,2015T4,54.376,47.612,55.171
09,Cataluña,2016,1,2016T1,55.268,48.377,56.078
09,Cataluña,2016,2,2016T2,56.626,50.256,57.376
09,Cataluña,2016,3,2016T3,57.74,51.107,58.521
09,Cataluña,2016,4,2016T4,58.424,50.146,59.395
09,Cataluña,2017,1,2017T1,60.119,52.138,61.063
09,Cataluña,2017,2,2017T2,61.886,54.166,62.806
09,Cataluña,2017,3,2017T3,63.485,55.418,64.444
09,Cataluña,2017,4,2017T4,64.387,55.189,65.465
09,Cataluña,2018,1,2018T1,65.269,56.272,66.33
09,Cataluña,2018,2,2018T2,67.66,58.925,68.702
09,Cataluña,2018,3,2018T3,69.239,59.678,70.366
09,Cataluña,2018,4,2018T4,69.634,60.671,70.703
09,Cataluña,2019,1,2019T1,70.235,62.943,71.119
09,Cataluña,2019,2,2019T2,71.169,61.802,72.285
09,Cataluña,2019,3,2019T3,72.473,63.611,73.534
09,Cataluña,2019,4,2019T4,71.981,63.636,72.984
09,Cataluña,2020,1,2020T1,72.464,67.458,73.053
09,Cataluña,2020,2,2020T2,72.823,66.238,73.607
09,Cataluña,2020,3,2020T3,73.729,69.632,74.204
09,Cataluña,2020,4,2020T4,72.699,70.268,72.967
09,Cataluña,2021,1,2021T1,73.346,69.279,73.851
09,Cataluña,2021,2,2021T2,75.188,70.574,75.771
09,Cataluña,2021,3,2021T3,76.151,70.911,76.824
09,Cataluña,2021,4,2021T4,77.111,73.452,77.553
09,Cataluña,2022,1,2022T1,79.001,75.47,79.423
09,Cataluña,2022,2,2022T2,80.612,75.891,81.202
09,Cataluña,2022,3,2022T3,82.337,76.64,83.065
09,Cataluña,2022,4,2022T4,81.322,77.791,81.741
09,Cataluña,2023,1,2023T1,81.755,80.769,81.874
09,Cataluña,2023,2,2023T2,83.186,81.844,83.347
09,Cataluña,2023,3,2023T3,85.449,84.461,85.568
09,Cataluña,2023,4,2023T4,84.193,83.921,84.227
09,Cataluña,2024,1,2024T1,86.345,88.12,86.149
09,Cataluña,2024,2,2024T2,88.741,89.659,88.641
09,Cataluña,2024,3,2024T3,91.222,92.705,91.059
09,Cataluña,2024,4,2024T4,92.959,92.312,93.035
09,Cataluña,2025,1,2025T1,96.405,98.698,96.136
09,Cataluña,2025,2,2025T2,99.027,99.852,98.93
09,Cataluña,2025,3,2025T3,101.52,99.752,101.728
09,Cataluña,2025,4,2025T4,103.047,101.698,103.206
09,Cataluña,2026,1,2026T1,106.491,106.601,106.478
10,Comunitat Valenciana,2015,1,2015T1,58.072,50.99,59.391
10,Comunitat Valenciana,2015,2,2015T2,60.382,52.253,61.891
10,Comunitat Valenciana,2015,3,2015T3,60.219,51.505,61.833
10,Comunitat Valenciana,2015,4,2015T4,60.289,52.623,61.714
10,Comunitat Valenciana,2016,1,2016T1,61.035,54.29,62.305
10,Comunitat Valenciana,2016,2,2016T2,61.481,56.062,62.525
10,Comunitat Valenciana,2016,3,2016T3,61.353,55.185,62.525
10,Comunitat Valenciana,2016,4,2016T4,61.334,54.554,62.611
10,Comunitat Valenciana,2017,1,2017T1,62.179,55.918,63.374
10,Comunitat Valenciana,2017,2,2017T2,62.615,56.24,63.83
