provincia,anio,numero_transacciones,n_trimestres_disponibles
Palmas (Las),2025,407.0,4
Pontevedra,2015,188.0,4
Pontevedra,2016,116.0,4
Pontevedra,2017,165.0,4
Pontevedra,2018,212.0,4
Pontevedra,2019,195.0,4
Pontevedra,2020,136.0,4
Pontevedra,2021,241.0,4
Pontevedra,2022,185.0,4
Pontevedra,2023,138.0,4
Pontevedra,2024,129.0,4
Pontevedra,2025,234.0,4
Salamanca,2015,231.0,4
Salamanca,2016,149.0,4
Salamanca,2017,197.0,4
Salamanca,2018,195.0,4
Salamanca,2019,274.0,4
Salamanca,2020,228.0,4
Salamanca,2021,373.0,4
Salamanca,2022,188.0,4
Salamanca,2023,188.0,4
Salamanca,2024,259.0,4
Salamanca,2025,455.0,4
Santa Cruz de Tenerife,2015,200.0,4
Santa Cruz de Tenerife,2016,259.0,4
Santa Cruz de Tenerife,2017,294.0,4
Santa Cruz de Tenerife,2018,355.0,4
Santa Cruz de Tenerife,2019,324.0,4
Santa Cruz de Tenerife,2020,210.0,4
Santa Cruz de Tenerife,2021,355.0,4
Santa Cruz de Tenerife,2022,418.0,4
Santa Cruz de Tenerife,2023,424.0,4
Santa Cruz de Tenerife,2024,360.0,4
Santa Cruz de Tenerife,2025,393.0,4
Segovia,2015,161.0,4
Segovia,2016,137.0,4
Segovia,2017,286.0,4
Segovia,2018,219.0,4
Segovia,2019,322.0,4
Segovia,2020,198.0,4
Segovia,2021,471.0,4
Segovia,2022,332.0,4
Segovia,2023,291.0,4
Segovia,2024,259.0,4
Segovia,2025,457.0,4
Sevilla,2015,1002.0,4
Sevilla,2016,903.0,4
Sevilla,2017,1359.0,4
Sevilla,2018,1213.0,4
Sevilla,2019,1019.0,4
Sevilla,2020,1107.0,4
Sevilla,2021,1834.0,4
Sevilla,2022,1455.0,4
Sevilla,2023,1083.0,4
Sevilla,2024,1117.0,4
Sevilla,2025,1402.0,4
Soria,2015,64.0,4
Soria,2016,69.0,4
Soria,2017,74.0,4
Soria,2018,48.0,4
Soria,2019,93.0,4
Soria,2020,42.0,4
Soria,2021,127.0,4
Soria,2022,97.0,4
Soria,2023,92.0,4
Soria,2024,77.0,4
Soria,2025,97.0,4
Tarragona,2015,297.0,4
Tarragona,2016,332.0,4
Tarragona,2017,407.0,4
Tarragona,2018,438.0,4
Tarragona,2019,405.0,4
Tarragona,2020,356.0,4
Tarragona,2021,820.0,4
Tarragona,2022,782.0,4
Tarragona,2023,714.0,4
Tarragona,2024,648.0,4
Tarragona,2025,1091.0,4
Teruel,2015,49.0,4
Teruel,2016,47.0,4
Teruel,2017,52.0,4
Teruel,2018,74.0,4
Teruel,2019,62.0,4
Teruel,2020,67.0,4
Teruel,2021,74.0,4
Teruel,2022,109.0,4
Teruel,2023,58.0,4
Teruel,2024,44.0,4
Teruel,2025,110.0,4
Toledo,2015,1023.0,4
Toledo,2016,705.0,4
Toledo,2017,1167.0,4
Toledo,2018,1256.0,4
Toledo,2019,1114.0,4
Toledo,2020,1142.0,4
Toledo,2021,2389.0,4
Toledo,2022,1756.0,4
Toledo,2023,2012.0,4
Toledo,2024,1524.0,4
Toledo,2025,2072.0,4
Valencia/València,2015,518.0,4
Valencia/València,2016,649.0,4
Valencia/València,2017,758.0,4
Valencia/València,2018,1076.0,4
Valencia/València,2019,889.0,4
Valencia/València,2020,748.0,4
Valencia/València,2021,1177.0,4
Valencia/València,2022,1105.0,4
Valencia/València,2023,940.0,4
Valencia/València,2024,949.0,4
Valencia/València,2025,1721.0,4
Valladolid,2015,219.0,4
Valladolid,2016,208.0,4
Valladolid,2017,252.0,4
Valladolid,2018,228.0,4
Valladolid,2019,222.0,4
Valladolid,2020,226.0,4
Valladolid,2021,438.0,4
Valladolid,2022,374.0,4
Valladolid,2023,174.0,4
Valladolid,2024,257.0,4
Valladolid,2025,530.0,4
Vizcaya,2015,111.0,4
Vizcaya,2016,112.0,4
Vizcaya,2017,164.0,4
Vizcaya,2018,147.0,4
Vizcaya,2019,87.0,4
Vizcaya,2020,117.0,4
Vizcaya,2021,144.0,4
Vizcaya,2022,163.0,4
Vizcaya,2023,146.0,4
Vizcaya,2024,96.0,4
Vizcaya,2025,128.0,4
Zamora,2015,76.0,4
Zamora,2016,86.0,4
Zamora,2017,98.0,4
Zamora,2018,80.0,4
Zamora,2019,84.0,4
Zamora,2020,125.0,4
Zamora,2021,178.0,4
Zamora,2022,79.0,4
Zamora,2023,67.0,4
Zamora,2024,87.0,4
Zamora,2025,141.0,4
Zaragoza,2015,143.0,4
Zaragoza,2016,188.0,4
Zaragoza,2017,182.0,4
Zaragoza,2018,201.0,4
Zaragoza,2019,187.0,4
Zaragoza,2020,171.0,4
Zaragoza,2021,375.0,4
Zaragoza,2022,268.0,4
Zaragoza,2023,313.0,4
Zaragoza,2024,664.0,4
Zaragoza,2025,452.0,4
Álava,2015,94.0,4
Álava,2016,48.0,4
Álava,2017,54.0,4
Álava,2018,72.0,4
Álava,2019,80.0,4
Álava,2020,85.0,4
Álava,2021,156.0,4
Álava,2022,113.0,4
Álava,2023,80.0,4
Álava,2024,60.0,4
Álava,2025,99.0,4
