codigo_provincia,provincia,provincia_original,anio,trimestre,periodo,valor_tasado_m2,valor_original,hoja_origen
02,Albacete,Albacete,2004,1,2004T1,854.4,854.4,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2004,2,2004T2,856.6,856.6,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2004,3,2004T3,903.5,903.5,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2004,4,2004T4,1006.1,1006.1,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2005,1,2005T1,1091.2,1091.2,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2005,2,2005T2,1168.7,1168.7,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2005,3,2005T3,1191.6,1191.6,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2005,4,2005T4,1189.2,1189.2,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2006,1,2006T1,1222.1,1222.1,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2006,2,2006T2,1260.3,1260.3,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2006,3,2006T3,1275.6,1275.6,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2006,4,2006T4,1305.9,1305.9,"2003, 2004, 2005, 2006"
02,Albacete,Albacete,2007,1,2007T1,1322.2,1322.2,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2007,2,2007T2,1367.3,1367.3,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2007,3,2007T3,1354.2,1354.2,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2007,4,2007T4,1329.1,1329.1,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2008,1,2008T1,1343.3,1343.3,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2008,2,2008T2,1377.1,1377.1,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2008,3,2008T3,1330.2,1330.2,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2008,4,2008T4,1282.2,1282.2,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2009,1,2009T1,1212.3,1212.3,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2009,2,2009T2,1165.0,1165,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2009,3,2009T3,1146.9,1146.9,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2009,4,2009T4,1192.5,1192.5,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2010,1,2010T1,1216.7,1216.7,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2010,2,2010T2,1248.3,1248.3,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2010,3,2010T3,1203.1,1203.1,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2010,4,2010T4,1233.3,1233.3,"2007, 2008, 2009, 2010"
02,Albacete,Albacete,2011,1,2011T1,1203.1,1203.1,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2011,2,2011T2,1181.4,1181.4,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2011,3,2011T3,1167.2,1167.2,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2011,4,2011T4,1159.0,1159,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2012,1,2012T1,1117.6,1117.6,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2012,2,2012T2,1088.5,1088.5,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2012,3,2012T3,1075.4,1075.4,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2012,4,2012T4,1091.5,1091.5,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2013,1,2013T1,1027.1,1027.1,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2013,2,2013T2,988.1,988.1,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2013,3,2013T3,981.2,981.2,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2013,4,2013T4,940.0,940,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2014,1,2014T1,944.2,944.2,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2014,2,2014T2,939.6,939.6,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2014,3,2014T3,922.9,922.9,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2014,4,2014T4,931.8,931.8,"2011, 2012, 2013, 2014"
02,Albacete,Albacete,2015,1,2015T1,959.5,959.5,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2015,2,2015T2,969.7,969.7,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2015,3,2015T3,945.3,945.3,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2015,4,2015T4,961.3,961.3,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2016,1,2016T1,953.3000000000001,953.3000000000001,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2016,2,2016T2,934.4000000000001,934.4000000000001,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2016,3,2016T3,922.2,922.2,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2016,4,2016T4,950.6,950.6,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2017,1,2017T1,936.5,936.5,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2017,2,2017T2,924.8000000000001,924.8000000000001,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2017,3,2017T3,911.3,911.3,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2017,4,2017T4,932.9,932.9,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2018,1,2018T1,905.0999999999999,905.0999999999999,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2018,2,2018T2,897.5999999999999,897.5999999999999,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2018,3,2018T3,916.6999999999999,916.6999999999999,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2018,4,2018T4,941.8,941.8,"2015, 2016, 2017, 2018"
02,Albacete,Albacete,2019,1,2019T1,922.7,922.7,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2019,2,2019T2,942.9,942.9,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2019,3,2019T3,924.8000000000001,924.8000000000001,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2019,4,2019T4,917.6999999999999,917.6999999999999,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2020,1,2020T1,893.6999999999999,893.6999999999999,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2020,2,2020T2,889.5,889.5,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2020,3,2020T3,902.1,902.1,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2020,4,2020T4,913.0,913,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2021,1,2021T1,896.4,896.4,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2021,2,2021T2,920.3,920.3,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2021,3,2021T3,903.5,903.5,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2021,4,2021T4,918.9,918.9,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2022,1,2022T1,924.7,924.7,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2022,2,2022T2,934.4,934.4,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2022,3,2022T3,929.2,929.2,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2022,4,2022T4,934.9,934.9,"2019, 2020, 2021, 2022"
02,Albacete,Albacete,2023,1,2023T1,950.6999999999999,950.6999999999999,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2023,2,2023T2,951.1999999999999,951.1999999999999,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2023,3,2023T3,984.6,984.6,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2023,4,2023T4,984.3,984.3,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2024,1,2024T1,1004.9,1004.9,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2024,2,2024T2,1006.5,1006.5,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2024,3,2024T3,1003.6999999999999,1003.6999999999999,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2024,4,2024T4,1029.1000000000001,1029.1000000000001,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2025,1,2025T1,1063.3000000000002,1063.3000000000002,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2025,2,2025T2,1086.3,1086.3,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2025,3,2025T3,1114.9,1114.9,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2025,4,2025T4,1144.2,1144.2,"2023, 2024, 2025, 2026"
02,Albacete,Albacete,2026,1,2026T1,1189.6999999999998,1189.6999999999998,"2023, 2024, 2025, 2026"
03,Alicante/Alacant,Alicante/Alacant,1995,1,1995T1,477.0,477,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1995,2,1995T2,480.0,480,"1995, 1996, 1997, 1998"
03,Alicante/Alacant,Alicante/Alacant,1995,3,1995T3,475.5,475.5,"1995, 1996, 1997, 1998"
