codigo_serie,alias_serie,descripcion_serie,unidad,frecuencia,anio,observaciones_disponibles,primera_fecha,ultima_fecha,observaciones_esperadas,anio_completo
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2021,12,2021-01-01,2021-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2022,12,2022-01-01,2022-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2023,12,2023-01-01,2023-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2024,12,2024-01-01,2024-12-01,12.0,True
DHINONOAPLNCVUVT.M,SI_1_5.24,Estadísticas generales. Edificación y vivienda. Transacciones de compraventa. Ante notario. Viviendas. Según Centro de Información del Notariado.,Viviendas,MENSUAL,2025,12,2025-01-01,2025-12-01,12.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2015,4,2015-03-01,2015-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2016,4,2016-03-01,2016-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2017,4,2017-03-01,2017-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2018,4,2018-03-01,2018-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2019,4,2019-03-01,2019-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2020,4,2020-03-01,2020-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2021,4,2021-03-01,2021-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2022,4,2022-03-01,2022-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2023,4,2023-03-01,2023-12-01,4.0,True
DHIPBNOAPLIPVUVT_ZGB.T,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL,2024,4,2024-03-01,2024-12-01,4.0,True
