codigo_ccaa,ccaa,ccaa_original,anio,trimestre,periodo,tipo_vivienda,tipo_indicador,valor,valor_original
01,Andalucía,01 Andalucía,2017,1,2017T1,General,Índice,58.076,"58,076"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda nueva,Índice,49.665,"49,665"
01,Andalucía,01 Andalucía,2017,1,2017T1,Vivienda segunda mano,Índice,59.473,"59,473"
01,Andalucía,01 Andalucía,2017,2,2017T2,General,Variación anual,2.4,"2,4"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda nueva,Variación anual,2.0,"2,0"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda segunda mano,Variación anual,2.5,"2,5"
01,Andalucía,01 Andalucía,2017,2,2017T2,General,Variación en lo que va de año,2.5,"2,5"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda nueva,Variación en lo que va de año,4.2,"4,2"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda segunda mano,Variación en lo que va de año,2.3,"2,3"
01,Andalucía,01 Andalucía,2017,2,2017T2,General,Variación trimestral,1.6,"1,6"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda nueva,Variación trimestral,1.9,"1,9"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda segunda mano,Variación trimestral,1.5,"1,5"
01,Andalucía,01 Andalucía,2017,2,2017T2,General,Índice,58.983,"58,983"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda nueva,Índice,50.628,"50,628"
01,Andalucía,01 Andalucía,2017,2,2017T2,Vivienda segunda mano,Índice,60.377,"60,377"
01,Andalucía,01 Andalucía,2017,3,2017T3,General,Variación anual,3.7,"3,7"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda nueva,Variación anual,4.6,"4,6"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda segunda mano,Variación anual,3.6,"3,6"
01,Andalucía,01 Andalucía,2017,3,2017T3,General,Variación en lo que va de año,3.7,"3,7"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda nueva,Variación en lo que va de año,5.5,"5,5"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda segunda mano,Variación en lo que va de año,3.5,"3,5"
01,Andalucía,01 Andalucía,2017,3,2017T3,General,Variación trimestral,1.2,"1,2"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda nueva,Variación trimestral,1.2,"1,2"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda segunda mano,Variación trimestral,1.2,"1,2"
01,Andalucía,01 Andalucía,2017,3,2017T3,General,Índice,59.674,"59,674"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda nueva,Índice,51.24,"51,240"
01,Andalucía,01 Andalucía,2017,3,2017T3,Vivienda segunda mano,Índice,61.082,"61,082"
01,Andalucía,01 Andalucía,2017,4,2017T4,General,Variación anual,4.5,"4,5"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda nueva,Variación anual,5.7,"5,7"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda segunda mano,Variación anual,4.4,"4,4"
01,Andalucía,01 Andalucía,2017,4,2017T4,General,Variación en lo que va de año,4.5,"4,5"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda nueva,Variación en lo que va de año,5.7,"5,7"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda segunda mano,Variación en lo que va de año,4.4,"4,4"
01,Andalucía,01 Andalucía,2017,4,2017T4,General,Variación trimestral,0.8,"0,8"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda nueva,Variación trimestral,0.2,"0,2"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda segunda mano,Variación trimestral,0.9,"0,9"
01,Andalucía,01 Andalucía,2017,4,2017T4,General,Índice,60.148,"60,148"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda nueva,Índice,51.35,"51,350"
01,Andalucía,01 Andalucía,2017,4,2017T4,Vivienda segunda mano,Índice,61.606,"61,606"
01,Andalucía,01 Andalucía,2018,1,2018T1,General,Variación anual,4.1,"4,1"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda nueva,Variación anual,4.3,"4,3"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda segunda mano,Variación anual,4.0,"4,0"
01,Andalucía,01 Andalucía,2018,1,2018T1,General,Variación en lo que va de año,0.5,"0,5"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda nueva,Variación en lo que va de año,0.9,"0,9"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda segunda mano,Variación en lo que va de año,0.4,"0,4"
01,Andalucía,01 Andalucía,2018,1,2018T1,General,Variación trimestral,0.5,"0,5"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda nueva,Variación trimestral,0.9,"0,9"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda segunda mano,Variación trimestral,0.4,"0,4"
01,Andalucía,01 Andalucía,2018,1,2018T1,General,Índice,60.438,"60,438"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda nueva,Índice,51.825,"51,825"
01,Andalucía,01 Andalucía,2018,1,2018T1,Vivienda segunda mano,Índice,61.877,"61,877"
01,Andalucía,01 Andalucía,2018,2,2018T2,General,Variación anual,4.8,"4,8"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda nueva,Variación anual,4.4,"4,4"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda segunda mano,Variación anual,4.8,"4,8"
01,Andalucía,01 Andalucía,2018,2,2018T2,General,Variación en lo que va de año,2.7,"2,7"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda nueva,Variación en lo que va de año,2.9,"2,9"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda segunda mano,Variación en lo que va de año,2.7,"2,7"
01,Andalucía,01 Andalucía,2018,2,2018T2,General,Variación trimestral,2.2,"2,2"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda nueva,Variación trimestral,2.0,"2,0"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda segunda mano,Variación trimestral,2.2,"2,2"
01,Andalucía,01 Andalucía,2018,2,2018T2,General,Índice,61.785,"61,785"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda nueva,Índice,52.863,"52,863"
01,Andalucía,01 Andalucía,2018,2,2018T2,Vivienda segunda mano,Índice,63.269,"63,269"
01,Andalucía,01 Andalucía,2018,3,2018T3,General,Variación anual,5.4,"5,4"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda nueva,Variación anual,6.6,"6,6"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda segunda mano,Variación anual,5.3,"5,3"
01,Andalucía,01 Andalucía,2018,3,2018T3,General,Variación en lo que va de año,4.6,"4,6"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda nueva,Variación en lo que va de año,6.4,"6,4"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda segunda mano,Variación en lo que va de año,4.4,"4,4"
01,Andalucía,01 Andalucía,2018,3,2018T3,General,Variación trimestral,1.8,"1,8"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda nueva,Variación trimestral,3.4,"3,4"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda segunda mano,Variación trimestral,1.6,"1,6"
01,Andalucía,01 Andalucía,2018,3,2018T3,General,Índice,62.889,"62,889"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda nueva,Índice,54.647,"54,647"
01,Andalucía,01 Andalucía,2018,3,2018T3,Vivienda segunda mano,Índice,64.303,"64,303"
01,Andalucía,01 Andalucía,2018,4,2018T4,General,Variación anual,5.6,"5,6"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda nueva,Variación anual,7.0,"7,0"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda segunda mano,Variación anual,5.5,"5,5"
01,Andalucía,01 Andalucía,2018,4,2018T4,General,Variación en lo que va de año,5.6,"5,6"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda nueva,Variación en lo que va de año,7.0,"7,0"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda segunda mano,Variación en lo que va de año,5.5,"5,5"
01,Andalucía,01 Andalucía,2018,4,2018T4,General,Variación trimestral,1.0,"1,0"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda nueva,Variación trimestral,0.6,"0,6"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda segunda mano,Variación trimestral,1.1,"1,1"
01,Andalucía,01 Andalucía,2018,4,2018T4,General,Índice,63.535,"63,535"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda nueva,Índice,54.948,"54,948"
01,Andalucía,01 Andalucía,2018,4,2018T4,Vivienda segunda mano,Índice,64.994,"64,994"
01,Andalucía,01 Andalucía,2019,1,2019T1,General,Variación anual,5.9,"5,9"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda nueva,Variación anual,7.0,"7,0"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda segunda mano,Variación anual,5.8,"5,8"
01,Andalucía,01 Andalucía,2019,1,2019T1,General,Variación en lo que va de año,0.8,"0,8"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda nueva,Variación en lo que va de año,1.0,"1,0"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda segunda mano,Variación en lo que va de año,0.7,"0,7"
01,Andalucía,01 Andalucía,2019,1,2019T1,General,Variación trimestral,0.8,"0,8"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda nueva,Variación trimestral,1.0,"1,0"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda segunda mano,Variación trimestral,0.7,"0,7"
01,Andalucía,01 Andalucía,2019,1,2019T1,General,Índice,64.023,"64,023"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda nueva,Índice,55.471,"55,471"
01,Andalucía,01 Andalucía,2019,1,2019T1,Vivienda segunda mano,Índice,65.479,"65,479"
01,Andalucía,01 Andalucía,2019,2,2019T2,General,Variación anual,5.6,"5,6"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda nueva,Variación anual,7.6,"7,6"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda segunda mano,Variación anual,5.3,"5,3"
01,Andalucía,01 Andalucía,2019,2,2019T2,General,Variación en lo que va de año,2.6,"2,6"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda nueva,Variación en lo que va de año,3.6,"3,6"
01,Andalucía,01 Andalucía,2019,2,2019T2,Vivienda segunda mano,Variación en lo que va de año,2.5,"2,5"
