codigo_ccaa,ccaa,anio,ipv_general,ipv_vivienda_nueva,ipv_segunda_mano,ipv_general_variacion_pct,ipv_vivienda_nueva_variacion_pct,ipv_segunda_mano_variacion_pct
13,"Madrid, Comunidad de",2016,54.43,50.109,55.716,8.567,9.016,8.49
13,"Madrid, Comunidad de",2017,60.666,54.74,62.299,11.457,9.242,11.815
13,"Madrid, Comunidad de",2018,66.843,58.216,69.096,10.182,6.35,10.91
13,"Madrid, Comunidad de",2019,70.762,62.618,72.907,5.863,7.561,5.516
13,"Madrid, Comunidad de",2020,71.974,66.566,73.406,1.713,6.305,0.684
13,"Madrid, Comunidad de",2021,73.802,70.086,74.835,2.54,5.288,1.947
13,"Madrid, Comunidad de",2022,78.829,75.28,79.798,6.811,7.411,6.632
13,"Madrid, Comunidad de",2023,81.928,81.443,82.068,3.931,8.187,2.845
13,"Madrid, Comunidad de",2024,88.214,89.155,87.996,7.673,9.469,7.223
13,"Madrid, Comunidad de",2025,100.0,100.0,100.0,13.361,12.164,13.642
14,"Murcia, Región de",2015,60.846,50.307,62.608,,,
14,"Murcia, Región de",2016,61.696,53.398,62.964,1.397,6.144,0.569
14,"Murcia, Región de",2017,62.435,54.712,63.604,1.198,2.461,1.016
14,"Murcia, Región de",2018,64.582,57.923,65.552,3.439,5.869,3.063
14,"Murcia, Región de",2019,67.522,63.018,68.167,4.552,8.796,3.989
14,"Murcia, Región de",2020,69.594,67.364,69.908,3.069,6.896,2.554
14,"Murcia, Región de",2021,73.214,71.863,73.399,5.202,6.679,4.994
14,"Murcia, Región de",2022,78.804,77.458,78.986,7.635,7.786,7.612
14,"Murcia, Región de",2023,80.623,81.836,80.452,2.308,5.652,1.856
14,"Murcia, Región de",2024,87.476,89.335,87.217,8.5,9.163,8.409
14,"Murcia, Región de",2025,100.0,100.0,100.0,14.317,11.938,14.657
15,"Navarra, Comunidad Foral de",2015,61.312,53.74,65.004,,,
15,"Navarra, Comunidad Foral de",2016,62.34,55.765,65.536,1.677,3.768,0.818
15,"Navarra, Comunidad Foral de",2017,63.725,57.156,67.106,2.222,2.494,2.396
15,"Navarra, Comunidad Foral de",2018,65.946,59.798,69.081,3.485,4.622,2.943
15,"Navarra, Comunidad Foral de",2019,68.433,63.418,71.114,3.771,6.054,2.943
15,"Navarra, Comunidad Foral de",2020,69.584,66.524,71.224,1.682,4.898,0.155
15,"Navarra, Comunidad Foral de",2021,71.544,66.7,74.092,2.817,0.265,4.027
15,"Navarra, Comunidad Foral de",2022,76.734,71.305,79.582,7.254,6.904,7.41
15,"Navarra, Comunidad Foral de",2023,81.279,79.07,82.525,5.923,10.89,3.698
15,"Navarra, Comunidad Foral de",2024,89.736,90.691,89.244,10.405,14.697,8.142
15,"Navarra, Comunidad Foral de",2025,100.0,100.0,100.0,11.438,10.265,12.052
16,País Vasco,2015,60.268,49.706,62.921,,,
16,País Vasco,2016,61.82,51.748,64.256,2.575,4.108,2.122
16,País Vasco,2017,65.023,55.377,67.298,5.181,7.013,4.734
16,País Vasco,2018,68.554,59.27,70.724,5.43,7.03,5.091
16,País Vasco,2019,71.531,63.499,73.425,4.343,7.135,3.819
16,País Vasco,2020,73.143,67.893,74.306,2.254,6.92,1.2
16,País Vasco,2021,74.661,69.965,75.746,2.075,3.052,1.938
16,País Vasco,2022,79.412,74.656,80.485,6.363,6.705,6.256
16,País Vasco,2023,82.155,79.235,82.788,3.454,6.133,2.861
16,País Vasco,2024,89.134,89.999,88.908,8.495,13.585,7.392
16,País Vasco,2025,100.0,100.0,100.0,12.191,11.112,12.476
17,"Rioja, La",2015,60.141,51.018,61.219,,,
17,"Rioja, La",2016,61.32,54.102,61.912,1.96,6.045,1.132
17,"Rioja, La",2017,62.569,55.193,63.203,2.037,2.017,2.085
17,"Rioja, La",2018,65.648,59.266,66.18,4.921,7.38,4.71
17,"Rioja, La",2019,69.17,64.109,69.563,5.365,8.172,5.112
