codigo_serie,numero_secuencial,alias_serie,descripcion_serie,unidad,frecuencia
D_IMVCDHOGR,854134,SI_1_5.59,Crédito hipotecario. Créditos dudosos a los hogares para adquisicion de viviendas. Ratio de dudosidad,Porcentaje,TRIMESTRAL
DSI.S122.RR._Z._Z._Z.PRT.T,4641973,SI_1_5.60,"Indicadores de solidez financiera. Proporción de préstamos para vivienda sobre el total de préstamos brutos. Sociedades de depósito, excepto banco central. Proporción sobre el total",Porcentaje,TRIMESTRAL
DSI.S122.CR._Z._Z._Z.PRT.T,4641974,SI_1_5.61,"Indicadores de solidez financiera. Proporción de préstamos para inmuebles comerciales sobre el total de préstamos brutos. Sociedades de depósito, excepto banco central. Proporción sobre el total",Porcentaje,TRIMESTRAL
D_TKR600RV_VIV_IPV,2453753,SI_1_5.62,Estadísticas generales. Edificación y vivienda. Rentabilidad anual de la vivienda,Porcentaje,TRIMESTRAL
D_TKR60REA_VIV_IPV,2453754,SI_1_5.63,Estadísticas generales. Edificación y vivienda. Rentabilidad de la vivienda bruta por alquiler. Acum. en los doce últimos meses,Porcentaje,TRIMESTRAL
D_G0B1F0ZP,97265,SI_1_5.64,Tipo de interés. Del mercado secundario de valores. Bonos y obligaciones del Estado no segregados. 10 años. Conjunto del mercado. Oper. simples al contado.,Porcentaje,DIARIA
D_TKR60DEP_HOG,2272441,SI_1_5.65,Tipo de interés. Nuevas operaciones. EC. Depósitos (TEDR). A los hogares. Depósitos a plazo más de 1 año y hasta 2,Porcentaje,MENSUAL
D_IMVIBEX,854086,SI_1_5.66,Cotización de acciones. IBEX-35. Rentabilidad acumulada en el año,Porcentaje,MENSUAL
DHIPENOAPLIPVUVT_ZES.T,2904651,SI_1_5.67,Economía internacional. España. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPENOAPLIPVUVT_ZDE.T,2904652,SI_1_5.68,Economía internacional. Alemania. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPENOAPLIPVUVT_ZFR.T,2904653,SI_1_5.69,Economía internacional. Francia. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPENOAPLIPVUVT_ZIT.T,2904654,SI_1_5.70,Economía internacional. Italia. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPENOAPLIPVUVT_ZNL.T,2904655,SI_1_5.71,Economía internacional. Países Bajos. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPENOAPLIPVUVT_ZU2.T,4679437,SI_1_5.72,Economía Internacional. Zona Euro. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPBNOAPLIPVUVT_ZGB.T,4679438,SI_1_5.73,Economía Internacional. Reino Unido. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPBNOAPLIPVUVT_ZUS.T,2904657,SI_1_5.74,Economía internacional. Estados Unidos. Edificación y vivienda. Índice de precios de la vivienda.  Tasa interanual,Porcentaje,TRIMESTRAL
DHIPBNOAPLIPVUVT_ZJP.T,2904658,SI_1_5.75,Economía internacional. Japón. Edificación y vivienda. Índice de precios de la vivienda. Tasa interanual,Porcentaje,TRIMESTRAL
DHIPCA2014PICUOX.T,4164337,SI_1_5.76,Índice de Precios de Inmuebles Comerciales. Año Base 2014. Índice General,Base 2014 = 100,TRIMESTRAL
DHIPCA2014PICUOL.T,4164338,SI_1_5.77,Índice de Precios de Inmuebles Comerciales. Año Base 2014. Locales comerciales,Base 2014 = 100,TRIMESTRAL
DHIPCA2014PICUOO.T,4164339,SI_1_5.78,Índice de Precios de Inmuebles Comerciales. Año Base 2014. Oficinas,Base 2014 = 100,TRIMESTRAL
DHIPCA2014PICUNO.T,4164340,SI_1_5.79,Índice de Precios de Inmuebles Comerciales. Año Base 2014. Naves industriales,Base 2014 = 100,TRIMESTRAL
DHIPCA2014PICUPR.T,4164341,SI_1_5.80,Índice de Precios de Inmuebles Comerciales. Año Base 2014. Prime,Base 2014 = 100,TRIMESTRAL
D_AKB07000,852720,SI_1_5.81,Mercado inmobiliario. Censos de viviendas. Total viviendas [discontinuada],Viviendas,ANUAL
DHIVANOAPLEPVUVT.M,2904394,SI_1_5.82,Estadísticas generales. Edificación y vivienda. Parque de viviendas estimado,Viviendas,MENSUAL
D_TKB070AV_VISA,1592219,SI_1_5.83,Estadísticas generales. Edificación y vivienda. Viviendas por hogar en función del parque de viviendas estimado,Viviendas,TRIMESTRAL
D_AKB07100,852717,SI_1_5.84,Mercado inmobiliario. Censos de viviendas. Viviendas principales [discontinuada],Viviendas,ANUAL
D_AKB07200,852718,SI_1_5.85,Mercado inmobiliario. Censos de viviendas. Viviendas secundarias [discontinuada],Viviendas,ANUAL
D_AKB07300,852719,SI_1_5.86,Mercado inmobiliario. Censos de viviendas. Viviendas desocupadas y otras [discontinuada],Viviendas,ANUAL
D_AKB071PP,854678,SI_1_5.87,Mercado inmobiliario. Censos de viviendas. Porcentaje de las viviendas principales en propiedad [discontinuada],Porcentaje,ANUAL
D_AKB071PA,854679,SI_1_5.88,Mercado inmobiliario. Censos de viviendas. Porcentaje de las viviendas principales en alquiler [discontinuada],Porcentaje,ANUAL
D_AKB071PC,854680,SI_1_5.89,Mercado inmobiliario. Censos de viviendas. Porcentaje de las viviendas principales en cesión y otras formas [discontinuada],Porcentaje,ANUAL
D_AKR620PP,2127901,SI_1_5.90,Estadísticas generales. Edificación y vivienda. Censos de viviendas. Régimen de tenencia de la vivienda principal. Propiedad,Porcentaje,ANUAL
D_AKR620PA,2127902,SI_1_5.91,Estadísticas generales. Edificación y vivienda. Censos de viviendas. Régimen de tenencia de la vivienda principal. Alquiler,Porcentaje,ANUAL
D_AKR620PC,2127903,SI_1_5.92,Estadísticas generales. Edificación y vivienda. Censos de viviendas. Régimen de tenencia de la vivienda principal. Cesión,Porcentaje,ANUAL
