provincia,anio,numero_transacciones,n_trimestres_disponibles
Girona,2025,1213.0,4
Girona,2026,366.0,1
Granada,2004,1234.0,4
Granada,2005,1217.0,4
Granada,2006,1136.0,4
Granada,2007,1207.0,4
Granada,2008,937.0,4
Granada,2009,579.0,4
Granada,2010,456.0,4
Granada,2011,483.0,4
Granada,2012,422.0,4
Granada,2013,443.0,4
Granada,2014,344.0,4
Granada,2015,404.0,4
Granada,2016,457.0,4
Granada,2017,586.0,4
Granada,2018,727.0,4
Granada,2019,603.0,4
Granada,2020,537.0,4
Granada,2021,1038.0,4
Granada,2022,855.0,4
Granada,2023,913.0,4
Granada,2024,671.0,4
Granada,2025,891.0,4
Granada,2026,211.0,1
Guadalajara,2004,1695.0,4
Guadalajara,2005,1956.0,4
Guadalajara,2006,1629.0,4
Guadalajara,2007,802.0,4
Guadalajara,2008,675.0,4
Guadalajara,2009,424.0,4
Guadalajara,2010,360.0,4
Guadalajara,2011,382.0,4
Guadalajara,2012,368.0,4
Guadalajara,2013,482.0,4
Guadalajara,2014,272.0,4
Guadalajara,2015,241.0,4
Guadalajara,2016,340.0,4
Guadalajara,2017,490.0,4
Guadalajara,2018,528.0,4
Guadalajara,2019,439.0,4
Guadalajara,2020,421.0,4
Guadalajara,2021,890.0,4
Guadalajara,2022,1024.0,4
Guadalajara,2023,729.0,4
Guadalajara,2024,627.0,4
Guadalajara,2025,1105.0,4
Guadalajara,2026,206.0,1
Guipúzcoa,2004,255.0,4
Guipúzcoa,2005,275.0,4
Guipúzcoa,2006,240.0,4
Guipúzcoa,2007,269.0,4
Guipúzcoa,2008,202.0,4
Guipúzcoa,2009,83.0,4
Guipúzcoa,2010,77.0,4
Guipúzcoa,2011,51.0,4
Guipúzcoa,2012,51.0,4
Guipúzcoa,2013,28.0,4
Guipúzcoa,2014,49.0,4
Guipúzcoa,2015,55.0,4
Guipúzcoa,2016,43.0,4
Guipúzcoa,2017,56.0,4
Guipúzcoa,2018,67.0,4
Guipúzcoa,2019,51.0,4
Guipúzcoa,2020,52.0,4
Guipúzcoa,2021,59.0,4
Guipúzcoa,2022,65.0,4
Guipúzcoa,2023,46.0,4
Guipúzcoa,2024,43.0,4
