periodo;codigo_provincia;provincia;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_empleo_pct_total;tasa_paro_pct_total;inflación;indice_costes_construccion;ipv_general;ratio_prestamo_valor_pct;tipo_interes_prestamos_vivienda_pct;credito_vivienda_variacion_interanual_pct;valor_tasado_m2;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas;IAV_total
2022T1;29;Málaga;1715109;18,36;43,12;20,41;2,50;28,90;19443,00;21514,00;17170,00;45,16;20,31;113,76;105,46;74,40;65,20;1,60;0,72;2253,32;21,01;10933;23,78;175566,39;2414;9,27
2022T2;29;Málaga;1715109;18,36;43,12;20,41;2,50;28,90;19443,00;21514,00;17170,00;46,73;18,01;117,81;114,52;76,20;65,20;1,74;0,98;2374,71;21,01;10713;21,99;173629,59;1965;9,77
2022T3;29;Málaga;1715109;18,36;43,12;20,41;2,50;28,90;19443,00;21514,00;17170,00;48,32;16,06;119,38;110,54;77,43;64,60;2,14;0,87;2466,61;21,01;10918;19,44;176254,99;2373;10,15
2022T4;29;Málaga;1715109;18,36;43,12;20,41;2,50;28,90;19443,00;21514,00;17170,00;46,13;19,39;119,45;115,01;77,35;63,90;2,87;0,30;2475,54;21,01;9067;17,67;175558,25;2790;10,19
2023T1;29;Málaga;1752728;18,58;42,97;20,62;2,50;29,10;20648,00;22804,00;18301,00;46,94;18,73;120,53;112,83;77,52;63,00;3,59;-0,75;2593,82;12,70;9331;20,11;169508,50;2071;10,05
2023T2;29;Málaga;1752728;18,58;42,97;20,62;2,50;29,10;20648,00;22804,00;18301,00;48,94;16,04;122,39;116,60;79,63;62,70;3,89;-2,01;2676,73;12,70;8950;20,13;158083,13;2152;10,37
2023T3;29;Málaga;1752728;18,58;42,97;20,62;2,50;29,10;20648,00;22804,00;18301,00;49,42;16,12;123,24;112,78;81,93;62,20;4,06;-3,14;2748,66;12,70;8205;18,60;201088,44;1940;10,65
2023T4;29;Málaga;1752728;18,58;42,97;20,62;2,50;29,10;20648,00;22804,00;18301,00;48,79;16,40;124,15;117,61;81,45;61,40;4,03;-3,14;2821,77;12,70;7528;21,15;180599,19;2026;10,93
2024T1;29;Málaga;1774701;18,58;42,97;20,62;2,50;29,10;21479,00;23691,00;19090,00;48,31;16,83;124,42;113,32;83,66;61,50;3,69;-2,61;2895,77;11,87;8049;27,83;191591,40;2062;10,79
2024T2;29;Málaga;1774701;18,58;42,97;20,62;2,50;29,10;21479,00;23691,00;19090,00;51,41;12,59;126,62;117,41;87,22;63,00;3,55;-1,79;3039,79;11,87;8831;27,97;185083,57;2310;11,32
2024T3;29;Málaga;1774701;18,58;42,97;20,62;2,50;29,10;21479,00;23691,00;19090,00;51,35;12,06;126,44;114,16;90,57;63,30;3,45;-0,62;3085,16;11,87;8811;28,27;206839,71;1966;11,49
2024T4;29;Málaga;1774701;18,58;42,97;20,62;2,50;29,10;21479,00;23691,00;19090,00;49,10;12,76;127,33;118,19;92,35;64,10;3,17;0,21;3211,47;11,87;9607;37,96;197652,06;3145;11,96
2015T1;30;Murcia;1465195;21,46;40,50;17,15;2,90;23,30;15798,00;17253,00;13842,00;43,40;26,69;98,84;90,33;59,39;60,70;2,61;-3,78;969,14;-1,29;2462;26,73;77802,83;415;4,91
