periodo;codigo_provincia;provincia;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_empleo_pct_total;tasa_paro_pct_total;inflación;indice_costes_construccion;ipv_general;ratio_prestamo_valor_pct;tipo_interes_prestamos_vivienda_pct;credito_vivienda_variacion_interanual_pct;valor_tasado_m2;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas;IAV_total
2018T3;9;Burgos;357165;16,15;40,04;28,24;2,30;34,80;20867,00;23979,00;17081,00;52,01;10,14;103,49;92,55;68,04;65,90;2,17;-1,81;1159,20;3,58;917;21,27;97406,00;187;4,44
2018T4;9;Burgos;357165;16,15;40,04;28,24;2,30;34,80;20867,00;23979,00;17081,00;51,86;10,96;104,55;96,51;67,99;66,50;2,26;-1,57;1165,47;3,58;851;24,21;100713,77;288;4,47
2019T1;9;Burgos;356607;16,02;39,83;28,70;2,30;34,90;21016,00;24078,00;17422,00;50,75;11,35;103,24;92,79;68,93;64,60;2,37;-1,25;1180,08;5,38;952;20,90;94445,39;208;4,49
2019T2;9;Burgos;356607;16,02;39,83;28,70;2,30;34,90;21016,00;24078,00;17422,00;50,60;9,34;104,41;96,07;70,47;65,50;2,35;-1,14;1169,19;5,38;910;17,80;95146,31;350;4,45
2019T3;9;Burgos;356607;16,02;39,83;28,70;2,30;34,90;21016,00;24078,00;17422,00;51,95;9,81;103,79;93,19;70,81;64,70;2,15;-1,19;1182,53;5,38;834;26,62;98288,66;524;4,50
2019T4;9;Burgos;356607;16,02;39,83;28,70;2,30;34,90;21016,00;24078,00;17422,00;52,20;9,34;104,91;96,93;71,39;63,00;1,99;-1,08;1172,91;5,38;754;20,82;94365,90;189;4,46
2020T1;9;Burgos;357121;15,89;39,60;29,07;2,30;35,20;21007,00;23852,00;17666,00;51,85;9,76;103,49;92,62;70,95;63,80;2,03;-1,14;1145,94;2,71;868;15,09;98153,99;264;4,36
2020T2;9;Burgos;357121;15,89;39,60;29,07;2,30;35,20;21007,00;23852,00;17666,00;47,38;13,67;103,45;93,31;72,55;64,20;1,91;-1,64;1147,37;2,71;524;22,71;98898,25;356;4,37
2020T3;9;Burgos;357121;15,89;39,60;29,07;2,30;35,20;21007,00;23852,00;17666,00;50,66;11,68;103,13;92,71;72,38;63,60;1,94;-1,62;1136,07;2,71;794;18,77;111230,28;160;4,33
2020T4;9;Burgos;357121;15,89;39,60;29,07;2,30;35,20;21007,00;23852,00;17666,00;51,65;9,40;104,12;97,76;72,33;65,20;1,80;-1,19;1169,21;2,71;1018;22,20;114722,30;172;4,45
2021T1;9;Burgos;356042;15,85;39,69;29,15;2,30;35,70;21891,00;24863,00;18429,00;50,99;9,80;104,03;94,96;72,36;64,70;1,72;-0,80;1163,68;2,25;997;25,98;99493,27;272;4,25
2021T2;9;Burgos;356042;15,85;39,69;29,15;2,30;35,70;21891,00;24863,00;18429,00;51,07;10,21;106,23;100,28;74,44;64,90;1,62;0,07;1180,76;2,25;1026;24,17;99699,09;125;4,32
2021T3;9;Burgos;356042;15,85;39,69;29,15;2,30;35,70;21891,00;24863,00;18429,00;52,68;8,86;106,84;99,76;75,44;65,20;1,59;0,74;1200,62;2,25;1266;31,91;100332,89;603;4,39
2021T4;9;Burgos;356042;15,85;39,69;29,15;2,30;35,70;21891,00;24863,00;18429,00;52,21;9,65;110,61;105,01;76,22;65,40;1,54;0,76;1259,54;2,25;998;20,84;111562,58;156;4,60
2022T1;9;Burgos;354846;15,73;39,40;29,74;2,30;36,00;23002,00;26131,00;19442,00;52,44;9,83;112,77;105,46;77,60;65,20;1,60;0,72;1316,80;12,83;1357;28,45;105213,10;186;4,58
2022T2;9;Burgos;354846;15,73;39,40;29,74;2,30;36,00;23002,00;26131,00;19442,00;51,89;11,08;116,48;114,52;79,21;65,20;1,74;0,98;1336,26;12,83;1240;17,74;106480,16;273;4,65
2022T3;9;Burgos;354846;15,73;39,40;29,74;2,30;36,00;23002,00;26131,00;19442,00;55,11;6,09;118,09;110,54;80,39;64,60;2,14;0,87;1387,86;12,83;1332;22,00;111342,89;436;4,83
2022T4;9;Burgos;354846;15,73;39,40;29,74;2,30;36,00;23002,00;26131,00;19442,00;54,05;7,22;117,99;115,01;79,32;63,90;2,87;0,30;1370,23;12,83;1222;25,61;103777,95;248;4,77
2023T1;9;Burgos;357370;15,92;39,09;29,94;2,30;36,50;24046,00;27231,00;20463,00;52,55;8,02;118,09;112,83;79,54;63,00;3,59;-0,75;1349,88;11,17;1201;18,73;107734,19;552;4,49
2023T2;9;Burgos;357370;15,92;39,09;29,94;2,30;36,50;24046,00;27231,00;20463,00;51,57;7,85;119,60;116,60;81,46;62,70;3,89;-2,01;1375,64;11,17;1247;18,36;100854,94;225;4,58
2023T3;9;Burgos;357370;15,92;39,09;29,94;2,30;36,50;24046,00;27231,00;20463,00;53,00;6,82;120,95;112,78;82,36;62,20;4,06;-3,14;1374,29;11,17;1217;17,75;98611,65;209;4,57
2023T4;9;Burgos;357370;15,92;39,09;29,94;2,30;36,50;24046,00;27231,00;20463,00;52,57;8,18;121,65;117,61;82,08;61,40;4,03;-3,14;1422,42;11,17;951;15,46;107382,82;329;4,73
2024T1;9;Burgos;359740;15,92;39,09;29,94;2,30;36,50;24884,00;28051,00;21360,00;52,54;8,24;122,17;113,32;84,24;61,50;3,69;-2,61;1458,54;11,97;1112;21,85;115730,39;520;4,69
2024T2;9;Burgos;359740;15,92;39,09;29,94;2,30;36,50;24884,00;28051,00;21360,00;52,27;6,65;124,11;117,41;87,06;63,00;3,55;-1,79;1496,20;11,97;1159;17,86;103706,65;228;4,81
2024T3;9;Burgos;359740;15,92;39,09;29,94;2,30;36,50;24884,00;28051,00;21360,00;53,96;6,47;123,34;114,16;88,94;63,30;3,45;-0,62;1455,21;11,97;1443;19,47;103130,98;181;4,68
2024T4;9;Burgos;359740;15,92;39,09;29,94;2,30;36,50;24884,00;28051,00;21360,00;52,08;6,35;124,32;118,19;90,75;64,10;3,17;0,21;1507,09;11,97;1413;18,19;106169,93;532;4,85
2015T1;10;Cáceres;405967;19,57;39,06;25,58;2,30;33,60;14088,00;15266,00;12663,00;38,54;29,73;99,07;90,33;70,80;60,70;2,61;-3,78;796,14;0,07;496;15,93;71359,62;159;4,52
2015T2;10;Cáceres;405967;19,57;39,06;25,58;2,30;33,60;14088,00;15266,00;12663,00;40,21;27,44;100,75;93,72;71,48;61,80;2,51;-3,32;834,51;0,07;461;14,10;74126,03;220;4,74
2015T3;10;Cáceres;405967;19,57;39,06;25,58;2,30;33,60;14088,00;15266,00;12663,00;40,24;26,61;99,60;90,26;71,60;62,30;2,45;-3,36;833,38;0,07;457;8,53;72454,55;182;4,73
2015T4;10;Cáceres;405967;19,57;39,06;25,58;2,30;33,60;14088,00;15266,00;12663,00;40,27;24,68;100,58;92,91;71,38;63,20;2,43;-3,27;851,57;0,07;456;8,77;71307,19;205;4,84
2016T1;10;Cáceres;403183;19,01;39,40;25,91;2,30;33,90;14226,00;15372,00;12863,00;39,22;26,74;98,50;88,55;71,98;63,90;2,33;-3,32;857,90;0,45;459;9,15;80920,42;207;4,82
2016T2;10;Cáceres;403183;19,01;39,40;25,91;2,30;33,90;14226,00;15372,00;12863,00;40,27;23,89;99,99;92,68;72,40;63,80;2,32;-3,60;861,61;0,45;573;9,42;73532,02;312;4,85
2016T3;10;Cáceres;403183;19,01;39,40;25,91;2,30;33,90;14226,00;15372,00;12863,00;41,86;21,43;99,43;89,74;73,01;63,80;2,37;-3,16;843,03;0,45;511;8,02;71235,47;198;4,74
2016T4;10;Cáceres;403183;19,01;39,40;25,91;2,30;33,90;14226,00;15372,00;12863,00;40,93;22,12;101,31;93,20;71,95;64,20;2,27;-3,10;877,37;0,45;521;9,79;76912,37;380;4,93
2017T1;10;Cáceres;400066;18,52;39,57;26,37;2,30;34,00;14506,00;15693,00;13109,00;39,94;24,71;100,83;90,09;72,77;64,80;2,24;-2,96;847,37;0,73;593;7,25;74596,82;161;4,67
2017T2;10;Cáceres;400066;18,52;39,57;26,37;2,30;34,00;14506,00;15693,00;13109,00;41,55;22,48;101,67;93,77;72,66;65,00;2,17;-2,83;878,64;0,73;646;6,19;70162,69;298;4,85
2017T3;10;Cáceres;400066;18,52;39,57;26,37;2,30;34,00;14506,00;15693,00;13109,00;40,71;22,22;100,85;91,13;73,03;64,90;2,22;-2,84;869,95;0,73;601;9,98;70101,30;229;4,80
2017T4;10;Cáceres;400066;18,52;39,57;26,37;2,30;34,00;14506,00;15693,00;13109,00;41,44;21,75;102,65;94,80;72,08;65,60;2,15;-2,79;898,76;0,73;573;8,73;85825,07;195;4,96
2018T1;10;Cáceres;396979;18,07;39,62;26,90;2,30;34,60;15032,00;16244,00;13616,00;42,32;21,20;101,58;91,97;73,02;65,50;2,23;-2,60;862,24;2,19;642;9,97;75767,73;270;4,59
2018T2;10;Cáceres;396979;18,07;39,62;26,90;2,30;34,60;15032,00;16244,00;13616,00;43,57;20,06;103,37;95,37;74,26;64,90;2,20;-2,19;882,70;2,19;711;6,19;77807,62;275;4,70
2018T3;10;Cáceres;396979;18,07;39,62;26,90;2,30;34,60;15032,00;16244,00;13616,00;44,33;19,37;103,04;92,55;74,65;65,90;2,17;-1,81;862,48;2,19;667;18,89;79753,56;215;4,59
2018T4;10;Cáceres;396979;18,07;39,62;26,90;2,30;34,60;15032,00;16244,00;13616,00;42,04;21,30;104,34;96,51;74,00;66,50;2,26;-1,57;902,46;2,19;656;12,80;81486,62;220;4,80
2019T1;10;Cáceres;394541;17,73;39,64;27,47;2,30;35,00;15869,00;17115,00;14417,00;42,82;19,80;102,67;92,79;74,80;64,60;2,37;-1,25;860,40;2,90;673;12,48;82327,47;264;4,34
2019T2;10;Cáceres;394541;17,73;39,64;27,47;2,30;35,00;15869,00;17115,00;14417,00;44,05;19,63;104,14;96,07;75,52;65,50;2,35;-1,14;897,16;2,90;754;14,99;79562,38;460;4,52
2019T3;10;Cáceres;394541;17,73;39,64;27,47;2,30;35,00;15869,00;17115,00;14417,00;44,57;18,87;103,06;93,19;75,76;64,70;2,15;-1,19;887,01;2,90;672;8,93;68773,22;353;4,47
2019T4;10;Cáceres;394541;17,73;39,64;27,47;2,30;35,00;15869,00;17115,00;14417,00;43,04;21,48;104,75;96,93;75,63;63,00;1,99;-1,08;881,02;2,90;662;6,80;82048,95;262;4,44
2020T1;10;Cáceres;392925;17,44;39,59;27,99;2,30;35,40;16099,00;17214,00;14799,00;42,37;21,75;103,30;92,62;75,05;63,80;2,03;-1,14;886,41;1,25;808;16,21;81376,62;306;4,40
2020T2;10;Cáceres;392925;17,44;39,59;27,99;2,30;35,40;16099,00;17214,00;14799,00;42,57;21,14;103,74;93,31;76,49;64,20;1,91;-1,64;870,34;1,25;403;8,93;79746,11;224;4,32
2020T3;10;Cáceres;392925;17,44;39,59;27,99;2,30;35,40;16099,00;17214,00;14799,00;43,63;20,22;103,11;92,71;75,76;63,60;1,94;-1,62;866,22;1,25;739;11,64;81128,00;255;4,30
2020T4;10;Cáceres;392925;17,44;39,59;27,99;2,30;35,40;16099,00;17214,00;14799,00;43,63;18,52;104,40;97,76;75,96;65,20;1,80;-1,19;876,08;1,25;763;7,99;78399,31;193;4,35
2021T1;10;Cáceres;390544;17,28;39,69;28,24;2,30;35,90;16840,00;18156,00;15330,00;38,96;23,88;104,14;94,96;74,91;64,70;1,72;-0,80;858,57;2,24;801;12,11;85604,40;490;4,08
2021T2;10;Cáceres;390544;17,28;39,69;28,24;2,30;35,90;16840,00;18156,00;15330,00;43,32;19,22;106,52;100,28;77,77;64,90;1,62;0,07;876,78;2,24;913;13,03;81414,50;285;4,17
2021T3;10;Cáceres;390544;17,28;39,69;28,24;2,30;35,90;16840,00;18156,00;15330,00;43,83;17,71;106,67;99,76;77,93;65,20;1,59;0,74;893,15;2,24;816;9,07;85331,13;324;4,24
2021T4;10;Cáceres;390544;17,28;39,69;28,24;2,30;35,90;16840,00;18156,00;15330,00;44,32;17,63;110,49;105,01;79,67;65,40;1,54;0,76;948,20;2,24;816;10,54;85847,04;311;4,50
2022T1;10;Cáceres;388957;17,05;39,58;28,75;2,20;36,30;17811,00;19245,00;16200,00;42,40;19,22;112,29;105,46;80,10;65,20;1,60;0,72;941,79;6,91;1079;16,77;82233,83;205;4,23
2022T2;10;Cáceres;388957;17,05;39,58;28,75;2,20;36,30;17811,00;19245,00;16200,00;43,53;18,04;116,64;114,52;81,92;65,20;1,74;0,98;981,96;6,91;947;12,25;98965,85;228;4,41
2022T3;10;Cáceres;388957;17,05;39,58;28,75;2,20;36,30;17811,00;19245,00;16200,00;44,75;14,60;117,59;110,54;83,02;64,60;2,14;0,87;977,96;6,91;970;18,14;92128,62;327;4,39
2022T4;10;Cáceres;388957;17,05;39,58;28,75;2,20;36,30;17811,00;19245,00;16200,00;44,41;15,25;117,64;115,01;81,91;63,90;2,87;0,30;990,41;6,91;933;13,93;101250,00;355;4,45
2023T1;10;Cáceres;388257;16,85;39,57;29,09;2,20;36,70;18827,00;20271,00;17216,00;43,19;19,33;117,62;112,83;80,96;63,00;3,59;-0,75;1001,92;7,13;1068;12,83;89524,82;244;4,26
2023T2;10;Cáceres;388257;16,85;39,57;29,09;2,20;36,70;18827,00;20271,00;17216,00;44,68;15,06;118,91;116,60;83,38;62,70;3,89;-2,01;1012,75;7,13;998;12,32;84019,23;398;4,30
2023T3;10;Cáceres;388257;16,85;39,57;29,09;2,20;36,70;18827,00;20271,00;17216,00;45,66;11,58;119,58;112,78;83,90;62,20;4,06;-3,14;985,86;7,13;865;8,79;86937,86;293;4,19
2023T4;10;Cáceres;388257;16,85;39,57;29,09;2,20;36,70;18827,00;20271,00;17216,00;45,88;13,79;120,40;117,61;83,71;61,40;4,03;-3,14;1023,04;7,13;927;18,88;87282,12;309;4,35
2024T1;10;Cáceres;388652;16,85;39,57;29,09;2,20;36,70;19769,00;21280,00;18105,00;42,52;17,62;121,11;113,32;85,53;61,50;3,69;-2,61;1021,33;6,73;1007;13,31;103310,66;269;4,13
2024T2;10;Cáceres;388652;16,85;39,57;29,09;2,20;36,70;19769,00;21280,00;18105,00;44,35;14,40;123,04;117,41;88,52;63,00;3,55;-1,79;1061,67;6,73;967;14,06;87250,63;336;4,30
2024T3;10;Cáceres;388652;16,85;39,57;29,09;2,20;36,70;19769,00;21280,00;18105,00;44,54;14,31;122,09;114,16;90,78;63,30;3,45;-0,62;1060,85;6,73;1141;10,34;89370,88;411;4,29
2024T4;10;Cáceres;388652;16,85;39,57;29,09;2,20;36,70;19769,00;21280,00;18105,00;44,80;16,52;123,23;118,19;91,33;64,10;3,17;0,21;1076,30;6,73;1210;14,13;94286,29;336;4,36
2015T1;11;Cádiz;1245567;21,27;42,11;16,68;2,70;23,70;15564,00;17859,00;12496,00;33,35;42,05;98,99;90,33;53,94;60,70;2,61;-3,78;1294,58;-0,18;2193;36,48;86013,91;310;6,65
2015T2;11;Cádiz;1245567;21,27;42,11;16,68;2,70;23,70;15564,00;17859,00;12496,00;35,88;37,32;100,77;93,72;56,15;61,80;2,51;-3,32;1313,49;-0,18;2128;28,34;82439,78;241;6,75
2015T3;11;Cádiz;1245567;21,27;42,11;16,68;2,70;23,70;15564,00;17859,00;12496,00;36,57;37,18;99,85;90,26;56,78;62,30;2,45;-3,36;1309,38;-0,18;2686;24,76;90829,56;266;6,73
2015T4;11;Cádiz;1245567;21,27;42,11;16,68;2,70;23,70;15564,00;17859,00;12496,00;36,25;36,73;100,38;92,91;56,39;63,20;2,43;-3,27;1296,35;-0,18;2069;30,59;81118,69;225;6,66
2016T1;11;Cádiz;1244475;20,61;42,55;17,01;2,70;23,90;15803,00;18084,00;12767,00;35,51;37,16;98,52;88,55;56,88;63,90;2,33;-3,32;1270,35;0,69;2666;24,61;85459,78;425;6,43
2016T2;11;Cádiz;1244475;20,61;42,55;17,01;2,70;23,90;15803,00;18084,00;12767,00;37,29;35,31;100,04;92,68;57,60;63,80;2,32;-3,60;1300,06;0,69;2645;28,66;84632,95;369;6,58
2016T3;11;Cádiz;1244475;20,61;42,55;17,01;2,70;23,90;15803,00;18084,00;12767,00;39,32;31,24;99,86;89,74;57,55;63,80;2,37;-3,16;1272,58;0,69;2500;28,36;88573,25;252;6,44
2016T4;11;Cádiz;1244475;20,61;42,55;17,01;2,70;23,90;15803,00;18084,00;12767,00;37,34;33,86;101,37;93,20;57,57;64,20;2,27;-3,10;1273,42;0,69;2506;30,05;91039,77;315;6,45
2017T1;11;Cádiz;1244090;20,00;42,80;17,47;2,70;23,90;15958,00;18311,00;12856,00;37,40;33,87;101,04;90,09;58,08;64,80;2,24;-2,96;1301,68;1,45;2505;23,47;91303,29;470;6,53
2017T2;11;Cádiz;1244090;20,00;42,80;17,47;2,70;23,90;15958,00;18311,00;12856,00;39,12;29,63;101,95;93,77;58,98;65,00;2,17;-2,83;1307,51;1,45;2790;22,90;95550,40;647;6,55
2017T3;11;Cádiz;1244090;20,00;42,80;17,47;2,70;23,90;15958,00;18311,00;12856,00;40,96;27,61;101,35;91,13;59,67;64,90;2,22;-2,84;1281,10;1,45;2838;28,12;92649,76;404;6,42
2017T4;11;Cádiz;1244090;20,00;42,80;17,47;2,70;23,90;15958,00;18311,00;12856,00;38,44;30,01;102,64;94,80;60,15;65,60;2,15;-2,79;1325,85;1,45;2742;25,13;98705,91;251;6,65
2018T1;11;Cádiz;1243737;19,51;42,95;18,00;2,70;24,20;16390,00;18772,00;13293,00;37,45;31,25;101,65;91,97;60,44;65,50;2,23;-2,60;1312,09;1,71;3227;25,91;96797,01;321;6,40
2018T2;11;Cádiz;1243737;19,51;42,95;18,00;2,70;24,20;16390,00;18772,00;13293,00;40,53;26,86;103,17;95,37;61,78;64,90;2,20;-2,19;1331,35;1,71;3601;21,55;88511,26;588;6,50
2018T3;11;Cádiz;1243737;19,51;42,95;18,00;2,70;24,20;16390,00;18772,00;13293,00;41,27;24,72;102,90;92,55;62,89;65,90;2,17;-1,81;1344,61;1,71;3489;21,61;101961,01;369;6,56
2018T4;11;Cádiz;1243737;19,51;42,95;18,00;2,70;24,20;16390,00;18772,00;13293,00;39,45;27,35;103,69;96,51;63,54;66,50;2,26;-1,57;1389,70;1,71;3123;24,66;100283,33;503;6,78
2019T1;11;Cádiz;1243186;19,14;43,05;18,48;2,70;24,50;17115,00;19534,00;13985,00;39,33;26,80;102,11;92,79;64,02;64,60;2,37;-1,25;1382,62;4,56;3462;26,78;97826,74;667;6,46
2019T2;11;Cádiz;1243186;19,14;43,05;18,48;2,70;24,50;17115,00;19534,00;13985,00;41,86;24,34;103,56;96,07;65,22;65,50;2,35;-1,14;1392,72;4,56;3522;22,60;94702,26;701;6,51
2019T3;11;Cádiz;1243186;19,14;43,05;18,48;2,70;24,50;17115,00;19534,00;13985,00;42,56;23,77;102,76;93,19;66,60;64,70;2,15;-1,19;1396,59;4,56;3226;23,90;100409,25;627;6,53
2019T4;11;Cádiz;1243186;19,14;43,05;18,48;2,70;24,50;17115,00;19534,00;13985,00;40,77;24,70;103,80;96,93;66,17;63,00;1,99;-1,08;1397,30;4,56;3451;28,17;96227,29;490;6,53
2020T1;11;Cádiz;1247160;18,88;43,18;18,91;2,70;24,80;17205,00;19486,00;14219,00;40,45;24,37;102,48;92,62;66,67;63,80;2,03;-1,14;1399,32;2,89;3266;22,35;98528,54;398;6,51
2020T2;11;Cádiz;1247160;18,88;43,18;18,91;2,70;24,80;17205,00;19486,00;14219,00;39,97;21,42;103,21;93,31;66,76;64,20;1,91;-1,64;1372,12;2,89;1997;23,03;101925,61;338;6,38
2020T3;11;Cádiz;1247160;18,88;43,18;18,91;2,70;24,80;17205,00;19486,00;14219,00;42,82;21,03;102,45;92,71;67,44;63,60;1,94;-1,62;1393,57;2,89;2715;24,83;101786,56;458;6,48
2020T4;11;Cádiz;1247160;18,88;43,18;18,91;2,70;24,80;17205,00;19486,00;14219,00;41,42;24,91;103,30;97,76;67,27;65,20;1,80;-1,19;1418,43;2,89;3137;21,87;103642,63;426;6,60
2021T1;11;Cádiz;1249873;18,74;43,22;19,35;2,60;25,40;18086,00;20457,00;15072,00;38,44;27,79;103,26;94,96;67,10;64,70;1,72;-0,80;1411,53;1,99;3485;25,37;105354,50;424;6,24
2021T2;11;Cádiz;1249873;18,74;43,22;19,35;2,60;25,40;18086,00;20457,00;15072,00;40,97;25,95;105,45;100,28;69,14;64,90;1,62;0,07;1481,68;1,99;4161;25,86;104721,62;716;6,55
2021T3;11;Cádiz;1249873;18,74;43,22;19,35;2,60;25,40;18086,00;20457,00;15072,00;43,44;23,51;105,55;99,76;71,51;65,20;1,59;0,74;1491,14;1,99;4574;27,77;110203,93;751;6,60
2021T4;11;Cádiz;1249873;18,74;43,22;19,35;2,60;25,40;18086,00;20457,00;15072,00;40,84;25,92;108,83;105,01;72,66;65,40;1,54;0,76;1552,19;1,99;4351;22,11;106428,95;746;6,87
2022T1;11;Cádiz;1250545;18,65;43,23;19,79;2,60;25,70;18988,00;21554,00;15803,00;39,04;26,21;110,78;105,46;74,40;65,20;1,60;0,72;1600,23;6,18;4398;22,40;114418,07;448;6,74
2022T2;11;Cádiz;1250545;18,65;43,23;19,79;2,60;25,70;18988,00;21554,00;15803,00;43,04;21,70;114,81;114,52;76,20;65,20;1,74;0,98;1652,42;6,18;4380;22,72;116018,51;611;6,96
2022T3;11;Cádiz;1250545;18,65;43,23;19,79;2,60;25,70;18988,00;21554,00;15803,00;42,85;20,96;116,39;110,54;77,43;64,60;2,14;0,87;1710,66;6,18;4691;21,04;112069,13;567;7,21
2022T4;11;Cádiz;1250545;18,65;43,23;19,79;2,60;25,70;18988,00;21554,00;15803,00;40,28;25,00;116,81;115,01;77,35;63,90;2,87;0,30;1713,23;6,18;4315;23,34;115287,20;667;7,22
2023T1;11;Cádiz;1254866;18,59;43,17;20,30;2,60;26,20;20014,00;22685,00;16734,00;40,88;24,98;117,75;112,83;77,52;63,00;3,59;-0,75;1776,99;4,83;4379;24,55;113862,86;578;7,10
2023T2;11;Cádiz;1254866;18,59;43,17;20,30;2,60;26,20;20014,00;22685,00;16734,00;43,36;21,93;119,43;116,60;79,63;62,70;3,89;-2,01;1799,77;4,83;3954;24,51;116704,71;650;7,19
2023T3;11;Cádiz;1254866;18,59;43,17;20,30;2,60;26,20;20014,00;22685,00;16734,00;44,15;21,37;120,50;112,78;81,93;62,20;4,06;-3,14;1877,47;4,83;3663;21,51;113704,58;670;7,50
2023T4;11;Cádiz;1254866;18,59;43,17;20,30;2,60;26,20;20014,00;22685,00;16734,00;42,57;20,74;120,95;117,61;81,45;61,40;4,03;-3,14;1885,51;4,83;3503;21,70;114951,78;812;7,54
2024T1;11;Cádiz;1258730;18,59;43,17;20,30;2,60;26,20;20811,00;23611,00;17411,00;41,04;24,19;121,28;113,32;83,66;61,50;3,69;-2,61;1937,15;5,51;3873;26,26;117354,52;634;7,45
2024T2;11;Cádiz;1258730;18,59;43,17;20,30;2,60;26,20;20811,00;23611,00;17411,00;43,78;20,60;123,03;117,41;87,22;63,00;3,55;-1,79;1991,28;5,51;3952;25,51;117406,49;547;7,65
2024T3;11;Cádiz;1258730;18,59;43,17;20,30;2,60;26,20;20811,00;23611,00;17411,00;45,99;18,13;122,48;114,16;90,57;63,30;3,45;-0,62;2023,84;5,51;4310;24,52;118571,43;1060;7,78
2024T4;11;Cádiz;1258730;18,59;43,17;20,30;2,60;26,20;20811,00;23611,00;17411,00;42,36;20,97;123,26;118,19;92,35;64,10;3,17;0,21;2080,68;5,51;4428;27,94;128507,45;423;8,00
2015T1;12;Castellón/Castelló;577738;19,35;41,52;20,79;2,50;29,30;17005,00;19381,00;14130,00;44,61;25,69;98,94;90,33;58,07;60,70;2,61;-3,78;1011,22;-3,04;1347;23,01;76129,12;91;4,76
2015T2;12;Castellón/Castelló;577738;19,35;41,52;20,79;2,50;29,30;17005,00;19381,00;14130,00;45,62;23,85;100,92;93,72;60,38;61,80;2,51;-3,32;1063,68;-3,04;1371;17,65;70749,04;99;5,00
2015T3;12;Castellón/Castelló;577738;19,35;41,52;20,79;2,50;29,30;17005,00;19381,00;14130,00;46,44;20,94;99,90;90,26;60,22;62,30;2,45;-3,36;1068,43;-3,04;1652;20,94;73037,00;70;5,03
2015T4;12;Castellón/Castelló;577738;19,35;41,52;20,79;2,50;29,30;17005,00;19381,00;14130,00;46,76;19,53;100,25;92,91;60,29;63,20;2,43;-3,27;1067,22;-3,04;1282;11,78;75934,55;148;5,02
2016T1;12;Castellón/Castelló;575546;18,61;41,88;21,18;2,50;29,60;17342,00;19877,00;14275,00;44,91;21,43;97,92;88,55;61,04;63,90;2,33;-3,32;1044,91;-0,77;1426;14,45;73461,45;130;4,82
2016T2;12;Castellón/Castelló;575546;18,61;41,88;21,18;2,50;29,60;17342,00;19877,00;14275,00;45,10;19,79;99,65;92,68;61,48;63,80;2,32;-3,60;1058,29;-0,77;1691;13,13;74950,71;162;4,88
2016T3;12;Castellón/Castelló;575546;18,61;41,88;21,18;2,50;29,60;17342,00;19877,00;14275,00;45,58;19,66;99,31;89,74;61,35;63,80;2,37;-3,16;1019,98;-0,77;1627;13,03;74821,74;147;4,71
2016T4;12;Castellón/Castelló;575546;18,61;41,88;21,18;2,50;29,60;17342,00;19877,00;14275,00;47,52;17,11;100,94;93,20;61,33;64,20;2,27;-3,10;1058,76;-0,77;1482;11,61;72995,17;363;4,88
2017T1;12;Castellón/Castelló;575433;18,04;42,11;21,57;2,50;29,70;17955,00;20760,00;14568,00;45,07;19,52;100,64;90,09;62,18;64,80;2,24;-2,96;1035,50;-0,61;1686;10,85;77139,28;186;4,61
2017T2;12;Castellón/Castelló;575433;18,04;42,11;21,57;2,50;29,70;17955,00;20760,00;14568,00;46,23;17,58;101,45;93,77;62,62;65,00;2,17;-2,83;1073,80;-0,61;1663;13,05;71486,52;206;4,78
2017T3;12;Castellón/Castelló;575433;18,04;42,11;21,57;2,50;29,70;17955,00;20760,00;14568,00;48,27;15,42;100,84;91,13;63,16;64,90;2,22;-2,84;1047,63;-0,61;1892;12,69;81303,71;96;4,67
2017T4;12;Castellón/Castelló;575433;18,04;42,11;21,57;2,50;29,70;17955,00;20760,00;14568,00;49,59;14,37;102,41;94,80;63,88;65,60;2,15;-2,79;1066,29;-0,61;2008;7,07;73040,00;232;4,75
2018T1;12;Castellón/Castelló;576342;17,71;42,12;21,98;2,50;30,00;18576,00;21442,00;15155,00;48,02;16,82;101,46;91,97;64,31;65,50;2,23;-2,60;1048,84;3,04;2167;15,46;72904,11;122;4,52
2018T2;12;Castellón/Castelló;576342;17,71;42,12;21,98;2,50;30,00;18576,00;21442,00;15155,00;49,17;15,68;103,35;95,37;65,14;64,90;2,20;-2,19;1068,00;3,04;2344;15,19;77950,46;477;4,60
2018T3;12;Castellón/Castelló;576342;17,71;42,12;21,98;2,50;30,00;18576,00;21442,00;15155,00;49,53;14,49;103,29;92,55;66,11;65,90;2,17;-1,81;1077,59;3,04;2305;10,37;74531,86;258;4,64
2018T4;12;Castellón/Castelló;576342;17,71;42,12;21,98;2,50;30,00;18576,00;21442,00;15155,00;49,02;15,11;104,09;96,51;66,53;66,50;2,26;-1,57;1104,46;3,04;1945;12,80;79542,51;273;4,76
2019T1;12;Castellón/Castelló;579592;17,59;42,10;22,25;2,50;30,10;19281,00;22128,00;15895,00;49,14;14,46;102,45;92,79;66,99;64,60;2,37;-1,25;1115,05;4,99;2414;16,28;77996,20;202;4,63
