periodo;codigo_provincia;provincia;comunidad_autonoma;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;pct_poblacion_espanola;tasa_migracion_neta_exterior_por_1000_habitantes;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_actividad_pct_total;tasa_empleo_pct_total;tasa_paro_pct_total;renta_neta_media_por_hogar_eur;renta_mediana_por_unidad_consumo_eur;indice_precios_consumo_base_2015;indice_costes_construccion;tipo_interes_prestamos_vivienda_pct;importe_medio_hipoteca_vivienda_eur;valor_tasado_m2;ipv_general;compraventas_por_1000_hab;pct_compraventas_vivienda_nueva;visados_obra_nueva_por_1000_hab;plazas_hoteleras_por_1000_hab;pernoctaciones_por_habitante;valores_arrastrados;precio_m2_mercado;IAV_hombre;IAV_mujer;brecha_iav_absoluta;IAV_total
2019T4;28;Madrid;Madrid, Comunidad de;6618078,0;18,936;41,98;20,745;2,7;25,6;85,9;14,03;26721,0;30439,0;22685,0;63,4;57,06;9,99;42058,0;19250,0;104,97;96,93;1,99;176186,97;2671,7;70,425;2,488;24,59;0,784;17,361;0,984;0;2914,648;7,66;10,279;2,618;8,726
2020T1;28;Madrid;Madrid, Comunidad de;6720310,0;19,168;41,84;20,914;2,7;26,1;85,9;6,31;26801,0;30389,0;22890,0;62,96;56,28;10,6;41830,0;19250,0;103,95;92,617;2,03;162790,05;2637,2;72,18;2,658;25,49;0,693;15,824;0,675;0;2987,281;7,864;10,44;2,576;8,917
2020T2;28;Madrid;Madrid, Comunidad de;6720310,0;19,168;41,84;20,914;2,7;26,1;85,9;6,31;26801,0;30389,0;22890,0;60,48;52,85;12,61;41830,0;19250,0;104,07;93,307;1,907;184764,15;2589,0;71,758;1,722;23,71;0,585;1,964;0,042;0;2969,816;7,818;10,379;2,561;8,865
2020T3;28;Madrid;Madrid, Comunidad de;6720310,0;19,168;41,84;20,914;2,7;26,1;85,9;6,31;26801,0;30389,0;22890,0;61,79;53,6;13,25;41830,0;19250,0;103,45;92,713;1,937;196093,13;2610,3;72,495;2,069;33,37;0,654;8,421;0,201;0;3000,318;7,898;10,486;2,588;8,956
2020T4;28;Madrid;Madrid, Comunidad de;6720310,0;19,168;41,84;20,914;2,7;26,1;85,9;6,31;26801,0;30389,0;22890,0;63,33;54,76;13,53;41830,0;19250,0;103,96;97,763;1,8;196287,02;2573,6;71,463;2,262;28,01;0,719;10,14;0,188;0;2957,607;7,786;10,337;2,551;8,828
2021T1;28;Madrid;Madrid, Comunidad de;6726640,0;19,191;42,02;20,947;2,6;26,4;85,9;4,87;27981,0;31585,0;24074,0;63,24;55,5;12,24;43037,0;19950,0;104,35;94,957;1,72;190786,07;2598,6;72,159;2,898;30,54;0,503;10,386;0,219;0;2986,412;7,564;9,924;2,36;8,538
2021T2;28;Madrid;Madrid, Comunidad de;6726640,0;19,191;42,02;20,947;2,6;26,4;85,9;4,87;27981,0;31585,0;24074,0;63,53;55,78;12,2;43037,0;19950,0;106,11;100,28;1,62;202499,18;2661,4;73,122;3,097;27,03;0,801;12,886;0,346;0;3026,267;7,665;10,057;2,391;8,652
2021T3;28;Madrid;Madrid, Comunidad de;6726640,0;19,191;42,02;20,947;2,6;26,4;85,9;4,87;27981,0;31585,0;24074,0;63,52;55,81;12,13;43037,0;19950,0;106,61;99,757;1,593;201065,16;2684,9;74,552;3,251;22,9;0,79;14,464;0,554;0;3085,45;7,815;10,253;2,438;8,822
2021T4;28;Madrid;Madrid, Comunidad de;6726640,0;19,191;42,02;20,947;2,6;26,4;85,9;4,87;27981,0;31585,0;24074,0;63,02;56,61;10,18;43037,0;19950,0;109,72;105,007;1,543;205256,35;2760,1;75,376;2,786;25,07;0,835;16,365;0,757;0;3119,553;7,901;10,367;2,465;8,919
2022T1;28;Madrid;Madrid, Comunidad de;6743254,0;19,222;41,85;21,368;2,6;26,6;85,2;20,11;29447,0;33295,0;25324,0;63,65;56,19;11,72;45726,0;21350,0;111,83;105,46;1,597;210407,31;2846,2;77,543;3,331;25,74;0,864;16,491;0,645;0;3209,237;7,711;10,138;2,427;8,719
2022T2;28;Madrid;Madrid, Comunidad de;6743254,0;19,222;41,85;21,368;2,6;26,6;85,2;20,11;29447,0;33295,0;25324,0;63,5;56,71;10,7;45726,0;21350,0;115,13;114,52;1,737;206456,76;2899,7;78,442;3,247;20,13;0,754;16,795;0,903;0;3246,444;7,8;10,256;2,455;8,82
2022T3;28;Madrid;Madrid, Comunidad de;6743254,0;19,222;41,85;21,368;2,6;26,6;85,2;20,11;29447,0;33295,0;25324,0;62,91;55,91;11,11;45726,0;21350,0;116,09;110,537;2,143;205593,43;2873,9;80,228;3,061;19,67;0,81;16,609;0,844;0;3320,36;7,978;10,489;2,511;9,021
2022T4;28;Madrid;Madrid, Comunidad de;6743254,0;19,222;41,85;21,368;2,6;26,6;85,2;20,11;29447,0;33295,0;25324,0;63,15;55,99;11,33;45726,0;21350,0;115,95;115,007;2,867;214268,78;2888,1;79,103;2,745;22,13;0,862;17,181;0,901;0;3273,8;7,866;10,342;2,476;8,894
