codigo_provincia;provincia;anio;salario_mujer;salario_hombre;salario_nac;brecha_salarial_euros;brecha_salarial_genero_pct
10;Cáceres;2020;14799;17214;20503;2415;14.03
10;Cáceres;2021;15330;18156;21519;2826;15.57
10;Cáceres;2022;16200;19245;22781;3045;15.82
10;Cáceres;2023;17216;20271;23981;3055;15.07
10;Cáceres;2024;18105;21280;24962;3175;14.92
11;Cádiz;2015;12496;17859;18645;5363;30.03
11;Cádiz;2016;12767;18084;18835;5317;29.4
11;Cádiz;2017;12856;18311;19172;5455;29.79
11;Cádiz;2018;13293;18772;19809;5479;29.19
11;Cádiz;2019;13985;19534;20566;5549;28.41
11;Cádiz;2020;14219;19486;20503;5267;27.03
11;Cádiz;2021;15072;20457;21519;5385;26.32
11;Cádiz;2022;15803;21554;22781;5751;26.68
11;Cádiz;2023;16734;22685;23981;5951;26.23
11;Cádiz;2024;17411;23611;24962;6200;26.26
12;Castellón/Castelló;2015;14130;19381;18645;5251;27.09
12;Castellón/Castelló;2016;14275;19877;18835;5602;28.18
12;Castellón/Castelló;2017;14568;20760;19172;6192;29.83
12;Castellón/Castelló;2018;15155;21442;19809;6287;29.32
12;Castellón/Castelló;2019;15895;22128;20566;6233;28.17
12;Castellón/Castelló;2020;16290;22288;20503;5998;26.91
12;Castellón/Castelló;2021;16940;23428;21519;6488;27.69
12;Castellón/Castelló;2022;18006;24516;22781;6510;26.55
12;Castellón/Castelló;2023;19028;24995;23981;5967;23.87
12;Castellón/Castelló;2024;19903;25902;24962;5999;23.16
13;Ciudad Real;2015;13460;16643;18645;3183;19.13
13;Ciudad Real;2016;13448;16743;18835;3295;19.68
13;Ciudad Real;2017;13821;17200;19172;3379;19.65
13;Ciudad Real;2018;14369;18018;19809;3649;20.25
13;Ciudad Real;2019;15278;18903;20566;3625;19.18
13;Ciudad Real;2020;15843;19076;20503;3233;16.95
13;Ciudad Real;2021;16443;20142;21519;3699;18.36
13;Ciudad Real;2022;17214;21155;22781;3941;18.63
13;Ciudad Real;2023;18322;22399;23981;4077;18.2
13;Ciudad Real;2024;19095;23413;24962;4318;18.44
14;Córdoba;2015;11536;14966;18645;3430;22.92
14;Córdoba;2016;11845;15181;18835;3336;21.97
14;Córdoba;2017;12072;15598;19172;3526;22.61
14;Córdoba;2018;12617;16244;19809;3627;22.33
14;Córdoba;2019;13440;17163;20566;3723;21.69
14;Córdoba;2020;13725;17041;20503;3316;19.46
14;Córdoba;2021;14698;18312;21519;3614;19.74
14;Córdoba;2022;15506;19340;22781;3834;19.82
14;Córdoba;2023;16501;20521;23981;4020;19.59
14;Córdoba;2024;17208;21460;24962;4252;19.81
15;Coruña, A;2015;16380;21264;18645;4884;22.97
15;Coruña, A;2016;16694;21749;18835;5055;23.24
15;Coruña, A;2017;16984;21824;19172;4840;22.18
15;Coruña, A;2018;17728;22794;19809;5066;22.23
15;Coruña, A;2019;18559;23635;20566;5076;21.48
15;Coruña, A;2020;18744;23400;20503;4656;19.9
15;Coruña, A;2021;19585;24240;21519;4655;19.2
15;Coruña, A;2022;20823;25930;22781;5107;19.7
15;Coruña, A;2023;22126;27407;23981;5281;19.27
15;Coruña, A;2024;23233;28559;24962;5326;18.65
16;Cuenca;2015;13555;15699;18645;2144;13.66
16;Cuenca;2016;13616;15872;18835;2256;14.21
16;Cuenca;2017;14016;16458;19172;2442;14.84
16;Cuenca;2018;14569;17108;19809;2539;14.84
16;Cuenca;2019;15322;17994;20566;2672;14.85
16;Cuenca;2020;15948;18202;20503;2254;12.38
16;Cuenca;2021;16463;19072;21519;2609;13.68
16;Cuenca;2022;17283;19941;22781;2658;13.33
16;Cuenca;2023;18141;21015;23981;2874;13.68
16;Cuenca;2024;18871;21824;24962;2953;13.53
17;Girona;2015;15943;19646;18645;3703;18.85
17;Girona;2016;16140;19926;18835;3786;19
17;Girona;2017;16458;20371;19172;3913;19.21
17;Girona;2018;17059;21045;19809;3986;18.94
17;Girona;2019;17726;21711;20566;3985;18.35
17;Girona;2020;17601;21384;20503;3783;17.69
17;Girona;2021;18619;22527;21519;3908;17.35
17;Girona;2022;19717;23726;22781;4009;16.9
17;Girona;2023;20839;24831;23981;3992;16.08
17;Girona;2024;21898;25911;24962;4013;15.49
18;Granada;2015;13192;16153;18645;2961;18.33
18;Granada;2016;13441;16346;18835;2905;17.77
18;Granada;2017;13596;16569;19172;2973;17.94
18;Granada;2018;14094;17113;19809;3019;17.64
18;Granada;2019;14947;17991;20566;3044;16.92
18;Granada;2020;15156;17850;20503;2694;15.09
18;Granada;2021;16084;19048;21519;2964;15.56
18;Granada;2022;16952;20161;22781;3209;15.92
18;Granada;2023;17862;21309;23981;3447;16.18
18;Granada;2024;18688;22274;24962;3586;16.1
19;Guadalajara;2015;16555;22262;18645;5707;25.64
19;Guadalajara;2016;16467;22266;18835;5799;26.04
19;Guadalajara;2017;16581;22528;19172;5947;26.4
19;Guadalajara;2018;17238;23249;19809;6011;25.85
19;Guadalajara;2019;17877;23852;20566;5975;25.05
19;Guadalajara;2020;18054;23639;20503;5585;23.63
19;Guadalajara;2021;18719;24597;21519;5878;23.9
19;Guadalajara;2022;19770;25863;22781;6093;23.56
19;Guadalajara;2023;20808;26978;23981;6170;22.87
19;Guadalajara;2024;21742;27889;24962;6147;22.04
20;Gipuzkoa;2015;;;18645;;
20;Gipuzkoa;2016;;;18835;;
20;Gipuzkoa;2017;;;19172;;
20;Gipuzkoa;2018;;;19809;;
20;Gipuzkoa;2019;;;20566;;
20;Gipuzkoa;2020;;;20503;;
20;Gipuzkoa;2021;;;21519;;
20;Gipuzkoa;2022;;;22781;;
20;Gipuzkoa;2023;;;23981;;
20;Gipuzkoa;2024;;;24962;;
21;Huelva;2015;9887;14979;18645;5092;33.99
21;Huelva;2016;10217;15154;18835;4937;32.58
21;Huelva;2017;10484;15496;19172;5012;32.34
21;Huelva;2018;10991;16171;19809;5180;32.03
21;Huelva;2019;11762;17022;20566;5260;30.9
21;Huelva;2020;12081;17040;20503;4959;29.1
21;Huelva;2021;12698;17704;21519;5006;28.28
21;Huelva;2022;13459;18732;22781;5273;28.15
21;Huelva;2023;14274;19815;23981;5541;27.96
21;Huelva;2024;15164;20654;24962;5490;26.58
22;Huesca;2015;15031;19128;18645;4097;21.42
22;Huesca;2016;15192;19238;18835;4046;21.03
22;Huesca;2017;15430;19740;19172;4310;21.83
22;Huesca;2018;15949;20361;19809;4412;21.67
22;Huesca;2019;16796;21025;20566;4229;20.11
22;Huesca;2020;17052;21432;20503;4380;20.44
22;Huesca;2021;17750;22162;21519;4412;19.91
22;Huesca;2022;18681;23034;22781;4353;18.9
22;Huesca;2023;19700;24029;23981;4329;18.02
22;Huesca;2024;20562;24847;24962;4285;17.25
23;Jaén;2015;10828;13109;18645;2281;17.4
23;Jaén;2016;11208;13386;18835;2178;16.27
23;Jaén;2017;11504;13902;19172;2398;17.25
23;Jaén;2018;12007;14549;19809;2542;17.47
23;Jaén;2019;12807;15371;20566;2564;16.68
23;Jaén;2020;13079;15098;20503;2019;13.37
23;Jaén;2021;13883;16199;21519;2316;14.3
23;Jaén;2022;14559;17159;22781;2600;15.15
23;Jaén;2023;15402;18306;23981;2904;15.86
23;Jaén;2024;16204;19069;24962;2865;15.02
24;León;2015;15329;19954;18645;4625;23.18
24;León;2016;15448;19944;18835;4496;22.54
24;León;2017;15866;20495;19172;4629;22.59
24;León;2018;16325;21072;19809;4747;22.53
24;León;2019;16944;21591;20566;4647;21.52
24;León;2020;17370;21761;20503;4391;20.18
24;León;2021;18033;22482;21519;4449;19.79
24;León;2022;18999;23621;22781;4622;19.57
24;León;2023;20016;24635;23981;4619;18.75
24;León;2024;20955;25560;24962;4605;18.02
25;Lleida;2015;15703;18673;18645;2970;15.91
25;Lleida;2016;15801;18934;18835;3133;16.55
25;Lleida;2017;16176;19448;19172;3272;16.82
25;Lleida;2018;16791;20061;19809;3270;16.3
25;Lleida;2019;17541;20754;20566;3213;15.48
25;Lleida;2020;17831;20881;20503;3050;14.61
25;Lleida;2021;18869;21864;21519;2995;13.7
25;Lleida;2022;19917;22932;22781;3015;13.15
25;Lleida;2023;20869;23804;23981;2935;12.33
25;Lleida;2024;21954;24853;24962;2899;11.66
26;Rioja, La;2015;15971;20592;18645;4621;22.44
26;Rioja, La;2016;16172;20880;18835;4708;22.55
26;Rioja, La;2017;16545;21483;19172;4938;22.99
26;Rioja, La;2018;16980;22091;19809;5111;23.14
26;Rioja, La;2019;17147;21757;20566;4610;21.19
26;Rioja, La;2020;17247;21514;20503;4267;19.83
26;Rioja, La;2021;18088;22370;21519;4282;19.14
26;Rioja, La;2022;18971;23370;22781;4399;18.82
26;Rioja, La;2023;20083;24436;23981;4353;17.81
26;Rioja, La;2024;20974;25224;24962;4250;16.85
27;Lugo;2015;15004;18410;18645;3406;18.5
27;Lugo;2016;15182;18554;18835;3372;18.17
27;Lugo;2017;15678;18982;19172;3304;17.41
27;Lugo;2018;16219;19557;19809;3338;17.07
27;Lugo;2019;16973;20201;20566;3228;15.98
27;Lugo;2020;17384;20431;20503;3047;14.91
27;Lugo;2021;18181;21377;21519;3196;14.95
27;Lugo;2022;19192;22315;22781;3123;14
27;Lugo;2023;20231;23588;23981;3357;14.23
27;Lugo;2024;21093;24272;24962;3179;13.1
28;Madrid;2015;20824;28284;18645;7460;26.38
28;Madrid;2016;20850;28562;18835;7712;27
28;Madrid;2017;21112;28787;19172;7675;26.66
28;Madrid;2018;21906;29573;19809;7667;25.93
28;Madrid;2019;22685;30439;20566;7754;25.47
28;Madrid;2020;22890;30389;20503;7499;24.68
28;Madrid;2021;24074;31585;21519;7511;23.78
28;Madrid;2022;25324;33295;22781;7971;23.94
28;Madrid;2023;26673;34621;23981;7948;22.96
28;Madrid;2024;27731;35873;24962;8142;22.7
29;Málaga;2015;13332;17177;18645;3845;22.38
29;Málaga;2016;13607;17453;18835;3846;22.04
29;Málaga;2017;13842;17795;19172;3953;22.21
29;Málaga;2018;14403;18420;19809;4017;21.81
29;Málaga;2019;15183;19354;20566;4171;21.55
29;Málaga;2020;14855;18784;20503;3929;20.92
29;Málaga;2021;15992;20003;21519;4011;20.05
29;Málaga;2022;17170;21514;22781;4344;20.19
29;Málaga;2023;18301;22804;23981;4503;19.75
29;Málaga;2024;19090;23691;24962;4601;19.42
30;Murcia;2015;13842;17253;18645;3411;19.77
30;Murcia;2016;13938;17516;18835;3578;20.43
30;Murcia;2017;14145;17913;19172;3768;21.04
30;Murcia;2018;14626;18534;19809;3908;21.09
30;Murcia;2019;15225;19214;20566;3989;20.76
30;Murcia;2020;15857;19504;20503;3647;18.7
30;Murcia;2021;16641;20312;21519;3671;18.07
30;Murcia;2022;17354;21157;22781;3803;17.98
30;Murcia;2023;18366;22313;23981;3947;17.69
30;Murcia;2024;19327;23234;24962;3907;16.82
31;Navarra;2015;;;18645;;
31;Navarra;2016;;;18835;;
31;Navarra;2017;;;19172;;
31;Navarra;2018;;;19809;;
31;Navarra;2019;;;20566;;
31;Navarra;2020;;;20503;;
31;Navarra;2021;;;21519;;
31;Navarra;2022;;;22781;;
31;Navarra;2023;;;23981;;
31;Navarra;2024;;;24962;;
32;Ourense;2015;14963;18069;18645;3106;17.19
32;Ourense;2016;15111;18105;18835;2994;16.54
32;Ourense;2017;15623;18460;19172;2837;15.37
32;Ourense;2018;16104;18999;19809;2895;15.24
32;Ourense;2019;16844;19608;20566;2764;14.1
32;Ourense;2020;17224;19576;20503;2352;12.01
32;Ourense;2021;18065;20637;21519;2572;12.46
32;Ourense;2022;19041;21602;22781;2561;11.86
32;Ourense;2023;20103;22773;23981;2670;11.72
32;Ourense;2024;20885;23640;24962;2755;11.65
33;Asturias;2015;16443;22542;18645;6099;27.06
33;Asturias;2016;16474;22702;18835;6228;27.43
33;Asturias;2017;16685;22959;19172;6274;27.33
33;Asturias;2018;17377;23611;19809;6234;26.4
33;Asturias;2019;18091;24238;20566;6147;25.36
33;Asturias;2020;18292;23851;20503;5559;23.31
33;Asturias;2021;19183;25118;21519;5935;23.63
33;Asturias;2022;20157;26408;22781;6251;23.67
33;Asturias;2023;21305;27637;23981;6332;22.91
33;Asturias;2024;22113;28640;24962;6527;22.79
34;Palencia;2015;15482;20168;18645;4686;23.23
34;Palencia;2016;15523;20367;18835;4844;23.78
34;Palencia;2017;15901;20620;19172;4719;22.89
34;Palencia;2018;16351;21064;19809;4713;22.37
34;Palencia;2019;16981;21578;20566;4597;21.3
34;Palencia;2020;17219;21469;20503;4250;19.8
34;Palencia;2021;17912;22107;21519;4195;18.98
34;Palencia;2022;18781;23306;22781;4525;19.42
34;Palencia;2023;19616;24416;23981;4800;19.66
34;Palencia;2024;20546;25362;24962;4816;18.99
35;Palmas, Las;2015;14933;17706;18645;2773;15.66
35;Palmas, Las;2016;14996;17779;18835;2783;15.65
35;Palmas, Las;2017;15246;18143;19172;2897;15.97
35;Palmas, Las;2018;15849;18694;19809;2845;15.22
35;Palmas, Las;2019;16503;19278;20566;2775;14.39
35;Palmas, Las;2020;15514;17894;20503;2380;13.3
35;Palmas, Las;2021;16896;19250;21519;2354;12.23
35;Palmas, Las;2022;18569;21109;22781;2540;12.03
35;Palmas, Las;2023;19678;22157;23981;2479;11.19
35;Palmas, Las;2024;20579;23143;24962;2564;11.08
36;Pontevedra;2015;14767;19284;18645;4517;23.42
36;Pontevedra;2016;14932;19614;18835;4682;23.87
36;Pontevedra;2017;15373;20129;19172;4756;23.63
36;Pontevedra;2018;15953;20815;19809;4862;23.36
36;Pontevedra;2019;16631;21432;20566;4801;22.4
36;Pontevedra;2020;16747;21215;20503;4468;21.06
36;Pontevedra;2021;17655;22207;21519;4552;20.5
36;Pontevedra;2022;18604;23402;22781;4798;20.5
36;Pontevedra;2023;19694;24650;23981;4956;20.11
36;Pontevedra;2024;20613;25599;24962;4986;19.48
37;Salamanca;2015;15869;19220;18645;3351;17.43
37;Salamanca;2016;15829;19321;18835;3492;18.07
37;Salamanca;2017;16219;19856;19172;3637;18.32
37;Salamanca;2018;16651;20382;19809;3731;18.31
37;Salamanca;2019;17292;21127;20566;3835;18.15
37;Salamanca;2020;17570;21007;20503;3437;16.36
37;Salamanca;2021;18226;21836;21519;3610;16.53
37;Salamanca;2022;19138;23016;22781;3878;16.85
37;Salamanca;2023;20095;24140;23981;4045;16.76
37;Salamanca;2024;20965;25014;24962;4049;16.19
38;Santa Cruz de Tenerife;2015;14674;16736;18645;2062;12.32
38;Santa Cruz de Tenerife;2016;14823;16860;18835;2037;12.08
38;Santa Cruz de Tenerife;2017;15028;17110;19172;2082;12.17
38;Santa Cruz de Tenerife;2018;15601;17606;19809;2005;11.39
38;Santa Cruz de Tenerife;2019;16401;18331;20566;1930;10.53
38;Santa Cruz de Tenerife;2020;15724;17194;20503;1470;8.55
38;Santa Cruz de Tenerife;2021;16919;18421;21519;1502;8.15
38;Santa Cruz de Tenerife;2022;18452;20034;22781;1582;7.9
38;Santa Cruz de Tenerife;2023;19539;21257;23981;1718;8.08
38;Santa Cruz de Tenerife;2024;20456;22143;24962;1687;7.62
39;Cantabria;2015;15878;21498;18645;5620;26.14
39;Cantabria;2016;15974;21421;18835;5447;25.43
39;Cantabria;2017;16218;21881;19172;5663;25.88
39;Cantabria;2018;16851;22518;19809;5667;25.17
39;Cantabria;2019;17295;22567;20566;5272;23.36
39;Cantabria;2020;17430;22327;20503;4897;21.93
39;Cantabria;2021;18283;23255;21519;4972;21.38
39;Cantabria;2022;19317;24544;22781;5227;21.3
39;Cantabria;2023;20195;25604;23981;5409;21.13
39;Cantabria;2024;20966;26455;24962;5489;20.75
40;Segovia;2015;15057;18651;18645;3594;19.27
40;Segovia;2016;15040;18839;18835;3799;20.17
40;Segovia;2017;15278;19458;19172;4180;21.48
40;Segovia;2018;15687;19896;19809;4209;21.16
40;Segovia;2019;16111;20523;20566;4412;21.5
40;Segovia;2020;16687;20849;20503;4162;19.96
40;Segovia;2021;17367;21501;21519;4134;19.23
40;Segovia;2022;18136;22414;22781;4278;19.09
40;Segovia;2023;19143;23649;23981;4506;19.05
40;Segovia;2024;20060;24620;24962;4560;18.52
41;Sevilla;2015;13397;17974;18645;4577;25.46
41;Sevilla;2016;13568;18171;18835;4603;25.33
41;Sevilla;2017;13681;18386;19172;4705;25.59
41;Sevilla;2018;14190;19014;19809;4824;25.37
41;Sevilla;2019;15001;19982;20566;4981;24.93
41;Sevilla;2020;15247;19963;20503;4716;23.62
41;Sevilla;2021;16109;20995;21519;4886;23.27
41;Sevilla;2022;16993;22308;22781;5315;23.83
41;Sevilla;2023;18043;23662;23981;5619;23.75
41;Sevilla;2024;18776;24598;24962;5822;23.67
42;Soria;2015;16787;19657;18645;2870;14.6
42;Soria;2016;16743;19881;18835;3138;15.78
42;Soria;2017;17212;20402;19172;3190;15.64
42;Soria;2018;17785;21070;19809;3285;15.59
42;Soria;2019;18233;21398;20566;3165;14.79
42;Soria;2020;18667;21582;20503;2915;13.51
42;Soria;2021;19244;22230;21519;2986;13.43
42;Soria;2022;20145;23137;22781;2992;12.93
42;Soria;2023;21030;24089;23981;3059;12.7
42;Soria;2024;21945;25028;24962;3083;12.32
43;Tarragona;2015;15777;21076;18645;5299;25.14
43;Tarragona;2016;15884;21329;18835;5445;25.53
43;Tarragona;2017;16159;21669;19172;5510;25.43
43;Tarragona;2018;16779;22291;19809;5512;24.73
43;Tarragona;2019;17459;22947;20566;5488;23.92
43;Tarragona;2020;17608;22703;20503;5095;22.44
43;Tarragona;2021;18590;23811;21519;5221;21.93
43;Tarragona;2022;19671;25019;22781;5348;21.38
43;Tarragona;2023;20780;26172;23981;5392;20.6
43;Tarragona;2024;21870;27144;24962;5274;19.43
44;Teruel;2015;14727;19067;18645;4340;22.76
44;Teruel;2016;14947;19200;18835;4253;22.15
44;Teruel;2017;15221;19434;19172;4213;21.68
44;Teruel;2018;15736;19970;19809;4234;21.2
44;Teruel;2019;16597;20708;20566;4111;19.85
44;Teruel;2020;16922;20629;20503;3707;17.97
44;Teruel;2021;17614;21532;21519;3918;18.2
44;Teruel;2022;18609;22627;22781;4018;17.76
44;Teruel;2023;19640;23681;23981;4041;17.06
44;Teruel;2024;20683;24583;24962;3900;15.86
45;Toledo;2015;14088;17567;18645;3479;19.8
45;Toledo;2016;14251;17915;18835;3664;20.45
45;Toledo;2017;14470;18407;19172;3937;21.39
45;Toledo;2018;15040;19218;19809;4178;21.74
45;Toledo;2019;15777;20085;20566;4308;21.45
45;Toledo;2020;16075;19915;20503;3840;19.28
45;Toledo;2021;16744;20984;21519;4240;20.21
45;Toledo;2022;17761;22253;22781;4492;20.19
45;Toledo;2023;18748;23391;23981;4643;19.85
45;Toledo;2024;19570;24319;24962;4749;19.53
46;Valencia/València;2015;15731;19972;18645;4241;21.23
46;Valencia/València;2016;15823;20281;18835;4458;21.98
46;Valencia/València;2017;16181;20839;19172;4658;22.35
46;Valencia/València;2018;16779;21463;19809;4684;21.82
46;Valencia/València;2019;17464;22296;20566;4832;21.67
46;Valencia/València;2020;17790;22198;20503;4408;19.86
46;Valencia/València;2021;18481;22914;21519;4433;19.35
46;Valencia/València;2022;19658;24519;22781;4861;19.83
46;Valencia/València;2023;20749;25674;23981;4925;19.18
46;Valencia/València;2024;21625;26519;24962;4894;18.45
47;Valladolid;2015;16770;21875;18645;5105;23.34
47;Valladolid;2016;16848;22187;18835;5339;24.06
47;Valladolid;2017;17270;22742;19172;5472;24.06
47;Valladolid;2018;17787;23198;19809;5411;23.33
47;Valladolid;2019;18400;23985;20566;5585;23.29
47;Valladolid;2020;18679;23810;20503;5131;21.55
47;Valladolid;2021;19543;24767;21519;5224;21.09
47;Valladolid;2022;20548;25972;22781;5424;20.88
47;Valladolid;2023;21694;27344;23981;5650;20.66
47;Valladolid;2024;22597;28290;24962;5693;20.12
48;Bizkaia;2015;;;18645;;
48;Bizkaia;2016;;;18835;;
48;Bizkaia;2017;;;19172;;
48;Bizkaia;2018;;;19809;;
48;Bizkaia;2019;;;20566;;
48;Bizkaia;2020;;;20503;;
48;Bizkaia;2021;;;21519;;
48;Bizkaia;2022;;;22781;;
48;Bizkaia;2023;;;23981;;
48;Bizkaia;2024;;;24962;;
49;Zamora;2015;14257;16981;18645;2724;16.04
49;Zamora;2016;14323;17108;18835;2785;16.28
49;Zamora;2017;14705;17506;19172;2801;16
49;Zamora;2018;15159;18081;19809;2922;16.16
49;Zamora;2019;15749;18806;20566;3057;16.26
49;Zamora;2020;16162;19002;20503;2840;14.95
49;Zamora;2021;16688;19668;21519;2980;15.15
49;Zamora;2022;17558;20798;22781;3240;15.58
49;Zamora;2023;18516;21791;23981;3275;15.03
49;Zamora;2024;19253;22561;24962;3308;14.66
50;Zaragoza;2015;16572;22260;18645;5688;25.55
50;Zaragoza;2016;16610;22346;18835;5736;25.67
50;Zaragoza;2017;16847;22818;19172;5971;26.17
50;Zaragoza;2018;17328;23366;19809;6038;25.84
50;Zaragoza;2019;18149;24083;20566;5934;24.64
50;Zaragoza;2020;18375;23975;20503;5600;23.36
50;Zaragoza;2021;19218;24936;21519;5718;22.93
50;Zaragoza;2022;20160;26135;22781;5975;22.86
50;Zaragoza;2023;21245;27434;23981;6189;22.56
50;Zaragoza;2024;22150;28380;24962;6230;21.95
51;Ceuta;2015;17993;24621;18645;6628;26.92
51;Ceuta;2016;17902;24461;18835;6559;26.81
51;Ceuta;2017;17892;24663;19172;6771;27.45
51;Ceuta;2018;18445;24972;19809;6527;26.14
51;Ceuta;2019;19734;25639;20566;5905;23.03
51;Ceuta;2020;19805;26037;20503;6232;23.94
51;Ceuta;2021;20198;25981;21519;5783;22.26
51;Ceuta;2022;20699;26049;22781;5350;20.54
51;Ceuta;2023;21943;26833;23981;4890;18.22
51;Ceuta;2024;23285;27994;24962;4709;16.82
52;Melilla;2015;17853;23134;18645;5281;22.83
52;Melilla;2016;18146;22901;18835;4755;20.76
52;Melilla;2017;18080;22914;19172;4834;21.1
52;Melilla;2018;18338;22797;19809;4459;19.56
52;Melilla;2019;19177;23381;20566;4204;17.98
52;Melilla;2020;19844;23575;20503;3731;15.83
52;Melilla;2021;20301;23750;21519;3449;14.52
52;Melilla;2022;20492;23662;22781;3170;13.4
52;Melilla;2023;21516;24501;23981;2985;12.18
52;Melilla;2024;22824;25782;24962;2958;11.47
