codigo_provincia,provincia,anio,sexo,variable,valor
03,Alicante/Alacant,2018,hombres,tasa_paro_pct,15.705
03,Alicante/Alacant,2018,mujeres,tasa_actividad_pct,51.3625
03,Alicante/Alacant,2018,mujeres,tasa_empleo_pct,42.775
03,Alicante/Alacant,2018,mujeres,tasa_paro_pct,16.72
03,Alicante/Alacant,2018,total,tasa_actividad_pct,57.4625
03,Alicante/Alacant,2018,total,tasa_empleo_pct,48.1725
03,Alicante/Alacant,2018,total,tasa_paro_pct,16.1675
03,Alicante/Alacant,2019,hombres,tasa_actividad_pct,64.3725
03,Alicante/Alacant,2019,hombres,tasa_empleo_pct,56.4275
03,Alicante/Alacant,2019,hombres,tasa_paro_pct,12.345
03,Alicante/Alacant,2019,mujeres,tasa_actividad_pct,52.0775
03,Alicante/Alacant,2019,mujeres,tasa_empleo_pct,42.78
03,Alicante/Alacant,2019,mujeres,tasa_paro_pct,17.855
03,Alicante/Alacant,2019,total,tasa_actividad_pct,58.135
03,Alicante/Alacant,2019,total,tasa_empleo_pct,49.505
03,Alicante/Alacant,2019,total,tasa_paro_pct,14.85
03,Alicante/Alacant,2020,hombres,tasa_actividad_pct,63.129999999999995
03,Alicante/Alacant,2020,hombres,tasa_empleo_pct,53.1175
03,Alicante/Alacant,2020,hombres,tasa_paro_pct,15.87
03,Alicante/Alacant,2020,mujeres,tasa_actividad_pct,49.58
03,Alicante/Alacant,2020,mujeres,tasa_empleo_pct,39.315
03,Alicante/Alacant,2020,mujeres,tasa_paro_pct,20.697499999999998
03,Alicante/Alacant,2020,total,tasa_actividad_pct,56.255
03,Alicante/Alacant,2020,total,tasa_empleo_pct,46.11
03,Alicante/Alacant,2020,total,tasa_paro_pct,18.0275
03,Alicante/Alacant,2021,hombres,tasa_actividad_pct,62.307500000000005
03,Alicante/Alacant,2021,hombres,tasa_empleo_pct,52.14
03,Alicante/Alacant,2021,hombres,tasa_paro_pct,16.325
03,Alicante/Alacant,2021,mujeres,tasa_actividad_pct,51.015
03,Alicante/Alacant,2021,mujeres,tasa_empleo_pct,40.0275
03,Alicante/Alacant,2021,mujeres,tasa_paro_pct,21.5225
03,Alicante/Alacant,2021,total,tasa_actividad_pct,56.585
03,Alicante/Alacant,2021,total,tasa_empleo_pct,46.0
03,Alicante/Alacant,2021,total,tasa_paro_pct,18.705
03,Alicante/Alacant,2022,hombres,tasa_actividad_pct,63.78
03,Alicante/Alacant,2022,hombres,tasa_empleo_pct,55.4525
03,Alicante/Alacant,2022,hombres,tasa_paro_pct,13.0475
03,Alicante/Alacant,2022,mujeres,tasa_actividad_pct,52.8075
03,Alicante/Alacant,2022,mujeres,tasa_empleo_pct,44.08
03,Alicante/Alacant,2022,mujeres,tasa_paro_pct,16.509999999999998
03,Alicante/Alacant,2022,total,tasa_actividad_pct,58.205
03,Alicante/Alacant,2022,total,tasa_empleo_pct,49.675000000000004
03,Alicante/Alacant,2022,total,tasa_paro_pct,14.645
03,Alicante/Alacant,2023,hombres,tasa_actividad_pct,63.692499999999995
03,Alicante/Alacant,2023,hombres,tasa_empleo_pct,56.465
03,Alicante/Alacant,2023,hombres,tasa_paro_pct,11.3575
03,Alicante/Alacant,2023,mujeres,tasa_actividad_pct,53.1625
03,Alicante/Alacant,2023,mujeres,tasa_empleo_pct,44.8
03,Alicante/Alacant,2023,mujeres,tasa_paro_pct,15.7275
