codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
16,Cuenca,2020,240386,130318,20014,11783,260399,142102,1.832479486565988,1.8446108749366934,1.6985487566833575
16,Cuenca,2021,389897,207732,36992,21834,426888,229567,1.8595355604246255,1.8769231509829973,1.694238343867363
16,Cuenca,2022,485108,266747,68776,35721,553882,302465,1.8312267535086704,1.81860714459769,1.925366031186137
16,Cuenca,2023,479474,266398,67485,36373,546958,302775,1.806483362232681,1.7998408396459433,1.855359744865697
16,Cuenca,2024,477550,270759,69743,37275,547293,308033,1.7767349602153015,1.7637456187975284,1.8710395707578806
16,Cuenca,2025,469085,267883,66709,36958,535794,304839,1.7576294371783139,1.7510816289200883,1.8049948590291682
17,Girona,2015,3901687,1652444,7724982,1862223,11626667,3514666,3.308043210933841,2.3611614069826268,4.148258291300237
17,Girona,2016,4189015,1720945,8217802,2015476,12406819,3736423,3.320507073208788,2.4341364773423906,4.077350462124084
17,Girona,2017,3900692,1630965,8178636,2103912,12079327,3734875,3.2341984671508417,2.3916466631718034,3.8873469993041536
17,Girona,2018,3935213,1730514,8203913,2194907,12139126,3925418,3.0924416202299985,2.2740139634813703,3.7377041487406983
17,Girona,2019,3925778,1717387,8479173,2306352,12404950,4023739,3.0829410158064428,2.285901779855094,3.6764435784303524
17,Girona,2020,2247176,1045479,1224178,481970,3471355,1527446,2.2726531739910936,2.1494224178582257,2.539946469697284
17,Girona,2021,3563278,1624152,2964813,951332,6528091,2575485,2.5347035606885693,2.193931356178486,3.1164861478432346
17,Girona,2022,4054306,1865297,7194143,2077779,11248452,3943077,2.8527091913244402,2.1735444811201647,3.4624197279883955
17,Girona,2023,3975508,1835120,8423408,2413693,12398914,4248816,2.918204506855557,2.1663477047822486,3.489842328746862
17,Girona,2024,3729469,1702984,9029823,2586147,12759295,4289133,2.974795838692808,2.1899612679860763,3.49161242574378
17,Girona,2025,4054716,1876213,8908096,2590515,12962810,4466726,2.9020830917320652,2.1611171013099257,3.438735541002465
18,Granada,2015,3105001,1444282,2492860,1215172,5597865,2659451,2.1048949576435136,2.1498578532447263,2.0514462150214126
18,Granada,2016,3218684,1536608,2574583,1303656,5793265,2840265,2.0396917189065107,2.0946682563152086,1.974894450683309
18,Granada,2017,3231579,1500198,2687913,1356125,5919493,2856323,2.0724172301241843,2.1541016585810673,1.9820540141948566
18,Granada,2018,3450182,1626150,2834003,1416432,6284188,3042578,2.065415578499549,2.1216874212096055,2.0008041332023
18,Granada,2019,3530575,1708416,3067081,1561962,6597656,3270379,2.0173979835364646,2.066578046564771,1.963607949489168
18,Granada,2020,1417206,744376,628589,301781,2045794,1046159,1.9555287484980772,1.903884595956882,2.0829309996321834
18,Granada,2021,2189238,1090478,788600,334311,2977840,1424788,2.0900232174891986,2.0075948345587897,2.358881400851303
18,Granada,2022,3254980,1646684,1958789,926328,5213766,2573012,2.0263278989759863,1.976687694785399,2.11457388743512
