codigo_provincia,provincia,anio,mes,periodo,variable,valor
01,Araba/Álava,2016,10,2016M10,establecimientos_abiertos_estimados,75.0
01,Araba/Álava,2016,10,2016M10,grado_ocupacion_habitaciones_pct,61.71
01,Araba/Álava,2016,10,2016M10,grado_ocupacion_plazas_fin_semana_pct,64.78
01,Araba/Álava,2016,10,2016M10,grado_ocupacion_plazas_pct,50.37
01,Araba/Álava,2016,10,2016M10,habitaciones_estimadas,2263.0
01,Araba/Álava,2016,10,2016M10,personal_empleado,507.0
01,Araba/Álava,2016,10,2016M10,plazas_estimadas,4420.0
01,Araba/Álava,2016,11,2016M11,establecimientos_abiertos_estimados,73.0
01,Araba/Álava,2016,11,2016M11,grado_ocupacion_habitaciones_pct,47.23
01,Araba/Álava,2016,11,2016M11,grado_ocupacion_plazas_fin_semana_pct,45.42
01,Araba/Álava,2016,11,2016M11,grado_ocupacion_plazas_pct,34.98
01,Araba/Álava,2016,11,2016M11,habitaciones_estimadas,2242.0
01,Araba/Álava,2016,11,2016M11,personal_empleado,499.0
01,Araba/Álava,2016,11,2016M11,plazas_estimadas,4385.0
01,Araba/Álava,2016,12,2016M12,establecimientos_abiertos_estimados,70.0
01,Araba/Álava,2016,12,2016M12,grado_ocupacion_habitaciones_pct,43.38
01,Araba/Álava,2016,12,2016M12,grado_ocupacion_plazas_fin_semana_pct,43.61
01,Araba/Álava,2016,12,2016M12,grado_ocupacion_plazas_pct,37.48
01,Araba/Álava,2016,12,2016M12,habitaciones_estimadas,2164.0
01,Araba/Álava,2016,12,2016M12,personal_empleado,498.0
01,Araba/Álava,2016,12,2016M12,plazas_estimadas,4225.0
01,Araba/Álava,2017,1,2017M01,establecimientos_abiertos_estimados,66.0
01,Araba/Álava,2017,1,2017M01,grado_ocupacion_habitaciones_pct,39.54
01,Araba/Álava,2017,1,2017M01,grado_ocupacion_plazas_fin_semana_pct,35.11
01,Araba/Álava,2017,1,2017M01,grado_ocupacion_plazas_pct,30.65
01,Araba/Álava,2017,1,2017M01,habitaciones_estimadas,2059.0
01,Araba/Álava,2017,1,2017M01,personal_empleado,434.0
01,Araba/Álava,2017,1,2017M01,plazas_estimadas,4017.0
01,Araba/Álava,2017,2,2017M02,establecimientos_abiertos_estimados,70.0
01,Araba/Álava,2017,2,2017M02,grado_ocupacion_habitaciones_pct,50.39
01,Araba/Álava,2017,2,2017M02,grado_ocupacion_plazas_fin_semana_pct,50.91
01,Araba/Álava,2017,2,2017M02,grado_ocupacion_plazas_pct,39.61
01,Araba/Álava,2017,2,2017M02,habitaciones_estimadas,2166.0
01,Araba/Álava,2017,2,2017M02,personal_empleado,477.0
01,Araba/Álava,2017,2,2017M02,plazas_estimadas,4229.0
01,Araba/Álava,2017,3,2017M03,establecimientos_abiertos_estimados,74.0
01,Araba/Álava,2017,3,2017M03,grado_ocupacion_habitaciones_pct,49.29
01,Araba/Álava,2017,3,2017M03,grado_ocupacion_plazas_fin_semana_pct,49.37
01,Araba/Álava,2017,3,2017M03,grado_ocupacion_plazas_pct,37.57
01,Araba/Álava,2017,3,2017M03,habitaciones_estimadas,2212.0
01,Araba/Álava,2017,3,2017M03,personal_empleado,487.0
01,Araba/Álava,2017,3,2017M03,plazas_estimadas,4324.0
01,Araba/Álava,2017,4,2017M04,establecimientos_abiertos_estimados,77.0
01,Araba/Álava,2017,4,2017M04,grado_ocupacion_habitaciones_pct,59.37
01,Araba/Álava,2017,4,2017M04,grado_ocupacion_plazas_fin_semana_pct,64.65
01,Araba/Álava,2017,4,2017M04,grado_ocupacion_plazas_pct,51.15
01,Araba/Álava,2017,4,2017M04,habitaciones_estimadas,2287.0
01,Araba/Álava,2017,4,2017M04,personal_empleado,481.0
01,Araba/Álava,2017,4,2017M04,plazas_estimadas,4456.0
01,Araba/Álava,2017,5,2017M05,establecimientos_abiertos_estimados,76.0
01,Araba/Álava,2017,5,2017M05,grado_ocupacion_habitaciones_pct,60.49
01,Araba/Álava,2017,5,2017M05,grado_ocupacion_plazas_fin_semana_pct,58.31
01,Araba/Álava,2017,5,2017M05,grado_ocupacion_plazas_pct,46.89
01,Araba/Álava,2017,5,2017M05,habitaciones_estimadas,2277.0
01,Araba/Álava,2017,5,2017M05,personal_empleado,488.0
01,Araba/Álava,2017,5,2017M05,plazas_estimadas,4439.0
01,Araba/Álava,2017,6,2017M06,establecimientos_abiertos_estimados,77.0
01,Araba/Álava,2017,6,2017M06,grado_ocupacion_habitaciones_pct,61.52
01,Araba/Álava,2017,6,2017M06,grado_ocupacion_plazas_fin_semana_pct,59.11
01,Araba/Álava,2017,6,2017M06,grado_ocupacion_plazas_pct,48.72
01,Araba/Álava,2017,6,2017M06,habitaciones_estimadas,2287.0
01,Araba/Álava,2017,6,2017M06,personal_empleado,487.0
01,Araba/Álava,2017,6,2017M06,plazas_estimadas,4455.0
01,Araba/Álava,2017,7,2017M07,establecimientos_abiertos_estimados,78.0
01,Araba/Álava,2017,7,2017M07,grado_ocupacion_habitaciones_pct,69.77
01,Araba/Álava,2017,7,2017M07,grado_ocupacion_plazas_fin_semana_pct,69.27
01,Araba/Álava,2017,7,2017M07,grado_ocupacion_plazas_pct,59.88
01,Araba/Álava,2017,7,2017M07,habitaciones_estimadas,2297.0
01,Araba/Álava,2017,7,2017M07,personal_empleado,517.0
01,Araba/Álava,2017,7,2017M07,plazas_estimadas,4469.0
01,Araba/Álava,2017,8,2017M08,establecimientos_abiertos_estimados,76.0
01,Araba/Álava,2017,8,2017M08,grado_ocupacion_habitaciones_pct,75.42
01,Araba/Álava,2017,8,2017M08,grado_ocupacion_plazas_fin_semana_pct,78.12
01,Araba/Álava,2017,8,2017M08,grado_ocupacion_plazas_pct,70.58
01,Araba/Álava,2017,8,2017M08,habitaciones_estimadas,2281.0
01,Araba/Álava,2017,8,2017M08,personal_empleado,512.0
01,Araba/Álava,2017,8,2017M08,plazas_estimadas,4442.0
01,Araba/Álava,2017,9,2017M09,establecimientos_abiertos_estimados,75.0
01,Araba/Álava,2017,9,2017M09,grado_ocupacion_habitaciones_pct,68.18
01,Araba/Álava,2017,9,2017M09,grado_ocupacion_plazas_fin_semana_pct,62.83
01,Araba/Álava,2017,9,2017M09,grado_ocupacion_plazas_pct,55.89
01,Araba/Álava,2017,9,2017M09,habitaciones_estimadas,2276.0
01,Araba/Álava,2017,9,2017M09,personal_empleado,509.0
01,Araba/Álava,2017,9,2017M09,plazas_estimadas,4432.0
01,Araba/Álava,2017,10,2017M10,establecimientos_abiertos_estimados,77.0
01,Araba/Álava,2017,10,2017M10,grado_ocupacion_habitaciones_pct,61.55
01,Araba/Álava,2017,10,2017M10,grado_ocupacion_plazas_fin_semana_pct,65.8
01,Araba/Álava,2017,10,2017M10,grado_ocupacion_plazas_pct,49.94
01,Araba/Álava,2017,10,2017M10,habitaciones_estimadas,2290.0
01,Araba/Álava,2017,10,2017M10,personal_empleado,486.0
01,Araba/Álava,2017,10,2017M10,plazas_estimadas,4463.0
01,Araba/Álava,2017,11,2017M11,establecimientos_abiertos_estimados,75.0
01,Araba/Álava,2017,11,2017M11,grado_ocupacion_habitaciones_pct,55.91
01,Araba/Álava,2017,11,2017M11,grado_ocupacion_plazas_fin_semana_pct,59.48
01,Araba/Álava,2017,11,2017M11,grado_ocupacion_plazas_pct,42.19
01,Araba/Álava,2017,11,2017M11,habitaciones_estimadas,2278.0
01,Araba/Álava,2017,11,2017M11,personal_empleado,487.0
01,Araba/Álava,2017,11,2017M11,plazas_estimadas,4440.0
01,Araba/Álava,2017,12,2017M12,establecimientos_abiertos_estimados,71.0
01,Araba/Álava,2017,12,2017M12,grado_ocupacion_habitaciones_pct,46.77
01,Araba/Álava,2017,12,2017M12,grado_ocupacion_plazas_fin_semana_pct,48.29
01,Araba/Álava,2017,12,2017M12,grado_ocupacion_plazas_pct,40.17
01,Araba/Álava,2017,12,2017M12,habitaciones_estimadas,2203.0
01,Araba/Álava,2017,12,2017M12,personal_empleado,481.0
