provincia,anio,superficie_m2,n_trimestres_disponibles
Córdoba,2013,236.41000000000003,4
Córdoba,2014,578.5,4
Córdoba,2015,235.86,4
Córdoba,2016,333.3,4
Córdoba,2017,307.3,4
Córdoba,2018,746.81,4
Córdoba,2019,280.13,4
Córdoba,2020,260.33,4
Córdoba,2021,468.8,4
Córdoba,2022,360.03,4
Córdoba,2023,409.32,4
Córdoba,2024,196.79999999999998,4
Córdoba,2025,274.08000000000004,4
Córdoba,2026,71.54,1
Girona,2004,7216.0,4
Girona,2005,6676.7,4
Girona,2006,4541.6,4
Girona,2007,5620.32406,4
Girona,2008,2459.7400000000002,4
Girona,2009,1148.77,4
Girona,2010,812.25,4
Girona,2011,921.1700000000001,4
Girona,2012,1162.18,4
Girona,2013,1141.1399999999999,4
Girona,2014,1176.47,4
Girona,2015,1220.8899999999999,4
Girona,2016,1152.26,4
Girona,2017,1145.79,4
Girona,2018,1195.27,4
Girona,2019,858.45,4
Girona,2020,792.78,4
Girona,2021,1452.53,4
Girona,2022,1517.79,4
Girona,2023,1100.4,4
Girona,2024,1161.8700000000001,4
Girona,2025,1560.61,4
Girona,2026,297.59,1
Granada,2004,1095.2,4
Granada,2005,1021.1,4
Granada,2006,730.4,4
Granada,2007,909.59689,4
Granada,2008,803.5799999999999,4
Granada,2009,573.62,4
Granada,2010,287.15999999999997,4
Granada,2011,400.76,4
Granada,2012,212.14,4
Granada,2013,412.86,4
Granada,2014,264.78999999999996,4
Granada,2015,475.81,4
Granada,2016,341.07,4
Granada,2017,742.31,4
Granada,2018,563.13,4
Granada,2019,552.42,4
Granada,2020,425.01,4
Granada,2021,1067.03,4
Granada,2022,667.81,4
Granada,2023,735.97,4
Granada,2024,437.75,4
Granada,2025,990.0600000000001,4
Granada,2026,116.38,1
Guadalajara,2004,1980.9,4
Guadalajara,2005,2485.7999999999997,4
Guadalajara,2006,2223.1,4
Guadalajara,2007,1064.07563,4
Guadalajara,2008,1471.64,4
Guadalajara,2009,421.13,4
Guadalajara,2010,429.61,4
Guadalajara,2011,540.78,4
Guadalajara,2012,257.67,4
Guadalajara,2013,499.01,4
Guadalajara,2014,270.86,4
Guadalajara,2015,682.6800000000001,4
Guadalajara,2016,481.6,4
Guadalajara,2017,574.11,4
Guadalajara,2018,1646.97,4
Guadalajara,2019,387.39000000000004,4
Guadalajara,2020,360.96000000000004,4
Guadalajara,2021,829.53,4
Guadalajara,2022,985.3799999999999,4
Guadalajara,2023,850.51,4
Guadalajara,2024,484.53000000000003,4
Guadalajara,2025,1527.6399999999999,4
Guadalajara,2026,257.57,1
Guipúzcoa,2004,697.0,4
Guipúzcoa,2005,714.9,4
Guipúzcoa,2006,596.1,4
Guipúzcoa,2007,744.2645,4
Guipúzcoa,2008,391.71000000000004,4
Guipúzcoa,2009,205.34,4
Guipúzcoa,2010,191.42000000000002,4
Guipúzcoa,2011,118.71000000000001,4
Guipúzcoa,2012,129.62,4
Guipúzcoa,2013,44.11,4
Guipúzcoa,2014,132.26,4
Guipúzcoa,2015,200.82000000000002,4
Guipúzcoa,2016,135.88,4
Guipúzcoa,2017,143.72,4
Guipúzcoa,2018,113.3,4
Guipúzcoa,2019,698.8399999999999,4
Guipúzcoa,2020,263.62,4
Guipúzcoa,2021,125.17,4
Guipúzcoa,2022,301.94,4
Guipúzcoa,2023,123.44000000000001,4
Guipúzcoa,2024,138.68,4
Guipúzcoa,2025,78.98,4
Guipúzcoa,2026,3.14,1
Huelva,2004,2144.2,4
Huelva,2005,464.1,4
Huelva,2006,1105.0,4
Huelva,2007,736.22178,4
Huelva,2008,548.69,4
Huelva,2009,372.31,4
Huelva,2010,318.89,4
Huelva,2011,208.74,4
