codigo_provincia,provincia,provincia_original,anio,tipo_edificacion,tipo_dato,valor,valor_original,edificacion_normalizada,dato_normalizado,variable
11,Cádiz,11 Cádiz,2022,Vivienda colectiva,Variación anual,2.3,"2,3",colectiva,variacion_anual,ipva_variacion_anual_colectiva
11,Cádiz,11 Cádiz,2022,Vivienda unifamiliar,Variación anual,1.8,"1,8",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
11,Cádiz,11 Cádiz,2022,Total,Índice,112.298,"112,298",general,indice,ipva_indice_general
11,Cádiz,11 Cádiz,2022,Vivienda colectiva,Índice,113.032,"113,032",colectiva,indice,ipva_indice_colectiva
11,Cádiz,11 Cádiz,2022,Vivienda unifamiliar,Índice,110.605,"110,605",unifamiliar,indice,ipva_indice_unifamiliar
11,Cádiz,11 Cádiz,2023,Total,Variación anual,1.9,"1,9",general,variacion_anual,ipva_variacion_anual_general
11,Cádiz,11 Cádiz,2023,Vivienda colectiva,Variación anual,2.1,"2,1",colectiva,variacion_anual,ipva_variacion_anual_colectiva
11,Cádiz,11 Cádiz,2023,Vivienda unifamiliar,Variación anual,1.2,"1,2",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
11,Cádiz,11 Cádiz,2023,Total,Índice,114.402,"114,402",general,indice,ipva_indice_general
11,Cádiz,11 Cádiz,2023,Vivienda colectiva,Índice,115.436,"115,436",colectiva,indice,ipva_indice_colectiva
11,Cádiz,11 Cádiz,2023,Vivienda unifamiliar,Índice,111.957,"111,957",unifamiliar,indice,ipva_indice_unifamiliar
11,Cádiz,11 Cádiz,2024,Total,Variación anual,3.0,"3,0",general,variacion_anual,ipva_variacion_anual_general
11,Cádiz,11 Cádiz,2024,Vivienda colectiva,Variación anual,3.1,"3,1",colectiva,variacion_anual,ipva_variacion_anual_colectiva
11,Cádiz,11 Cádiz,2024,Vivienda unifamiliar,Variación anual,2.7,"2,7",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
11,Cádiz,11 Cádiz,2024,Total,Índice,117.852,"117,852",general,indice,ipva_indice_general
11,Cádiz,11 Cádiz,2024,Vivienda colectiva,Índice,119.049,"119,049",colectiva,indice,ipva_indice_colectiva
11,Cádiz,11 Cádiz,2024,Vivienda unifamiliar,Índice,114.994,"114,994",unifamiliar,indice,ipva_indice_unifamiliar
12,Castellón/Castelló,12 Castellón/Castelló,2015,Total,Variación anual,-0.6,"-0,6",general,variacion_anual,ipva_variacion_anual_general
12,Castellón/Castelló,12 Castellón/Castelló,2015,Vivienda colectiva,Variación anual,-0.6,"-0,6",colectiva,variacion_anual,ipva_variacion_anual_colectiva
12,Castellón/Castelló,12 Castellón/Castelló,2015,Vivienda unifamiliar,Variación anual,-0.4,"-0,4",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
