provincia,anio,trimestre,periodo,numero_transacciones
Avila,2021,1,2021-T1,26.0
Avila,2021,2,2021-T2,25.0
Avila,2021,3,2021-T3,22.0
Avila,2021,4,2021-T4,70.0
Avila,2022,1,2022-T1,41.0
Avila,2022,2,2022-T2,32.0
Avila,2022,3,2022-T3,26.0
Avila,2022,4,2022-T4,39.0
Avila,2023,1,2023-T1,32.0
Avila,2023,2,2023-T2,22.0
Avila,2023,3,2023-T3,28.0
Avila,2023,4,2023-T4,43.0
Avila,2024,1,2024-T1,26.0
Avila,2024,2,2024-T2,25.0
Avila,2024,3,2024-T3,38.0
Avila,2024,4,2024-T4,26.0
Avila,2025,1,2025-T1,53.0
Avila,2025,2,2025-T2,77.0
Avila,2025,3,2025-T3,468.0
Avila,2025,4,2025-T4,115.0
Avila,2026,1,2026-T1,63.0
Badajoz,2004,1,2004-T1,495.0
Badajoz,2004,2,2004-T2,421.0
Badajoz,2004,3,2004-T3,365.0
Badajoz,2004,4,2004-T4,465.0
Badajoz,2005,1,2005-T1,397.0
Badajoz,2005,2,2005-T2,479.0
Badajoz,2005,3,2005-T3,352.0
Badajoz,2005,4,2005-T4,389.0
Badajoz,2006,1,2006-T1,302.0
Badajoz,2006,2,2006-T2,310.0
Badajoz,2006,3,2006-T3,232.0
Badajoz,2006,4,2006-T4,355.0
Badajoz,2007,1,2007-T1,269.0
Badajoz,2007,2,2007-T2,235.0
Badajoz,2007,3,2007-T3,305.0
Badajoz,2007,4,2007-T4,267.0
Badajoz,2008,1,2008-T1,260.0
Badajoz,2008,2,2008-T2,255.0
Badajoz,2008,3,2008-T3,261.0
Badajoz,2008,4,2008-T4,223.0
Badajoz,2009,1,2009-T1,150.0
Badajoz,2009,2,2009-T2,169.0
Badajoz,2009,3,2009-T3,82.0
Badajoz,2009,4,2009-T4,212.0
Badajoz,2010,1,2010-T1,165.0
Badajoz,2010,2,2010-T2,169.0
Badajoz,2010,3,2010-T3,141.0
Badajoz,2010,4,2010-T4,169.0
Badajoz,2011,1,2011-T1,202.0
Badajoz,2011,2,2011-T2,126.0
Badajoz,2011,3,2011-T3,133.0
Badajoz,2011,4,2011-T4,119.0
Badajoz,2012,1,2012-T1,156.0
Badajoz,2012,2,2012-T2,109.0
Badajoz,2012,3,2012-T3,85.0
Badajoz,2012,4,2012-T4,148.0
Badajoz,2013,1,2013-T1,78.0
Badajoz,2013,2,2013-T2,87.0
Badajoz,2013,3,2013-T3,77.0
