periodo;codigo_provincia;provincia;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;indice_precios_consumo_base_2015;pct_35_64;tasa_migracion_neta_exterior_por_1000_habitantes;compraventas_viviendas;pct_compraventas_vivienda_nueva;importe_medio_hipoteca_vivienda_eur;visados_obra_nueva_viviendas
2024T1;2;Albacete;21576,0;23309,0;19449,0;123,63;41,02;8,61;909;21,89;99133,94;334
2024T2;2;Albacete;21576,0;23309,0;19449,0;125,74;41,02;8,61;950;16,21;93165,25;156
2024T3;2;Albacete;21576,0;23309,0;19449,0;124,93;41,02;8,61;988;19,23;103397,32;243
2024T4;2;Albacete;21576,0;23309,0;19449,0;126,09;41,02;8,61;969;18,27;97640,55;349
2015T1;3;Alicante/Alacant;15425,0;16864,0;13716,0;98,85;41,24;-0,25;6443;24,55;85465,9;1224
2015T2;3;Alicante/Alacant;15425,0;16864,0;13716,0;101,0;41,24;-0,25;6624;20,47;78483,42;1408
2015T3;3;Alicante/Alacant;15425,0;16864,0;13716,0;99,94;41,24;-0,25;7388;19,49;80680,79;1305
2015T4;3;Alicante/Alacant;15425,0;16864,0;13716,0;100,21;41,24;-0,25;6403;16,88;84031,21;1291
2016T1;3;Alicante/Alacant;15597,0;17079,0;13845,0;97,86;41,52;-0,77;7130;18,25;84665,62;1737
2016T2;3;Alicante/Alacant;15597,0;17079,0;13845,0;99,65;41,52;-0,77;7999;15,99;80201,87;2038
2016T3;3;Alicante/Alacant;15597,0;17079,0;13845,0;99,26;41,52;-0,77;7774;16,77;86061,97;1222
2016T4;3;Alicante/Alacant;15597,0;17079,0;13845,0;100,8;41,52;-0,77;6786;15,43;85374,6;1361
2017T1;3;Alicante/Alacant;15938,0;17470,0;14127,0;100,57;41,7;1,76;8425;15,94;86744,57;1641
2017T2;3;Alicante/Alacant;15938,0;17470,0;14127,0;101,6;41,7;1,76;9066;14,03;83617,33;1570
2017T3;3;Alicante/Alacant;15938,0;17470,0;14127,0;100,97;41,7;1,76;8693;18,77;89029,37;2323
2017T4;3;Alicante/Alacant;15938,0;17470,0;14127,0;102,39;41,7;1,76;8533;18,53;87258,71;2066
2018T1;3;Alicante/Alacant;16467,0;18021,0;14652,0;101,57;41,79;10,25;10185;14,62;87163,44;2152
2018T2;3;Alicante/Alacant;16467,0;18021,0;14652,0;103,57;41,79;10,25;10486;16,44;94088,65;1966
2018T3;3;Alicante/Alacant;16467,0;18021,0;14652,0;103,46;41,79;10,25;9918;15,88;96042,55;1359
2018T4;3;Alicante/Alacant;16467,0;18021,0;14652,0;104,13;41,79;10,25;8810;13,05;96610,32;2282
2019T1;3;Alicante/Alacant;17139,0;18730,0;15292,0;102,51;41,87;13,39;9633;14,52;95275,85;2411
2019T2;3;Alicante/Alacant;17139,0;18730,0;15292,0;104,11;41,87;13,39;9641;15,83;97090,73;1747
2019T3;3;Alicante/Alacant;17139,0;18730,0;15292,0;103,42;41,87;13,39;9156;18,45;94310,1;1606
2019T4;3;Alicante/Alacant;17139,0;18730,0;15292,0;104,45;41,87;13,39;8710;17,36;98293,39;1365
2020T1;3;Alicante/Alacant;16897,0;18327,0;15224,0;103,05;41,87;6,43;9033;15,88;93854,39;2351
2020T2;3;Alicante/Alacant;16897,0;18327,0;15224,0;103,23;41,87;6,43;4840;16,38;88389,73;1144
2020T3;3;Alicante/Alacant;16897,0;18327,0;15224,0;102,77;41,87;6,43;7117;18,7;107670,37;1363
2020T4;3;Alicante/Alacant;16897,0;18327,0;15224,0;103,59;41,87;6,43;7706;15,61;105851,33;1359
2021T1;3;Alicante/Alacant;17649,0;19108,0;15954,0;103,9;41,93;11,47;7886;17,35;99131,38;1308
2021T2;3;Alicante/Alacant;17649,0;19108,0;15954,0;106,22;41,93;11,47;8313;15,04;96037,22;1729
2021T3;3;Alicante/Alacant;17649,0;19108,0;15954,0;106,53;41,93;11,47;10060;15,24;105930,46;1684
2021T4;3;Alicante/Alacant;17649,0;19108,0;15954,0;110,01;41,93;11,47;10197;14,55;108237,55;1805
2022T1;3;Alicante/Alacant;19112,0;20741,0;17259,0;112,44;41,88;26,62;12177;12,76;103517,0;1527
2022T2;3;Alicante/Alacant;19112,0;20741,0;17259,0;116,15;41,88;26,62;12383;12,31;104613,31;1623
2022T3;3;Alicante/Alacant;19112,0;20741,0;17259,0;117,72;41,88;26,62;13629;13,98;103969,36;1172
2022T4;3;Alicante/Alacant;19112,0;20741,0;17259,0;117,43;41,88;26,62;12366;12,54;111042,59;1567
2023T1;3;Alicante/Alacant;20186,0;21867,0;18291,0;118,26;41,64;19,89;13212;14,43;108876,86;1839
2023T2;3;Alicante/Alacant;20186,0;21867,0;18291,0;119,91;41,64;19,89;12657;14,31;99251,67;3236
2023T3;3;Alicante/Alacant;20186,0;21867,0;18291,0;121,24;41,64;19,89;12099;15,75;111830,18;1732
2023T4;3;Alicante/Alacant;20186,0;21867,0;18291,0;121,71;41,64;19,89;10643;14,6;112498,06;1691
2024T1;3;Alicante/Alacant;20984,0;22661,0;19102,0;122,17;41,64;20,54;12799;16,86;110229,67;1751
2024T2;3;Alicante/Alacant;20984,0;22661,0;19102,0;124,19;41,64;20,54;11725;19,61;109674,13;2892
2024T3;3;Alicante/Alacant;20984,0;22661,0;19102,0;123,85;41,64;20,54;14050;18,67;114542,0;2330
2024T4;3;Alicante/Alacant;20984,0;22661,0;19102,0;124,36;41,64;20,54;13790;20,34;117628,61;1742
2015T1;4;Almería;13424,0;14322,0;12290,0;99,01;40,9;1,67;1710;34,56;79717,33;119
2015T2;4;Almería;13424,0;14322,0;12290,0;100,99;40,9;1,67;2085;44,46;78107,89;274
2015T3;4;Almería;13424,0;14322,0;12290,0;99,67;40,9;1,67;1810;24,48;84010,57;154
2015T4;4;Almería;13424,0;14322,0;12290,0;100,33;40,9;1,67;1700;28,65;74885,02;245
2016T1;4;Almería;13661,0;14568,0;12517,0;97,97;41,4;0,28;2163;23,95;78138,15;194
2016T2;4;Almería;13661,0;14568,0;12517,0;99,69;41,4;0,28;2025;22,52;80652,78;369
2016T3;4;Almería;13661,0;14568,0;12517,0;99,29;41,4;0,28;3266;19,14;84484,46;266
2016T4;4;Almería;13661,0;14568,0;12517,0;101,37;41,4;0,28;1855;30,78;83247,61;548
2017T1;4;Almería;13914,0;14862,0;12716,0;100,92;41,72;-1,48;2046;27,13;84489,56;403
2017T2;4;Almería;13914,0;14862,0;12716,0;101,84;41,72;-1,48;2472;25,57;81003,21;301
2017T3;4;Almería;13914,0;14862,0;12716,0;101,07;41,72;-1,48;2157;23,92;79028,11;348
2017T4;4;Almería;13914,0;14862,0;12716,0;103,04;41,72;-1,48;2226;28,48;73390,05;358
2018T1;4;Almería;14469,0;15438,0;13258,0;101,89;41,93;6,1;2609;22,81;74446,04;299
2018T2;4;Almería;14469,0;15438,0;13258,0;103,7;41,93;6,1;2563;22,2;76352,89;617
2018T3;4;Almería;14469,0;15438,0;13258,0;103,37;41,93;6,1;2887;20,64;82761,64;594
2018T4;4;Almería;14469,0;15438,0;13258,0;104,62;41,93;6,1;2504;23,32;88358,01;563
2019T1;4;Almería;15233,0;16233,0;13983,0;102,75;42,04;10,26;2800;27,29;89393,42;560
2019T2;4;Almería;15233,0;16233,0;13983,0;104,48;42,04;10,26;2942;24,27;85908,34;665
2019T3;4;Almería;15233,0;16233,0;13983,0;103,62;42,04;10,26;2558;24,47;90868,32;634
2019T4;4;Almería;15233,0;16233,0;13983,0;105,08;42,04;10,26;2446;21,75;86180,34;445
2020T1;4;Almería;15595,0;16554,0;14384,0;103,77;42,1;5,94;2894;24,71;259728,18;538
2020T2;4;Almería;15595,0;16554,0;14384,0;104,04;42,1;5,94;1602;20,35;78583,65;385
2020T3;4;Almería;15595,0;16554,0;14384,0;103,35;42,1;5,94;2307;21,67;82099,66;543
2020T4;4;Almería;15595,0;16554,0;14384,0;104,72;42,1;5,94;2508;20,93;85899,6;287
2021T1;4;Almería;16220,0;17173,0;15021,0;104,44;42,24;8,85;2603;21,28;82166,06;471
2021T2;4;Almería;16220,0;17173,0;15021,0;106,58;42,24;8,85;3088;24,16;92758,08;761
2021T3;4;Almería;16220,0;17173,0;15021,0;106,63;42,24;8,85;4338;24,16;91946,65;393
2021T4;4;Almería;16220,0;17173,0;15021,0;110,16;42,24;8,85;3440;26,95;90586,15;409
2022T1;4;Almería;16962,0;17904,0;15769,0;112,26;42,24;16,8;3903;26,47;107203,92;86
2022T2;4;Almería;16962,0;17904,0;15769,0;116,03;42,24;16,8;3511;22,19;88198,89;567
2022T3;4;Almería;16962,0;17904,0;15769,0;116,86;42,24;16,8;4355;25,42;94631,6;453
2022T4;4;Almería;16962,0;17904,0;15769,0;117,29;42,24;16,8;3449;25,2;84768,42;767
2023T1;4;Almería;18037,0;19041,0;16752,0;117,79;42,21;9,4;4032;31,3;89801,68;1143
2023T2;4;Almería;18037,0;19041,0;16752,0;119,73;42,21;9,4;3504;23,32;96612,59;596
2023T3;4;Almería;18037,0;19041,0;16752,0;120,75;42,21;9,4;3429;25,72;95738,99;409
2023T4;4;Almería;18037,0;19041,0;16752,0;121,38;42,21;9,4;3079;22,96;96611,44;225
2024T1;4;Almería;18733,0;19740,0;17452,0;121,65;42,21;12,98;3121;23,39;91330,37;442
2024T2;4;Almería;18733,0;19740,0;17452,0;123,41;42,21;12,98;3410;22,17;102350,99;775
2024T3;4;Almería;18733,0;19740,0;17452,0;122,68;42,21;12,98;3801;21,84;93871,59;739
2024T4;4;Almería;18733,0;19740,0;17452,0;123,51;42,21;12,98;3563;26,89;92642,66;1095
2015T1;5;Ávila;15936,0;17351,0;14233,0;98,89;37,48;0,25;260;34,62;79964,29;66
2015T2;5;Ávila;15936,0;17351,0;14233,0;101,02;37,48;0,25;233;23,18;69863,25;102
2015T3;5;Ávila;15936,0;17351,0;14233,0;99,66;37,48;0,25;226;26,99;86179,69;70
2015T4;5;Ávila;15936,0;17351,0;14233,0;100,43;37,48;0,25;206;28,64;82747,97;64
2016T1;5;Ávila;15969,0;17386,0;14273,0;97,81;37,67;1,31;245;25,71;73442,03;61
2016T2;5;Ávila;15969,0;17386,0;14273,0;99,57;37,67;1,31;236;24,58;67135,71;82
2016T3;5;Ávila;15969,0;17386,0;14273,0;99,02;37,67;1,31;236;25,0;84136,0;90
2016T4;5;Ávila;15969,0;17386,0;14273,0;101,15;37,67;1,31;251;23,11;72510,2;60
2017T1;5;Ávila;16348,0;17813,0;14600,0;100,92;37,72;2,33;249;30,52;75734,57;74
2017T2;5;Ávila;16348,0;17813,0;14600,0;101,66;37,72;2,33;266;22,18;80903,23;74
2017T3;5;Ávila;16348,0;17813,0;14600,0;100,72;37,72;2,33;324;23,46;78806,45;63
2017T4;5;Ávila;16348,0;17813,0;14600,0;102,63;37,72;2,33;296;23,99;84036,23;82
2018T1;5;Ávila;16993,0;18557,0;15145,0;101,73;37,75;4,54;302;25,5;84607,95;81
2018T2;5;Ávila;16993,0;18557,0;15145,0;103,62;37,75;4,54;336;24,11;79447,2;90
2018T3;5;Ávila;16993,0;18557,0;15145,0;103,54;37,75;4,54;311;21,54;78432,93;103
2018T4;5;Ávila;16993,0;18557,0;15145,0;104,8;37,75;4,54;349;18,62;85212,33;68
2019T1;5;Ávila;17506,0;19071,0;15690,0;103,28;37,68;6,96;373;18,77;81242,77;112
2019T2;5;Ávila;17506,0;19071,0;15690,0;105,03;37,68;6,96;380;17,89;76760,98;88
2019T3;5;Ávila;17506,0;19071,0;15690,0;103,98;37,68;6,96;388;15,46;81166,67;64
2019T4;5;Ávila;17506,0;19071,0;15690,0;105,5;37,68;6,96;396;23,23;76828,88;86
2020T1;5;Ávila;17913,0;19243,0;16364,0;104,18;37,59;3,71;341;26,1;75775,12;68
2020T2;5;Ávila;17913,0;19243,0;16364,0;103,9;37,59;3,71;175;20,0;71840,76;65
2020T3;5;Ávila;17913,0;19243,0;16364,0;103,34;37,59;3,71;261;17,24;74227,03;84
2020T4;5;Ávila;17913,0;19243,0;16364,0;104,58;37,59;3,71;348;20,4;75917,2;67
2021T1;5;Ávila;18574,0;20060,0;16854,0;104,87;37,99;5,53;350;17,14;80481,08;77
2021T2;5;Ávila;18574,0;20060,0;16854,0;107,41;37,99;5,53;425;16,47;83748,84;85
2021T3;5;Ávila;18574,0;20060,0;16854,0;107,95;37,99;5,53;411;16,79;75735,77;107
2021T4;5;Ávila;18574,0;20060,0;16854,0;111,86;37,99;5,53;417;12,95;81587,79;86
2022T1;5;Ávila;19533,0;21061,0;17789,0;114,67;37,85;14,7;420;20,0;90163,87;89
2022T2;5;Ávila;19533,0;21061,0;17789,0;119,84;37,85;14,7;482;21,99;82918,82;81
2022T3;5;Ávila;19533,0;21061,0;17789,0;121,07;37,85;14,7;577;16,12;87492,31;69
2022T4;5;Ávila;19533,0;21061,0;17789,0;121,13;37,85;14,7;573;13,79;90061,95;56
