provincia,anio,precio_suelo_m2,n_trimestres_disponibles
Zamora,2025,75.9,4
Zaragoza,2015,122.01,4
Zaragoza,2016,136.34,4
Zaragoza,2017,122.25,4
Zaragoza,2018,137.86,4
Zaragoza,2019,137.81,4
Zaragoza,2020,116.51,4
Zaragoza,2021,106.0,4
Zaragoza,2022,128.16,4
Zaragoza,2023,125.3,4
Zaragoza,2024,95.87,4
Zaragoza,2025,127.01,4
Álava,2015,208.82,4
Álava,2016,188.63,4
Álava,2017,180.75,4
Álava,2018,179.0,4
Álava,2019,168.32,4
Álava,2020,118.62,4
Álava,2021,194.85,4
Álava,2022,235.86,4
Álava,2023,164.16,4
Álava,2024,226.18,4
Álava,2025,189.17,4
