provincia,anio,valor_transacciones_miles_euros,n_trimestres_disponibles
Palencia,2021,8400.78,4
Palencia,2022,6587.13,4
Palencia,2023,3905.92,4
Palencia,2024,9337.65,4
Palencia,2025,8974.8,4
Palmas (Las),2015,26896.4,4
Palmas (Las),2016,32539.03,4
Palmas (Las),2017,38263.26,4
Palmas (Las),2018,58327.06,4
Palmas (Las),2019,39942.979999999996,4
Palmas (Las),2020,39200.1,4
Palmas (Las),2021,41146.65,4
Palmas (Las),2022,57072.2,4
Palmas (Las),2023,58323.340000000004,4
Palmas (Las),2024,89636.06,4
Palmas (Las),2025,65591.16,4
Pontevedra,2015,21491.63,4
Pontevedra,2016,9364.67,4
Pontevedra,2017,18152.9,4
Pontevedra,2018,19158.1,4
Pontevedra,2019,18393.89,4
Pontevedra,2020,9226.960000000001,4
Pontevedra,2021,26319.43,4
Pontevedra,2022,17742.98,4
Pontevedra,2023,13919.380000000001,4
Pontevedra,2024,11882.22,4
Pontevedra,2025,21025.7,4
Salamanca,2015,11492.86,4
Salamanca,2016,5772.57,4
Salamanca,2017,11868.75,4
Salamanca,2018,8288.02,4
Salamanca,2019,7998.56,4
Salamanca,2020,9232.39,4
Salamanca,2021,14120.84,4
Salamanca,2022,10878.51,4
Salamanca,2023,15142.310000000001,4
Salamanca,2024,17037.35,4
Salamanca,2025,21838.77,4
Santa Cruz de Tenerife,2015,26580.52,4
Santa Cruz de Tenerife,2016,55968.42,4
Santa Cruz de Tenerife,2017,59030.59,4
Santa Cruz de Tenerife,2018,72175.79000000001,4
Santa Cruz de Tenerife,2019,46654.95,4
Santa Cruz de Tenerife,2020,29587.68,4
Santa Cruz de Tenerife,2021,51898.89,4
Santa Cruz de Tenerife,2022,97389.83,4
Santa Cruz de Tenerife,2023,79821.75,4
Santa Cruz de Tenerife,2024,105016.87,4
Santa Cruz de Tenerife,2025,48837.5,4
Segovia,2015,4389.03,4
Segovia,2016,4319.04,4
Segovia,2017,10826.03,4
Segovia,2018,10763.17,4
Segovia,2019,13104.029999999999,4
Segovia,2020,8228.41,4
Segovia,2021,16128.71,4
Segovia,2022,16916.15,4
Segovia,2023,10876.98,4
Segovia,2024,15011.22,4
