provincia,anio,trimestre,periodo,precio_suelo_m2
Badajoz,2014,3,2014-T3,99.94
Badajoz,2014,4,2014-T4,95.49
Badajoz,2015,1,2015-T1,92.0
Badajoz,2015,2,2015-T2,92.12
Badajoz,2015,3,2015-T3,90.71
Badajoz,2015,4,2015-T4,107.19
Badajoz,2016,1,2016-T1,107.38
Badajoz,2016,2,2016-T2,97.78
Badajoz,2016,3,2016-T3,90.08
Badajoz,2016,4,2016-T4,97.64
Badajoz,2017,1,2017-T1,98.11
Badajoz,2017,2,2017-T2,113.35
Badajoz,2017,3,2017-T3,102.76
Badajoz,2017,4,2017-T4,76.4
Badajoz,2018,1,2018-T1,110.23
Badajoz,2018,2,2018-T2,81.46
Badajoz,2018,3,2018-T3,82.65
Badajoz,2018,4,2018-T4,99.69
Badajoz,2019,1,2019-T1,69.14
Badajoz,2019,2,2019-T2,95.33
Badajoz,2019,3,2019-T3,96.64
Badajoz,2019,4,2019-T4,98.82
Badajoz,2020,1,2020-T1,93.76
Badajoz,2020,2,2020-T2,104.41
Badajoz,2020,3,2020-T3,94.13
Badajoz,2020,4,2020-T4,114.6
Badajoz,2021,1,2021-T1,101.63
Badajoz,2021,2,2021-T2,101.33
Badajoz,2021,3,2021-T3,111.94
Badajoz,2021,4,2021-T4,116.12
Badajoz,2022,1,2022-T1,96.72
Badajoz,2022,2,2022-T2,101.73
Badajoz,2022,3,2022-T3,103.9
Badajoz,2022,4,2022-T4,97.95
Badajoz,2023,1,2023-T1,101.88
Badajoz,2023,2,2023-T2,127.75
Badajoz,2023,3,2023-T3,126.31
Badajoz,2023,4,2023-T4,127.18
Badajoz,2024,1,2024-T1,117.03
Badajoz,2024,2,2024-T2,102.43
Badajoz,2024,3,2024-T3,104.47
Badajoz,2024,4,2024-T4,104.69
Badajoz,2025,1,2025-T1,122.26
Badajoz,2025,2,2025-T2,114.79
Badajoz,2025,3,2025-T3,140.88
Badajoz,2025,4,2025-T4,118.26
Badajoz,2026,1,2026-T1,113.06
Barcelona,2004,1,2004-T1,297.68
Barcelona,2004,2,2004-T2,304.0
Barcelona,2004,3,2004-T3,311.34
Barcelona,2004,4,2004-T4,345.2
Barcelona,2005,1,2005-T1,359.6
Barcelona,2005,2,2005-T2,399.48
Barcelona,2005,3,2005-T3,406.06
Barcelona,2005,4,2005-T4,386.88
Barcelona,2006,1,2006-T1,388.02
Barcelona,2006,2,2006-T2,399.86
Barcelona,2006,3,2006-T3,441.17
Barcelona,2006,4,2006-T4,455.53
Barcelona,2007,1,2007-T1,420.07
Barcelona,2007,2,2007-T2,432.62
Barcelona,2007,3,2007-T3,445.29
Barcelona,2007,4,2007-T4,383.87
Barcelona,2008,1,2008-T1,357.92
Barcelona,2008,2,2008-T2,367.59
Barcelona,2008,3,2008-T3,412.25
Barcelona,2008,4,2008-T4,338.17
Barcelona,2009,1,2009-T1,337.01
Barcelona,2009,2,2009-T2,355.0
Barcelona,2009,3,2009-T3,379.19
Barcelona,2009,4,2009-T4,438.39
Barcelona,2010,1,2010-T1,339.51
Barcelona,2010,2,2010-T2,256.44
Barcelona,2010,3,2010-T3,256.99
Barcelona,2010,4,2010-T4,373.71
Barcelona,2011,1,2011-T1,374.21
Barcelona,2011,2,2011-T2,376.0
Barcelona,2011,3,2011-T3,201.3
Barcelona,2011,4,2011-T4,282.66
Barcelona,2012,1,2012-T1,279.66
Barcelona,2012,2,2012-T2,393.56
Barcelona,2012,3,2012-T3,286.42
Barcelona,2012,4,2012-T4,222.35
Barcelona,2013,1,2013-T1,254.05
Barcelona,2013,2,2013-T2,285.38
Barcelona,2013,3,2013-T3,193.65
Barcelona,2013,4,2013-T4,258.55
Barcelona,2014,1,2014-T1,204.48
Barcelona,2014,2,2014-T2,224.13
Barcelona,2014,3,2014-T3,234.19
Barcelona,2014,4,2014-T4,277.81
Barcelona,2015,1,2015-T1,228.79
Barcelona,2015,2,2015-T2,214.34
Barcelona,2015,3,2015-T3,268.79
Barcelona,2015,4,2015-T4,225.2
Barcelona,2016,1,2016-T1,224.86
Barcelona,2016,2,2016-T2,224.11
Barcelona,2016,3,2016-T3,240.73
Barcelona,2016,4,2016-T4,231.12
Barcelona,2017,1,2017-T1,240.74
