codigo_provincia,provincia,anio,ipva_indice_general,ipva_indice_colectiva,ipva_indice_unifamiliar,ipva_variacion_anual_general,ipva_variacion_anual_colectiva,ipva_variacion_anual_unifamiliar
25,Lleida,2016,100.945,100.955,100.857,0.9,1.0,0.9
25,Lleida,2017,101.982,102.056,101.327,1.0,1.1,0.5
25,Lleida,2018,103.631,103.728,102.772,1.6,1.6,1.4
25,Lleida,2019,106.135,106.411,103.643,2.4,2.6,0.8
25,Lleida,2020,107.652,107.933,105.114,1.4,1.4,1.4
25,Lleida,2021,110.132,110.413,107.585,2.3,2.3,2.4
25,Lleida,2022,112.888,113.309,109.178,2.5,2.6,1.5
25,Lleida,2023,115.708,116.26,110.89,2.5,2.6,1.6
25,Lleida,2024,119.441,120.064,114.015,3.2,3.3,2.8
26,"Rioja, La",2015,100.0,100.0,100.0,-0.1,-0.1,0.9
26,"Rioja, La",2016,101.604,101.619,101.269,1.6,1.6,1.3
26,"Rioja, La",2017,103.018,102.986,103.675,1.4,1.3,2.4
26,"Rioja, La",2018,104.596,104.643,103.605,1.5,1.6,-0.1
26,"Rioja, La",2019,107.508,107.54,106.86,2.8,2.8,3.1
26,"Rioja, La",2020,108.712,108.808,106.506,1.1,1.2,-0.3
26,"Rioja, La",2021,110.651,110.774,107.828,1.8,1.8,1.2
26,"Rioja, La",2022,113.42,113.59,109.499,2.5,2.5,1.5
26,"Rioja, La",2023,115.998,116.209,111.082,2.3,2.3,1.4
26,"Rioja, La",2024,119.62,119.886,113.408,3.1,3.2,2.1
27,Lugo,2015,100.0,100.0,100.0,-0.2,-0.4,2.0
27,Lugo,2016,100.69,100.732,100.171,0.7,0.7,0.2
27,Lugo,2017,101.294,101.322,100.931,0.6,0.6,0.8
27,Lugo,2018,101.834,101.855,101.543,0.5,0.5,0.6
27,Lugo,2019,104.494,104.503,104.347,2.6,2.6,2.8
27,Lugo,2020,105.314,105.334,105.041,0.8,0.8,0.7
27,Lugo,2021,107.292,107.333,106.831,1.9,1.9,1.7
27,Lugo,2022,109.738,109.831,108.798,2.3,2.3,1.8
27,Lugo,2023,112.278,112.559,109.603,2.3,2.5,0.7
27,Lugo,2024,116.6,117.043,112.435,3.8,4.0,2.6
